# Comparison of web browsers
> Internationalization

| Browser | Languages | Total |
| Konqueror | Afrikaans (af), Arabic (ar), Belarusian (be), Bulgarian (bg), Bengali (bn), Bosnian (bs), Catalan (ca), Chinese (zh), Chinese (Simplified) (zh), Czech (cs), Welsh (cy), Danish (da), German (de), Greek (el), English (en), Esperanto (eo), Spanish (es), Estonian (et), Basque (eu), Persian (fa), Finnish (fi), French (fr), Galician (gl), Hebrew (he), Hindi (hi), Croatian (hr), Hungarian (hu), Icelandic (is), Italian (it), Japanese (ja), Mongolian (mn), Malay (ms), Dutch (nl), Norwegian (Nynorsk) (nn), Norwegian (Bokmål) (nb), Punjabi (pa), Polish (pl), Portuguese (pt), Romanian (ro), Russian (ru), Slovak (sk), Slovenian (sl), Serbian (sr), Swedish (sv), Tamil (ta), Tajik (tg), Turkish (tr), Ukrainian (uk), Uzbek (uz) | 40 |
| Links | Belarusian (be), Brazilian Portuguese (pt-BR), Bulgarian (bg), Catalan (ca), Croatian (hr), Czech (cs), Danish (da), Dutch (nl), English (en), Estonian (et), Finnish (fi), French (fr), Galician (gl), German (de), Greek (el), Hungarian (hu), Icelandic (is), Indonesian (id), Italian (it), Lithuanian (lt), Norwegian (no), Polish (pl), Portuguese (pt), Romanian (ro), Russian (ru), Serbian (sr), Slovak (sk), Spanish (es), Swedish (sv), Turkish (tr), Ukrainian (uk), Upper Sorbian (hsb) | 32 |
| Lunascape | Chinese (Simplified and Traditional) (zh), English (en), French (fr), German (de), Italian (it), Japanese (ja), Korean (ko), Portuguese (pt), Russian (ru), Spanish (es) | 11 |
| Lynx | Catalan (ca), Czech (cs), Danish (da), German (de), Estonian (et), English (en), French (fr), Hungarian (hu), Italian (it), Japanese (ja), Dutch (nl), Portuguese (Brazilian) (pt-BR), Russian (ru), Kinyarwanda (rw), Slovenian (sl), Swedish (sv), Turkish (tr), Ukrainian (uk), Vietnamese (vi), Chinese (Simplified and Traditional) (zh) | 21 |
| Maxthon | Arabic (ar), Basque (eu), Bosnian (bs), Belarusian (be), Bulgarian (bg), Chinese (zh), Croatian (hr), Czech (cs), Danish (da), Dutch (nl), English (en), Estonian (et), Persian (fa), Finnish (fi), French (fr), Frisian, Galician (gl), German (de), Greek (el), Hebrew (he), Hungarian (hu), Italian (Italy, Rome and Milan) (it), Japanese (ja), Korean (ko), Lithuanian (lt), Malay (ms), Norwegian (no), Piedmontese, Polish (pl), Portuguese (pt), Portuguese (Brazilian) (pt), Romanian (ro), Russian (ru), Serbian Cyrillic (sr), Serbian (Latin) (sr), Slovak (sk), Slovenian (sl), Spanish (es), Spanish (Argentina) (es), Swedish (sv), Thai (th), Turkish (tr), Ukrainian (uk), Vietnamese (vi) | 44 |
| Microsoft Edge [116] | Arabic (Saudi Arabia), Bulgarian (Bulgaria), Chinese (Simplified, China), Chinese (Hong Kong), Chinese (Traditional, Taiwan), Croatian (Croatia), Czech (Czech Republic), Danish (Denmark), Dutch (Netherlands), English (United Kingdom), English (United States), Estonian (Estonia), Finnish (Finland), French (France), French (Canada), German (Germany), Greek (Greece), Hebrew (Israel), Hungarian (Hungary), Italian (Italy), Japanese (Japan), Korean (Korea), Latvian (Latvia), Lithuanian (Lithuania), Norwegian, Bokmål (Norway), Polish (Poland), Portuguese (Brazil), Portuguese (Portugal), Romanian (Romania), Russian (Russia), Serbian (Latin, Serbia), Slovak (Slovakia), Slovenian (Slovenia), Spanish (Spain, International Sort), Spanish (Mexico), Swedish (Sweden), Thai (Thailand), Turkish (Turkey), Ukrainian (Ukraine) | 40 |
| Mosaic | English (en) | 1 |
| Mozilla | Catalan (ca), Chinese (zh), Czech (cs), Danish (da), English (en), Finnish (fi), French (fr), German (de), Greek (el), Hebrew (he), Irish (ga), Italian (it), Japanese (ja), Korean (ko), Lithuanian (lt), Macedonian (mk), Norwegian (no), Polish (pl), Portuguese (pt), Punjabi (pa), Romanian (ro), Russian (ru), Slovak (sk), Slovenian (sl), Spanish (es), Swedish (sv), Turkish (tr), Welsh (cy) | 28 |
| Mozilla Firefox [117] | Acholi (ach), Afrikaans (af), Akan (ak), Albanian (sq), Arabic (ar), Armenian (hy), Assamese (as), Asturian (ast), Azerbaijani (az), Basque (eu), Belarusian (be), Bengali (India and Bangladesh) (bn), Bosnian (bs), Breton (br), Bulgarian (bg), Catalan (ca), Chinese (Simplified and Traditional) (zh), Croatian (hr), Czech (cs), Danish (da), Dutch (nl), English (Britain, South Africa, and US) (en), Esperanto (eo), Estonian (et), Finnish (fi), Fula (ff), French (fr), Frisian (fy), Friulian (fur), Gaelic (gd), Galician (gl), Georgian (ka), German (de), Greek (el), Gujarati (gu), Hebrew (he), Hindi (hi), Hungarian (hu), Icelandic (is), Indonesian (id), Irish (ga), Italian (it), Japanese (ja), Kannada (kn), Kashubian (csb), Khmer (km), Kazakh (kk), Korean (ko), Kurdish (ku), Latvian (lv), Ligurian (lig), Lithuanian (lt), Luganda (lg), Macedonian (mk), Maithili (mai), Malay (ms), Malayalam (ml), Marathi (mr), Northern Sotho (nso), Norwegian (Bokmål) (nb), Norwegian (Nynorsk) (nn), Occitan (oc), Oriya (or), Persian (fa), Polish (pl), Portuguese (Brazil and Portugal) (pt), Punjabi (pa), Romanian (ro), Romansh (rm), Russian (ru), Serbian (sr), Sinhala (si), Slovak (sk), Slovenian (sl), Songhai (son), Spanish (Argentina, Chile, Mexico, and Spain) (es), Swedish (sv), Tamil (ta), Tamil (Sri Lanka) (ta), Tatar (tt), Telugu (te), Thai (th), Turkish (tr), Ukrainian (uk), Vietnamese (vi), Welsh (cy), Zulu (zu) | 96 |
| Netscape [118] | Chinese (zh), English (en), French (fr), German (de), Japanese (ja), Portuguese (pt), Spanish (es) | 7 |
| Netscape Browser | English (en), English (Canadian) (en) | 2 |
| Netscape Navigator [119] | Portuguese (Brazilian) (pt), Chinese (zh), Czech (cs), English (en), Danish (da), Finnish (fi), French (fr), German (de), Greek (el), Hungarian (hu), Italian (it), Japanese (ja), Korean (ko), Norwegian (no), Polish (pl), Russian (ru), Slovenian (sl), Spanish (es), Swedish (sv), Turkish (tr) | 20 |
| Netscape Navigator 9 | English (en) | 1 |
| NetSurf | Dutch (nl), English (en), French (fr), German (de) | 4 |
| OmniWeb [120] | Danish (da), Dutch (nl), English (en), French (fr), German (de), Japanese (ja), Swedish (sv) | 7 |
| Opera [121] | Afrikaans (af), Azerbaijani (az), Belarusian (be), Bengali (bn), Bulgarian (bg), Chinese (Simplified and Traditional) (zh), Croatian (hr), Czech (cs), Danish (da), Dutch (nl), English (en-GB, en-US), Estonian (et), Finnish (fi), French (fr-FR, fr-CA), Frisian (fy), Georgian (ka), German (de), Greek (el), Hindi (hi), Hungarian (hu), Indonesian (id), Italian (it), Japanese (ja), Korean (ko), Lithuanian (lt), Macedonian (mk), Malay (ms), Montenegrin, Norwegian (Bokmål) (nb), Norwegian (Nynorsk) (nn), Polish (pl), Portuguese (pt, pt-BR), Punjabi (pa), Romanian (ro), Russian (ru), Serbian (sr), Slovak (sk), Spanish (es-ES, es-LA), Swedish (sv), Tagalog (tl), Tamil (ta), Thai (th), Telugu (te), Turkish (tr), Ukrainian (uk), Uzbek (uz), Vietnamese (vi), Zulu (zu) | 51 |
| Pale Moon | Arabic (ar), Chinese (Simplified and Traditional) (zh), Croatian (hr), Czech (cs), Danish (da), Dutch (nl), English (en-GB, en-US) (en), Finnish (fi), French (fr), Galician (gl-ES), German (de), Greek (el), Hungarian (hu), Icelandic (is), Italian (it), Japanese (ja), Kannada (kn), Korean (ko), Polish (pl), Portuguese (pt-BR, pt-PT) (pt), Romanian/Moldavian (ro), Russian (ru), Serbian (sr), Slovak (sk), Slovenian (sl), Spanish (es-AR, es-ES, es-MX), Swedish (sv), Turkish (tr), Vietnamese (vi) | 29 |
| QupZilla [122] | Arabic (ar), Basque (eu), Bulgarian (bg), Catalan (ca), Chinese (Simplified and Traditional) (zh), Croatian (hr), Czech (cz), Dutch (nl), English (en), Finnish (fi), French (fr), Galician (gl), Ganda (lg), Georgian (ka), German (de), Greek (el), Hebrew (he), Hungarian (hu), Indonesian (id), Italian (it), Japanese (ja), Latvian (lv), N'ko (nqo), Persian (fa), Polish (pl), Portuguese (Brazil and Portugal) (pt), Romanian (ro), Russian (ru), Serbian (sr), Slovak (sk), Spanish (es), Swedish (sv), Turkish (tr), Ukrainian (uk), Uzbek (uz) | 35 |
| Safari | Dutch (nl), English (en), French (fr), German (de), Italian (it), Japanese (ja), Spanish (es), Danish (da), Finnish (fi), Korean (ko), Norwegian (no), Portuguese (pt), Russian (ru), Swedish (sv), Chinese (zh) | 15 |
| SeaMonkey [123] | Belarusian (be), Catalan (ca), Chinese (Simplified), Czech (cs), Dutch (nl), English (en-GB, en-US), Finnish (fi), French (fr), Galician (gl), Georgian (ka), German (de), Hungarian (hu), Italian (it), Japanese (ja), Lithuanian (lt), Norwegian (no), Polish (pl), Portuguese (pt), Russian (ru), Slovak (sk), Spanish (es-ES, es-LA), Swedish (sv), Turkish (tr) | 23 |
| Shiira | Chinese (Simplified and Traditional) (zh), Danish (da), Dutch (nl), English (en), Finnish (fi), French (fr), German (de), Italian (it), Korean (ko), Norwegian (no), Polish (pl), Portuguese (pt), Slovak (sk), Spanish (es), Swedish (sv) | 15 |
| Sleipnir | Chinese (Simplified and Traditional) (zh), English (en), Japanese (ja) | 3 |
| SRWare Iron | English (en), German (de), Russian (ru) | 3 |
| surf | Browser lacks user interface elements to be translated; see WebKitGTK+ for status of engine messages' translation. | 0 |
| Torch Browser | English (en), French (fr), Spanish es), Turkish (tr), Italian (it), Portuguese (pt), German (de) | 7 |
| Web [124] | Amharic (am), Arabic (ar), Azerbaijani (az), Belarusian (be), Belarusian Latin (be@Latin), Bulgarian (bg), Bengali (bn), Bosnian (bs), Catalan (ca), Czech (cs), Welsh (cy), Danish (da), German (de), Dzongkha (dz), Greek (el), English (en), Spanish (es), Estonian (et), Basque (eu), Persian (fa), Finnish (fi), French (fr), Irish (ga), Galician (gl), Gujarati (gu), Hebrew (he), Hindi (hi), Croatian (hr), Hungarian (hu), Indonesian (id), Icelandic (is), Italian (it), Japanese (ja), Georgian (ka), Korean (ko), Kurdish (ku), Limburgian (li), Lithuanian (lt), Latvian (lv), Malagasy (mg), Maori (mi), Macedonian (mk), Malayalam (ml), Mongolian (mn), Marathi (mr), Malay (ms), Norwegian (Bokmål) (nb), Norwegian (Nynorsk) (nn), Nepali (ne), Dutch (nl), Oriya (or), Punjabi (pa), Polish (pl), Portuguese (pt), Romanian (ro), Russian (ru), Kinyarwanda (rw), Slovak (sk), Slovenian (sl), Albanian (sq), Serbian (sr), Swedish (sv), Tamil (ta), Telugu (te), Thai (th), Turkmen (tk), Turkish (tr), Ukrainian (uk), Vietnamese (vi), Walloon (wa), Chinese (zh) | 70 |
| WorldWideWeb | English (en) | 1 |
| w3m | English (en), French (fr), German (de), Italian (it), Japanese (ja), Spanish (es), Polish (pl), Portuguese (pt), Swedish (sv) | 9 |
| Browser | Languages | Total |
