# List of Arkansas Civil War Confederate units
> Confederate Forces raised in Arkansas

| Regiment | Muster Date | Commanders | Alternate Designations |
| 6th Arkansas Infantry Regiment | June 10, 1861 (State Service) July 26, 1861, (Confederate Service) | Colonel Richard Lyon Colonel Alexander Travis Hawthorn Colonel G. S. Smith [20] Major William F. Douglas [26] Lieutenant Colonel Peter Snyder [27] | 6th Regiment, Arkansas State Troops 6th & 7th Arkansas Consolidated Infantry Regiment 1st Arkansas Consolidated Infantry |
| 7th Arkansas Infantry Regiment | June 16, 1861 (State Service) July 26, 1861 (Confederate Service) | Colonel Robert G. Shaver Colonel D. A. Gillespie | "Bloody Seventh" 6th & 7th Arkansas Consolidated Infantry Regiment 1st Arkansas Consolidated Infantry |
| 8th Arkansas Infantry Regiment | July 13, 1861 (State Service) [32] September 10, 1861 (Confederate Service) | Colonel William K. Patterson Colonel George F. Baucum, [26] Colonel John H. Kelly | 8th/19th Consolidated Arkansas Infantry Regiments 1st Arkansas Consolidated Infantry |
| 9th Arkansas Infantry Regiment | July 20, 1861 [32] | Colonel John M. Bradley, Colonel Isaac L. Dunlop | "Parson's Regiment" 1st Arkansas Mounted Rifles (Consolidated) |
| 10th Arkansas Infantry Regiment | July 27, 1861 | Colonel T. D. Merrick Colonel A. R. Witt | Witt's 10th Arkansas Cavalry |
| 11th Arkansas Infantry Regiment | July 28, 1861 first election August 8, 1861, second election | Colonel Jabez M. Smith Colonel John L. Logan Colonel John Griffith | 11th and 17th Consolidated Arkansas Infantry Regiment 11th Arkansas Cavalry Regiment |
| 11th and 17th Consolidated Arkansas Infantry Regiment | March 1863 | Colonel John L. Logan Colonel John Griffith [33] | 11th / 17th Arkansas Mounted Infantry [34] |
| 12th Arkansas Infantry Regiment | July 27, 1861 [35] | Colonel Edward W. Gantt Colonel T. J. Reid, Jr. | 2nd Arkansas Consolidated Infantry Regiment |
| 13th Arkansas Infantry Regiment | July 29, 1861 | Colonel L. Featherston, Colonel James A. McNeely, Colonel John E. Murry, Colonel James C. Tappan | 1st Arkansas Consolidated Infantry |
| 14th Arkansas Infantry Regiment (McCarver's) | October 22, 1861 | Colonel James H. McCarver | 9th Battalion Arkansas Infantry 18th Battalion Arkansas Infantry 21st Arkansas Infantry Regiment (Craven's) |
| 14th Arkansas Infantry Regiment (Powers') | July 1861 | Colonel William C. Mitchell, Colonel Eli Dodson, Colonel Frank P. Powers | 14th Arkansas Infantry Regiment 1st Arkansas Consolidated Infantry Regiment (Trans-Mississippi) |
| 15th Arkansas Infantry Regiment (Johnson's) | January 2, 1862 [36] | Colonel James Gee Colonel Ben W. Johnson | 15th (Gee/Johnson)Arkansas Infantry Regiment [37] |
| 15th Arkansas Infantry Regiment (Josey's) | May 14, 1861 (State Service) July 23, 1861 (Confederate Service) | Colonel Patrick R. Cleburne Lieutenant Colonel Archibald K. Patton Colonel Lucius E. Polk Colonel John E. Josey [38] | 1st Regiment, Arkansas State Troops 1st Arkansas Consolidated Infantry |
| 15th Arkansas Infantry Regiment (Northwest) | July 15, 1861 | Colonel Dandridge McRae Colonel James H. Hobbs Colonel Squire Boone | 3rd Arkansas Infantry Battalion 21st (McRae's) Arkansas Infantry Regiment 1st Arkansas Consolidated Infantry Regiment (Trans-Mississippi) [39] |
| 16th Arkansas Infantry Regiment | December 4, 1861 [40] | Colonel John F. Hill Colonel David Provence | 16th Arkansas Cavalry Regiment [41] 1st Arkansas Consolidated Infantry Regiment (Trans-Mississippi) |
| 17th Arkansas Infantry Regiment (Griffith's) | November 17, 1861 [42] | Colonel Frank Rector Colonel John L. Logan Colonel John Griffith | 11th / 17th Arkansas Mounted Infantry 17th Arkansas Cavalry |
| 17th Arkansas Infantry Regiment (Lemoyne's) | August 1, 1861 [42] | Colonel George W. Lemoyne Colonel Jordan E. Cravens | 21st Arkansas Infantry Regiment [43] 1st Arkansas Consolidated Infantry Regiment (Trans-Mississippi) |
| 18th Arkansas Infantry Regiment (Carroll's) [44] | April 2, 1862 | Colonel David W. Carroll Colonel John N. Daly Colonel Robert Hamilton Crockett Lieutenant Colonel William N. Parish | 2nd Arkansas Consolidated Infantry Regiment 18th Arkansas Mounted Infantry |
| 18th Arkansas Infantry Regiment (Marmaduke's) | January 1, 1862 | Colonel Thomas C. Hindman Colonel John S. Marmaduke | Hindman's Legion [45] 1st Arkansas Infantry Battalion 3rd Confederate Infantry Regiment 1st Arkansas Consolidated Infantry |
| 19th Arkansas Infantry Regiment (Dawson's) | November 21, 1861 | Colonel C. L. Dawson Lieutenant Colonel Augustus S. Hutchinson | 8th/19th Arkansas Infantry Regiment 1st Arkansas Consolidated Infantry |
| 19th Arkansas Infantry Regiment (Dockery's) | April 2, 1862 | Colonel Hamilton P. Smead Colonel Thomas P. Dockery Colonel William H. Dismukes Colonel Horatio Gates Perry Williamson [46] | 3rd Arkansas Consolidated Infantry Regiment 19th Arkansas Cavalry [47] |
| 19th and 24th Consolidated Arkansas Infantry Regiment | February 1863 | Colonel Charles L. Dawson , [48] [49] Colonel William R. Hardy, [23] [46] [48] | Hardy's 19th Arkansas Infantry Regiment Dawson's Arkansas Infantry Regiment Hardy's Arkansas Infantry Regiment 3rd Arkansas Consolidated Infantry Regiment |
| 20th Arkansas Infantry Regiment | April 9, 1862 | Colonel George King Colonel Henry P. Johnson Colonel James H. Fletcher Colonel Daniel W. Jones | 22nd Arkansas Infantry [50] 41st Arkansas Mounted Infantry [51] 3rd Arkansas Consolidated Infantry Regiment |
| 21st Arkansas Infantry Regiment | May 15, 1862 | Colonel Jordan E. Cravens Colonel William G. Matheny | 1st Arkansas Consolidated Infantry Regiment (Trans-Mississippi) |
| 22nd Arkansas Infantry Regiment | July 11, 1862 | Colonel Frank Rector Colonel James P. King [52] Colonel Henry J. McCord | 1st Arkansas Infantry, State Troops, 2nd Regiment, Northwest Division, District of Arkansas Rector's War Regiment 35th Arkansas Infantry Regiment [53] |
| 23rd Arkansas Infantry Regiment | September 10, 1862 | Colonel Charles W. Adams Colonel O. P. Lyles Colonel Thomas J. Reid, Jr | 2nd Arkansas Consolidated Infantry Regiment Lyle's Arkansas Cavalry [54] |
| 24th Arkansas Infantry Regiment | June 6, 1862 | Colonel E. E. Portlock [49] Colonel Augustus S. Hutchenson | Hardy's/Dawson's Infantry Regiment 19th/24th Consolidated Arkansas Infantry Regiment 2nd/15th/24th Consolidated Arkansas Infantry Regiment 2nd/24th Consolidated Arkansas Infantry Regiment 1st Arkansas Consolidated Infantry |
| 25th Arkansas Infantry Regiment | June 13, 1862 | Colonel Charles J. Turnbull | 11th Battalion Arkansas Infantry 30th Arkansas Infantry Regiment 1st Arkansas Mounted Rifles (Consolidated) |
| 26th Arkansas Infantry Regiment | July 23, 1862 | Colonel Asa S. Morgan Colonel F. P. Yell Colonel Iverson L. Brooks [23] | 3rd Trans-Mississippi Regiment [55] |
| 27th Arkansas Infantry Regiment | July 31, 1862 | Colonel James R. Shaler [52] Colonel Robert G. Shaver [46] Colonel Beal Gaither Lieutenant Colonel James M. Riggs [23] | None |
| 28th Arkansas Infantry Regiment | July 19, 1862 [56] | Colonel Dandridge McRae [52] | McRae's Emergency Regiment 2nd Trans-Mississippi Regiment |
| 29th Arkansas Infantry Regiment | June 6, 1862 | Colonel Joseph C. Pleasants [52] | 1st Trans-Mississippi Infantry 37th Arkansas Infantry Regiment |
| 30th Arkansas Infantry Regiment | June 18, 1862 | Colonel A. J. McNeill [52] Colonel Robert A. Hart, Colonel James W. Rogan [23] Lieutenant Colonel Iverson L. Brooks [47] | 5th Trans-Mississippi Regiment 39th Arkansas Infantry Regiment Rogan's Arkansas Cavalry [54] [57] |
| 31st Arkansas Infantry Regiment | May 27, 1862 | Colonel Thomas Hamilton McCray | 1st Arkansas Mounted Rifles (Consolidated) |
| 32nd Arkansas Infantry Regiment | August 6, 1862 | Colonel Lucian C. Gause [23] [46] Colonel C. H. Matlock [52] Lieutenant Colonel William Hicks [47] | 4th Trans-Mississippi Regiment [58] |
| 33rd Arkansas Infantry Regiment | July 11, 1862 | Colonel H.L. Grinstead, [48] [52] Colonel Thomas D. Thomson [23] [46] | None |
| 34th Arkansas Infantry Regiment | August 16, 1862 | Colonel William H. Brooks [23] [52] | 2nd Regiment, Northwest Division, District of Arkansas [53] |
| 35th Arkansas Infantry Regiment | July 11, 1862 | Colonel Frank Rector Colonel James P. King Colonel Henry J. McCord [23] | 1st Arkansas Infantry, State Troops, 1st Regiment, Northwest Division, District of Arkansas Rector's War Regiment [53] 22nd Arkansas Infantry Regiment |
| 36th Arkansas Infantry Regiment | 11 July 1862, Redisgnated January 1863 | Colonel James M. Davie, [48] Colonel John E. Glenn [59] | 28th Arkansas Infantry Regiment Davie's Arkansas Infantry |
| 37th Arkansas Infantry Regiment | June 6, 1862 | Joseph C. Pleasants Colonel Samuel S. Beal [60] Major T. H. Blacknall [61] | 29th Arkansas Infantry Regiment , 1st Trans-Mississippi Infantry Regiment |
| 38th Arkansas Infantry Regiment | September 8, 1862 | Colonel Robert G. Shaver , [23] [46] [48] [52] Lieutenant Colonel William C. Adams Lieutenant Colonel Milton D. Baber, Major R. R. Henry | Shaver's Infantry Regiment 27th and 38th Consolidated Arkansas Infantry |
| 39th Arkansas Infantry Regiment (Cocke's) | Summer of 1862 | Colonel Albert W. Johnson Colonel Cadwalander Polk Colonel Alexander T. Hawthorn Colonel John B. Cocke Colonel Cadwallader Long Polk [23] | Cocke's Arkansas Infantry Regiment Johnson’s Arkansas Infantry Regiment, Hawthorn’s Arkansas Infantry Regiment Polk’s Arkansas Infantry Regiment Cocke’s Regiment of Arkansas Infantry 6th Trans-Mississippi Rifle Regiment |
| 40th Arkansas Infantry (Mounted) [62] | Fall 1863 |  | 15th (Northwest) Arkansas Infantry Regiment [63] or 19th (Dockery's) Arkansas Infantry Regiment [63] |
| 41st Arkansas Infantry (Mounted) | Fall 1863 | Colonel Daniel W. Jones | 41st Arkansas Infantry Regiment (Mounted) 20th Arkansas Infantry Regiment [63] |
| 42nd Arkansas Infantry (Mounted) [64] | Fall 1863 | Colonel Oliver P. Lyles [65] | 42nd Arkansas Infantry Regiment (Mounted) 23rd Arkansas Infantry Regiment (Mounted) [63] 23rd Arkansas Cavalry Regiment [66] |
| 43rd Arkansas Infantry (Mounted) | Fall 1863 |  | 19th (Dockery's) Arkansas Infantry Regiment [63] or 15th (Northwest) Arkansas Infantry Regiment [63] |
| 44th Arkansas Infantry (Mounted) | Fall 1863 | Colonel James H. McGehee [67] Lieutenant Colonel Jessup Grider [68] | 44th Arkansas Mounted Infantry [69] 29th Arkansas Cavalry Regiment McGehee's Arkansas Cavalry |
| 45th Arkansas Infantry (Mounted) | Summer 1864 | Colonel Milton D. Baber [54] Colonel James W. Clark [65] | 45th Arkansas Mounted Infantry [70] Shaver's Cavalry [71] |
| 46th Arkansas Infantry (Mounted) | Summer 1864 | Colonel John W. Crabtree Colonel William O. Coleman [54] [68] | 46th Arkansas Infantry [72] Crabtree's Arkansas Cavalry [73] Coleman's Arkansas Cavalry Regiment |
| 47th Arkansas Infantry (Mounted) | Summer 1864 | Colonel Lee Cradall [54] Lieutenant Colonel Richard M. Davis [65] | 47th Arkansas Mounted Infantry [54] [74] |
| 48th Arkansas Infantry (Mounted) [75] | Summer 1864 | Unknown | 48th Arkansas Infantry [76] 48th Arkansas Cavalry Regiment |
