# List of Sailor Moon episodes
> Episode list

| No. | Cloverway title [7] Original Japanese [8] and Viz [9] titles | Episode director(s) | Writer(s) | Art director(s) | Animation director(s) | Original airdate [8] | English airdate |
| 142 | "Recipe For Danger" "The Secret Mansion: A Menu of Love for You" "Himitsu no yakata! Ai no menyū wo anata ni" (秘密の館!愛のメニューを貴方に) | Yūji Endō | Megumi Sugihara | Minoru Ōkōchi | Katsumi Tamegai | July 15, 1995 | October 16, 2000 |
| 143 | "Kicking Into High Gear" "Believe in Pegasus: The Four Guardians' Super Transformation" "Pegasasu wo shinjiru toki! Yon Senshi no supā henshin" (天馬を信じる時!4戦士の超変身) | Noriyo Sasaki | Yoji Enokido | Kazuyuki Hashimoto | Taichi Nakamura | July 22, 1995 | October 17, 2000 |
| 144 | "Beach Blanket Bungle" "Shining Summer Days: Ami Under the Sea-Breeze" "Kirameku natsu no hi! Shiokaze no shōjo Ami" (きらめく夏の日!潮風の少女亜美) | Hiroki Shibata | Ryota Yamaguchi | Kazuhisa Asai | Masahiro Andō | August 12, 1995 | October 18, 2000 |
| 145 | "Tutu Treachery" "Become a Prima: Usagi's Ballet" "Purima wo nerae! Usagi no barei" (プリマをねらえ!うさぎのバレエ) | Harume Kosaka | Genki Yoshimura | Kenichi Tajiri | Mari Tominaga | August 19, 1995 | October 19, 2000 |
| 146 | "The Duchess's Day Off" "Juban Holiday: The Carefree Princess" "Jūbangai no kyūjitsu! Mujaki na ōjosama" (十番街の休日!無邪気な王女様) | Junichi Sato | Megumi Sugihara | Minoru Ōkōchi | Miho Shimogasa | August 26, 1995 | October 20, 2000 |
| 147 | "No Prince Charming" "Destined Partners? Makoto's Innocence" "Unmei no pātonā? Makoto no junjō" (運命のパートナー?まことの純情) | Yūji Endō | Ryota Yamaguchi | Kazuyuki Hashimoto | Hisashi Kagawa | September 2, 1995 | October 23, 2000 |
| 148 | "A True Reflection" "Shadow of Evil: The Trio's Last Chance" "Kyoaku no kage! Oitsumerareta torio" (巨悪の影!追いつめられたトリオ) | Kōnosuke Uda | Yoji Enokido | Kazuhisa Asai | Taichi Nakamura | September 23, 1995 | October 24, 2000 |
| 149 | "Eternal Dreams" "Mirrors of Dreams: the Amazon's Last Stage" "Yume no kagami! Amazon saigo no sutēji" (夢の鏡!アマゾン最後のステージ) | Hiroki Shibata | Yoji Enokido | Kenichi Tajiri | Katsumi Tamegai | October 21, 1995 | October 25, 2000 |
| 150 | "A New Nightmare" "The Amazoness: Nightmare From Behind the Mirrors" "Amazonesu! Kagami no ura kara kita akumu" (アマゾネス!鏡の裏から来た悪夢) | Kunihiko Ikuhara | Yoji Enokido | Minoru Ōkōchi | Masahiro Andō | October 28, 1995 | October 26, 2000 |
| 151 | "Heartfelt Melody" "True Power Explodes: Ami's Melody of the Heart" "Shin no pawā bakuhatsu! Ami kokoro no shirabe" (真のパワー爆発!亜美心のしらべ) | Takuya Igarashi | Ryota Yamaguchi | Kazuyuki Hashimoto | Mari Tominaga | November 4, 1995 | October 27, 2000 |
| 152 | "Dreams Of Her Own" "Flames of Passion: Mars's Raging Super Attack" "Honō no jōnetsu! Māzu ikari no chōhissatsu waza" (炎の情熱!マーズ怒りの超必殺技) | Harume Kosaka | Megumi Sugihara | Kazuhisa Asai | Ikuko Itō | November 11, 1995 | December 21, 2000 |
| 153 | "Dental Dilemma" "Dentist of Horrors? Palla-Palla's House" "Kyōfu no haishasan? Parapara no yakata" (恐怖の歯医者さん?パラパラの館) | Noriyo Sasaki | Genki Yoshimura | Kazuyuki Hashimoto | Masahiro Andō | November 18, 1995 | October 30, 2000 |
| 154 | "Nightmare Garden" "Clash of Dreams: Minako and Makoto's Broken Friendship" "Yume taiketsu! Minako to Makoto zekkō sengen" (夢対決!美奈子とまこと絶交宣言) | Yūji Endō | Ryota Yamaguchi | Kazuhisa Asai | Shigetaka Kiyoyama | November 25, 1995 | October 31, 2000 |
| 155 | "Vaulting To Victory" "Overcome Your Fear: the Jump to Freedom" "Kyōfu wo koete! Jiyū he no jampu" (恐怖を越えて!自由へのジャンプ) | Kōnosuke Uda | Megumi Sugihara | Minoru Ōkōchi | Miho Shimogasa | December 2, 1995 | November 1, 2000 |
| 156 | "Reflections of Reality" "Don't Lose Sight of Your Dreams: The Mirror of Truth" "Yume wo miushinawanaide! Shinjitsu wo utsusu kagami" (夢を見失わないで!真実を映す鏡) | Takuya Igarashi | Genki Yoshimura | Kazuhisa Asai | Katsumi Tamegai | December 9, 1995 | November 2, 2000 |
| 157 | "Dream Believer" "Pegasus Disappears: Wavering Friendship" "Pegasasu ga kieta!? Yure ugoku yūjō" (ペガサスが消えた!?ゆれ動く友情) | Harume Kosaka | Ryota Yamaguchi | Kazuyuki Hashimoto | Yūji Kondō | December 16, 1995 | November 3, 2000 |
| 158 | "Pegasus Revealed" "Pegasus's Secret: The Boy Who Protects the Dream World" "Pegasasu no himitsu! Yume sekai wo mamoru bishōnen" (天馬の秘密!夢世界を守る美少年) | Junichi Sato | Genki Yoshimura | Minoru Ōkōchi | Mamoru Kurosawa | December 23, 1995 | November 6, 2000 |
| 159 | "Rini's Lovely Rhapsody" "Chibi-Usa's Little Rhapsody of Love" "Chibiusa no chiisana koi no rapusodi" (ちびうさの小さな恋のラプソディ) | Kunihiko Ikuhara | Megumi Sugihara | Kazuhisa Asai | Ikuko Itō | January 13, 1996 | November 7, 2000 |
| 160 | "Tomorrow's Big Dreams" "Dream to be an Adult: The Amazoness' Confusion" "Otona ni naru yume! Amazonesu no tōwaku" (大人になる夢!アマゾネスの当惑) | Harume Kosaka | Megumi Sugihara | Kenichi Tajiri | Masahiro Andō | January 20, 1996 | November 8, 2000 |
| 161 | "Day Of Night" "Terror in Motion: The Dark Queen's Evil Hand" "Ugoki dashita kyōfu! Yami no joō no mashu" (動き出した恐怖!闇の女王の魔手) | Noriyo Sasaki | Genki Yoshimura | Tadao Kubota | Shigetaka Kiyoyama | January 27, 1996 | November 9, 2000 |
| 162 | "Show Time Showdown" "The Source of Darkness: Dead Moon Circus" "Yami no shingenchi Deddo Mūn Sākasu" (闇の震源地デッドムーンサーカス) | Yūji Endō | Ryota Yamaguchi | Minoru Ōkōchi | Minako Ito | February 3, 1996 | November 10, 2000 |
| 163 | "The Dark Legend" "Labyrinth of Mirrors: Chibi Moon Captured" "Kagami no meikyū! Toraerareta Chibi Mūn" (鏡の迷宮!捕えられたちびムーン) | Harume Kosaka | Yoji Enokido | Kazuyuki Hashimoto | Mari Tominaga | February 10, 1996 | November 13, 2000 |
| 164 | "One In The Hand" "The Golden Crystal Appears: Nehellenia's Magic" "Gōruden Kurisutaru shutsugen! Neherenia no maryoku" (黄金水晶出現!ネヘレニアの魔力) | Takuya Igarashi | Yoji Enokido | Kenichi Tajiri | Masahiro Andō | February 17, 1996 | November 14, 2000 |
| 165 | "Golden Revival" "When the Crystal Shines: The Beautiful Power of Dreams" "Kurisutaru kagayaku toki! Utsukushiki yume no chikara" (クリスタル輝く時!美しき夢の力) | Yūji Endō | Yoji Enokido | Kenichi Tajiri | Takayuki Ushirai | February 24, 1996 | November 15, 2000 |
| 166 | "The Sweetest Dream" "Dreams Forever: Fill the Heavens with Light" "Yume yo itsumademo! Hikari, ten ni michite" (夢よいつまでも!光, 天に満ちて) | Kunihiko Ikuhara | Yoji Enokido | Kazuhisa Asai | Ikuko Itō | March 2, 1996 | November 16, 2000 |
