# Gatwick Airport
> Airlines and destinations

| Airlines | Destinations | Terminal |
| easyJet | Aberdeen , Alicante , Amsterdam , Barcelona , Bari , Basel/Mulhouse , Belfast–International , Bologna , Brindisi , Budapest , Catania , Edinburgh , Faro , Fuerteventura , Geneva , Gibraltar , Glasgow , Gran Canaria , Hurghada , Inverness , Isle of Man , Jersey , Kraków , Lanzarote , La Palma , Larnaca , Lisbon , Ljubljana (begins 5 December 2016), [99] Lyon , Málaga , Malta , Marrakech , Murcia , Nantes , Naples , Nice , Palma de Mallorca , Paris–Charles de Gaulle , Porto , Reykjavík–Keflavík , Sharm el-Sheikh (suspended), Sofia , Stuttgart , Tallinn , Tel Aviv–Ben Gurion , Tenerife–South , Verona Seasonal: Antalya , Bastia , Bodrum , Brest , Cephalonia , Chania , Corfu , Dalaman , Figari , Grenoble , Ibiza , Izmir , Kos , La Rochelle , Östersund (begins 11 December 2016), [100] [101] Preveza , Pula , Rhodes , Salzburg , Santiago de Compostela , Santorini , Split , Tivat , Turin , Zakynthos | North |
| easyJet | Agadir , Almería , Athens , Berlin–Schönefeld , Bordeaux , Copenhagen , Funchal , Hamburg , Innsbruck , Luxembourg , Madrid , Marseille , Milan–Linate , Milan–Malpensa , Montpellier , Munich , Palermo , Paphos , Pisa , Prague , Rome–Fiumicino , Seville , Thessaloniki , Toulouse , Valencia , Venice , Vienna , Zürich Seasonal: Ajaccio , Biarritz , Dubrovnik , Friedrichshafen , Heraklion , Kalamata , Minorca , Mykonos , Olbia | South 2 |
| easyJet Switzerland | Basel/Mulhouse , Geneva | North |
| Emirates | Dubai–International | North |
| Enter Air | Seasonal charter: Corfu , Heraklion , Kos , Rhodes , Skiathos , Thessaloniki , Zakynthos | South |
| Flybe | Newquay | South |
| Germania | Pristina Seasonal charter: Chambéry , Corfu , Heraklion , Kos , Lyon , Rhodes , Samos , Skiathos , Thessaloniki , Zakynthos | South |
| Iberia Express | Madrid | South |
| Icelandair | Reykjavík–Keflavík | North |
| Iraqi Airways operated by AirExplore | Baghdad , 3 Sulaimaniyah 3 | South |
| Med-View Airline | Lagos | South |
| Meridiana | Naples , Cagliari , Olbia | North |
| Monarch Airlines | Alicante , Almeria , Barcelona , Faro , Funchal , Gibraltar , Gran Canaria , Hurghada , Lanzarote , Lisbon , Málaga , Minorca , Nice , Palma de Mallorca , Tenerife–South , Venice , Zagreb (begins 28 April 2017) [102] Seasonal: Antalya , Dalaman , Dubrovnik , Friedrichshafen , Geneva , Grenoble , Ibiza , Innsbruck , Kittilä (begins 2 December 2016), [103] Larnaca , Lyon , Paphos , Preveza , Rhodes , Salzburg , Turin (begins 7 January 2017), [103] Verona | South |
| Montenegro Airlines | Seasonal: Tivat | South |
| Norwegian Air Shuttle operated by Norwegian Air International | Aalborg , Alicante , Barcelona , Bergen , Berlin–Schönefeld , Budapest , Copenhagen , Faro , Fuerteventura , Funchal , Gothenburg , Helsinki , Larnaca , Gran Canaria , Lanzarote , Madrid , Málaga , Nice , Oslo–Gardermoen , Palma de Mallorca , Reykjavík–Keflavík (begins 1 November 2016), [104] Rome–Fiumicino , Rovaniemi (begins 19 December 2016), [104] Stavanger , Stockholm–Arlanda , Tenerife–South , Tromsø , Trondheim , Warsaw–Chopin Seasonal: Ålesund , Almeria , Cephalonia , Chania , Corfu , Dubrovnik , Grenoble , Ibiza , Pula , Salzburg , Santorini , Split Seasonal charter: Grenoble , Lleida–Alguaire , Sofia | South |
| Norwegian Air Shuttle operated by Norwegian Long Haul [nb 7] | Boston , Fort Lauderdale , Las Vegas (begins 31 October 2016), [105] Los Angeles , New York–JFK , Oakland , Orlando–International , San Juan | South |
| Nouvelair | Seasonal charter: Djerba , Monastir | South |
| Pegasus Airlines | Istanbul–Sabiha Gökçen Seasonal: Antalya , Bodrum , Dalaman | South |
| Royal Air Maroc | Casablanca , Marrakech , Rabat | North |
| Ryanair | Alicante (resumes 31 October 2016), Belfast–International , Cork , Dublin , Kaunas (ends 28 October 2016), Shannon , Seville | South |
| Small Planet Airlines | Seasonal charter: Athens , Banjul , Corfu , Chania , Heraklion , Kalamata , Kefalonia , Kos , Larnaca , Gran Canaria , Malta , Preveza , Rhodes , Santorini , Skiathos , Tirana , Zakynthos | South |
| SmartWings operated by Travel Service | Prague | South |
| SunExpress | İzmir | South |
| Swiss International Air Lines | Seasonal: Geneva , Zurich (begins 24 December 2016) | South |
| TAP Portugal | Lisbon , Porto | South |
| Thomas Cook Airlines | Antalya , Bodrum , Cancún , Dalaman , Enfidha , Fuerteventura , Holguín , Hurghada , Izmir , Gran Canaria , Lanzarote , Paphos , Punta Cana , Tenerife–South Seasonal: Almería , Banjul , Barbados , Cape Town (begins 15 December 2016), [106] Cayo Coco , Corfu , Djerba , Faro , Geneva , Goa , Genoa , Grenoble , Heraklion , Ibiza , Innsbruck , Lleida–Alguaire , Kefalonia , Kos , Larnaca , Lemnos , Minorca , Olbia , Orlando–International , Palma de Mallorca , Preveza , Rhodes , Rovaniemi , Sal , Salzburg , Santorini , Skiathos , Sofia , Thessaloniki , Turin , Zakynthos | South |
| Thomas Cook Airlines operated by SmartLynx Airlines | Seasonal: Antalya , Burgas , Corfu , Gran Canaria , Heraklion , Kalamata , Kavala , Kos , Malta , Minorca , Naples , Paphos , Reus , Tenerife–South | South |
| Thomson Airways | Agadir , Alicante , Antalya , Boa Vista , Cancún , Dalaman , Dubai–Al Maktoum (begins 2 November 2016), Fuerteventura , Funchal , Girona , Heraklion , Gran Canaria , La Palma , Lanzarote , Liberia , Luxor (begins 2 November 2016), Málaga , Malta , Marrakech , Marsa Alam , Mauritius , Montego Bay , Orlando/Sanford , Palma de Mallorca , Paphos , Puerto Plata , Puerto Vallarta , Punta Cana , Sal , Tenerife–South , Varadero Seasonal: Almeria , Acapulco , Alghero , Araxos Patras , Aruba , Barbados , Bodrum , Burgas , Catania , Chambéry , Chania , Colombo (begins 7 November 2016), Corfu , Dubrovnik , Fagernes , Faro , Geneva , Grenoble , Ibiza , Innsbruck , Ivalo , İzmir , Jerez , Kavala , Kefalonia , Kittilä , Kos , Kuusamo , Larnaca , Minorca , Mykonos , Naples , Phuket , Plovdiv , Preveza , Pula , Reus , Rhodes , Salzburg , Samos , Santorini , Skiathos , Sofia , Split , Thessaloniki , Tivat , Toulouse , Turin , Venice , Verona , Zakynthos | North |
| Tianjin Airlines | Chongqing , Tianjin | North |
| Tunisair | Tunis | South |
| Turkish Airlines | Istanbul–Atatürk , Istanbul–Sabiha Gökçen | South |
| Ukraine International Airlines | Kiev–Boryspil | South |
| Virgin Atlantic | Antigua , Barbados , Cancún , Grenada , Havana , Las Vegas , Montego Bay , Orlando–International , Saint Lucia , Tobago , Varadero (begins 2 April 2017) [107] | South 4 |
| Vueling | Asturias , Barcelona , Bilbao , Florence , Paris–Charles de Gaulle , Rome–Fiumicino , Santiago de Compostela , Rennes (begins 29 November 2016) [108] | North |
| WestJet | Calgary , Toronto–Pearson Seasonal: Edmonton , Ottawa , St. John's , Vancouver , Winnipeg | North |
| Wizz Air | Bucharest | South |
| WOW air | Reykjavík–Keflavík | South |
