# List of Dragon Ball Z episodes
> Episode list

| Orig. ep# | Initial dub ep# | Translated title/Funimation's dub title Original Japanese title | Original airdate | English airdate |
| 178 | 163 | "Direct Hit to Earth!! Cell's Extra-Large Kamehame-Ha" / "Cell's Bag of Tricks" "Chikyū Chokugeki!! Seru no Tokudai Kamehameha" (地球直撃!!セルの特大カメハメ波) | March 17, 1993 | November 30, 2000 |
| 179 | 164 | "Defeat or Death!? Goku's Turnabout Ploy" / "No More Rules" "Haiboku ka Shi ka!? Gokū, Gyakuten no Hisaku" (敗北か死か!?悟空、逆転の秘策) | March 31, 1993 | December 4, 2000 |
| 180 | 165 | "A Conclusion to the Deathmatch!! Goku's Declaration of Surrender!?" / "The Fight is Over" "Shitō ni Ketchaku!! Gokū no Kōsan Sengen!?" (死闘に決着!!悟空の降参宣言!?) | April 7, 1993 | December 5, 2000 |
| 181 | 166 | "He Who Takes Over as Strongest... His Name is Gohan" / "Faith in a Boy" "Saikyō o Tsugu Mono... Sono Na wa Gohan" (最強を継ぐ者…その名は悟飯) | April 14, 1993 | December 6, 2000 |
| 182 | 167 | "Become Enraged, Gohan — Call Forth Your Dormant Power" / "Gohan's Desperate Plea" "Okore Gohan Nemureru Chikara o Yobiokose" (怒れ悟飯眠れる力を呼び起せ) | April 21, 1993 | December 7, 2000 |
| 183 | 168 | "Teeny Menaces!! Attack of the Cell Juniors" / "Android Explosion" "Chitchana Kyōi!! Seru Junia Raishū" (ちっちゃな脅威!!セルジュニア来襲) | April 28, 1993 | December 11, 2000 |
| 184 | 169 | "The Tragic No. 16!! An Enraged Super Gohan Begins Taking Action" / "Cell Juniors Attack!" "Jūrokugō Muzan!! Ugokidasu Ikari no Sūpā Gohan" (16号無惨!!動き出す怒りの超悟飯) | May 5, 1993 | December 12, 2000 |
| 185 | 170 | "Devastating True Power!! The Cell Juniors Pulverized" / "The Unleashing" and "Awakening" "Fukiareru Shin no Pawā!! Seru Junia Funsai" (吹き荒れる真の力!!セルジュニア粉砕) | May 12, 1993 | December 13, 2000 |
| 186 | 171 | "Cell Gets KO'ed!! Just Two Super Ironfisted Blows" / "The Unstoppable Gohan" "Seru o Nokkuauto!! Tatta Nihatsu no Chō Tekken" (セルをKO（ノックアウト）!!たった２発の超鉄拳) | May 19, 1993 | December 14, 2000 |
| 187 | 172 | "Something Amiss With Cell!! His Perfect Form Crumbles" / "Cell's Mighty Breakdown" "Seru ni Ihen!! Kuzusareta Kanzentai" (セルに異変!!崩された完全体) | May 26, 1993 | December 18, 2000 |
| 188 | 173 | "Bye-Bye, Everyone!! Goku's Last Instantaneous Movement" / "A Hero's Farewell" "Bai Bai Minna!! Gokū Saigo no Shunkan Idō" (バイバイみんな!!悟空最後の瞬間移動) | June 2, 1993 | December 19, 2000 |
| 189 | 174 | "A Nightmare in Broad Daylight!! The Terror Becomes Even More Perfect" / "Cell Returns!" "Hakuchū no Akuma!! Kyōfu wa yori Kanpeki ni" (白昼の悪夢!!恐怖はより完璧に) | June 16, 1993 | December 20, 2000 |
| 190 | 175 | "From Goku to Gohan... The Spirit of the Father is Handed Down" / "The Horror Won't End" "Gokū kara Gohan e... Chichi no Tamashii wa Tsutawatta" (悟空から悟飯へ…父の魂は伝わった) | June 23, 1993 | December 21, 2000 |
| 191 | 176 | "The Battle is Over... Thank You, Son Goku" / "Save the World" "Tatakai wa Owatta... Arigatō Son Gokū" (戦いは終った…ありがとう孫悟空) | June 30, 1993 | December 26, 2000 |
| 192 | 177 | "I'm Going to Train In the Next World!! A Smile at Parting" / "Goku's Decision" "Ora Ano Yo de Shugyō suru!! Egao no Wakare" (オラあの世で修業する!!笑顔の別れ) | July 7, 1993 | December 27, 2000 |
| 193 | 178 | "New Days... Father! I'm Hanging In There" / "One More Wish" "Atarashii Hibi... Tōsan! Boku Ganbaru" (新しい日々…父さん！ボクがんばる) | July 14, 1993 | December 28, 2000 |
| 194 | 179 | "One More Conclusion!! I Will Defend the Future" / "Free the Future" "Mō Hitotsu no Ketsumatsu!! Mirai wa Ore ga Mamoru" (もう一つの結末!!未来はオレが守る) | July 21, 1993 | December 29, 2000 |
