# List of The Many Loves of Dobie Gillis episodes
> Series overview

| No. in series | No. in season | Title | Directed by | Written by | Original airdate | Production number |
| 26 | 26 | "That's Show Biz" | Rod Amateau | Max Shulman | April 5, 1960 ( 1960-04-05 ) | 3430 |
| 27 | 27 | "The Prettiest Collateral in Town" | Rod Amateau | Teleplay: Joel Kane Story: Jerry Davis | April 12, 1960 ( 1960-04-12 ) | 3432 |
| 28 | 28 | "Live Alone and Like It" | Rod Amateau | Joel Kane & Sumner Long | April 19, 1960 ( 1960-04-19 ) | 3431 |
| 29 | 29 | "The Big Sandwich" | Rod Amateau | Ray Allen & Ben Gershman | April 26, 1960 ( 1960-04-26 ) | 3404 |
| 30 | 30 | "Soup and Fish" | Rod Amateau | Phil Davis & Joel Kane | May 3, 1960 ( 1960-05-03 ) | 3433 |
| 31 | 31 | "Where There's a Will" | Rod Amateau | Ray Allen | May 10, 1960 ( 1960-05-10 ) | 3434 |
| 32 | 32 | "Put Your Feet In Our Hands" | Robert Butler | Teleplay: Joel Kane Story: Nord Riley | May 17, 1960 ( 1960-05-17 ) | 3435 |
| 33 | 33 | "Competition Is the Life of Trade" | Robert Gordon | Dick Conway, Roland MacLane & Joel Kane | May 24, 1960 ( 1960-05-24 ) | 3436 |
| 34 | 34 | "The French, They Are a Funny Race" | Rod Amateau | Teleplay: Joel Kane Story: Harvey Helm & Bernard Drew | May 31, 1960 ( 1960-05-31 ) | 3437 |
| 35 | 35 | "The Unregistered Nurse" | H. Bruce Humberstone | Phil Davis | June 7, 1960 ( 1960-06-07 ) | 3412 |
| 36 | 36 | "The Long Arm of the Law" | Guy Scarpitta | Lee Karson & Joel Kane | June 14, 1960 ( 1960-06-14 ) | 3438 |
| 37 | 37 | "Here Comes the Groom" | Rod Amateau | Teleplay: Joel Kane & Max Shulman Story: George Beck | June 21, 1960 ( 1960-06-21 ) | 3439 |
| 38 | 38 | "A Taste for Lobster" | Rod Amateau | Arnold Horwitt | June 28, 1960 ( 1960-06-28 ) | 3418 |
| 39 | 39 | "Rock-A-Bye Dobie" | Rod Amateau | Ray Allen | July 5, 1960 ( 1960-07-05 ) | 3427 |
