# Ultimate X match
> Ultimate X matches

| No. | Match (if no championship is listed, then that means the big red "X" was the prize for the match) | Event, Date and Location |
| 20 | The Motor City Machine Guns (Alex Shelley and Chris Sabin) defeated Generation Me (Jeremy Buck and Max Buck) to become the number one contenders to the TNA World Tag Team Championship | Destination X March 21, 2010 Orlando, Florida |
| 21 | Douglas Williams defeated Brian Kendrick via submission to retain the TNA X Division Championship | Victory Road July 11, 2010 Orlando, Florida |
| 22 | The Motor City Machine Guns (Alex Shelley and Chris Sabin) defeated Beer Money, Inc. ( James Storm and Robert Roode ) | TNA Impact! August 5, 2010 Orlando, Florida |
| 23 | Kazarian defeated Mr. Anderson | TNA Impact! October 21, 2010 Orlando, Florida |
| 24 | Kazarian defeated Jeremy Buck, Max Buck and Robbie E to retain the TNA X Division Championship | Victory Road March 13, 2011 Orlando, Florida |
| 25 | Alex Shelley defeated Amazing Red, Robbie E and Shannon Moore to become the number one contender to the TNA X Division Championship | Destination X July 10, 2011 Orlando, Florida |
| 26 | Brian Kendrick defeated Abyss to retain the TNA X Division Championship | Impact Wrestling July 28, 2011 Orlando, Florida |
| 27 | Austin Aries defeated Chris Sabin and Zema Ion to retain the TNA X Division Championship | Impact Wrestling June 14, 2012 Orlando, Florida |
| 28 | Zema Ion defeated Kenny King , Mason Andrews and Sonjay Dutt to win the vacant TNA X Division Championship | Destination X July 8, 2012 Orlando, Florida |
| 29 | Kenny King defeated Zema Ion, Rubix and Mason Andrews | X-Travaganza January 12, 2013 Orlando, Florida |
| 30 | Chris Sabin defeated Kenny King and Suicide to win the TNA X Division Championship | Slammiversary XI June 2, 2013 Boston, Massachusetts |
| 31 | Manik defeated Greg Marasciulo and Sonjay Dutt to win the vacant TNA X Division Championship | Impact Wrestling July 18, 2013 Louisville, Kentucky |
| 32 | Chris Sabin defeated Manik (c) Jeff Hardy , Samoa Joe and Austin Aries to win the TNA X Division Championship | Bound for Glory October 20, 2013 San Diego, California |
| 33 | Low Ki defeated Rashad Cameron , Kenny King, Ace Vedder, Sonjay Dutt and Tigre Uno | X-Travaganza 2 April 12, 2014 Orlando, Florida |
| 34 | The Wolves ( Davey Richards and Eddie Edwards ) defeated The Revolution ( The Great Sanada & Manik ) and The BroMans ( DJZ and Jessie Godderz ) to retain the TNA World Tag Team Championship | Impact Wrestling January 31, 2015 London, England |
| 35 | Rockstar Spud defeated DJ Z , Kenny King, Tigre Uno , Crazzy Steve and Manik | X-Travaganza 3 February 15, 2015 Orlando, Florida |
| 36 | Jeff & Matt Hardy defeated The Beat Down Clan ( Kenny King & Low Ki ), Ethan Carter III & Bram , and Bobby Roode & Austin Aries to win the TNA World Tag Team Championship | Impact Wrestling March 16, 2015 Orlando, Florida |
| 37 | Tigre Uno (c) defeated DJZ, Manik, and Andrew Everett to retain the TNA X Division Championship | Bound for Glory October 4, 2015 Concord, North Carolina |
| 38 | Eddie Edwards defeated Mike Bennett (c), DJZ, Mandrews , Trevor Lee , Braxton Sutter , Rockstar Spud and Andrew Everett to win the TNA X Division Championship | Impact Wrestling June 15, 2016 Orlando, Florida |
| 39 | DJZ defeated Trevor Lee, Andrew Everett , Rockstar Spud, Mandrews and Braxton Sutter to win the TNA X Division Championship | Impact Wrestling September 1, 2016 Orlando, Florida |
| 40 | The Helms Dynasty (Trevor Lee & Andrew Everett) defeated The BroMans ( Robbie E & Jessie Godderz ) | X-Travaganza 4 July 14, 2016 Orlando, Florida |
