# 2006 Geelong Football Club season
> Club list

| Player | # | AFL debut | Games | Goals | Behinds | Kicks | Handballs | Disposals | Marks | Tackles |
| Ling, Cameron Cameron Ling | 45 | 2000 | 022 ! 22 | 010 ! 10 | 003 ! 3 | 248 | 255 | 503 | 131 | 061 ! 61 |
| Lonergan, Tom Tom Lonergan | 13 | 2005 | 003 ! 3 | 001 ! 1 | 002 ! 2 | 017 ! 17 | 007 ! 7 | 024 ! 24 | 012 ! 12 | 005 ! 5 |
| Mackie, Andrew Andrew Mackie | 4 | 2004 | 014 ! 14 | 010 ! 10 | 010 ! 10 | 150 | 070 ! 70 | 220 | 075 ! 75 | 026 ! 26 |
| McCarthy, Matthew Matthew McCarthy | 26 | 2003 | 004 ! 4 | 006 ! 6 | 001 ! 1 | 022 ! 22 | 007 ! 7 | 029 ! 29 | 017 ! 17 | 005 ! 5 |
| Milburn, Darren Darren Milburn | 39 | 1997 | 022 ! 22 | 004 ! 4 | 008 ! 8 | 242 | 209 | 451 | 167 | 049 ! 49 |
| Mooney, Cameron Cameron Mooney | 21 | 1999 | 017 ! 17 | 022 ! 22 | 008 ! 8 | 177 | 082 ! 82 | 259 | 124 | 020 ! 20 |
| Ottens, Brad Brad Ottens | 6 | 1998 | 022 ! 22 | 026 ! 26 | 020 ! 20 | 139 | 104 | 243 | 104 | 045 ! 45 |
| Owen, Stephen Stephen Owen | 31 | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — |
| Playfair, Henry Henry Playfair | 22 | 2003 | 008 ! 8 | 005 ! 5 | 005 ! 5 | 032 ! 32 | 033 ! 33 | 065 ! 65 | 041 ! 41 | 011 ! 11 |
| Prismall, Brent Brent Prismall | 32 | 2006 | 008 ! 8 | 004 ! 4 | 002 ! 2 | 072 ! 72 | 034 ! 34 | 106 | 030 ! 30 | 011 ! 11 |
| Riccardi, Peter Peter Riccardi | 15 | 1992 | 006 ! 6 | 003 ! 3 | 002 ! 2 | 050 ! 50 | 021 ! 21 | 071 ! 71 | 020 ! 20 | 010 ! 10 |
| Rooke, Max Max Rooke | 33 | 2002 | 017 ! 17 | 008 ! 8 | 001 ! 1 | 114 | 121 | 235 | 062 ! 62 | 055 ! 55 |
| Scarlett, Matthew Matthew Scarlett | 30 | 1998 | 020 ! 20 | 004 ! 4 | 002 ! 2 | 237 | 087 ! 87 | 324 | 109 | 022 ! 22 |
| Spencer, Matthew Matthew Spencer | 25 | 2006 | 002 ! 2 | 0 | 0 | 003 ! 3 | 006 ! 6 | 009 ! 9 | 002 ! 2 | 002 ! 3 |
| Stokes, Mathew Mathew Stokes | 27 | 2006 | 009 ! 9 | 009 ! 9 | 005 ! 5 | 072 ! 72 | 045 ! 45 | 117 | 051 ! 51 | 023 ! 23 |
| Tenace, Kane Kane Tenace | 10 | 2004 | 014 ! 14 | 003 ! 3 | 001 ! 1 | 150 | 051 ! 51 | 201 | 047 ! 47 | 023 ! 23 |
| Varcoe, Travis Travis Varcoe | 5 | 00 ! — [a] | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — |
| West, Trent Trent West | 12 | 00 ! — [b] | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — | 00 ! — |
| Wojcinski, David David Wojcinski | 40 | 1999 | 015 ! 15 | 001 ! 1 | 001 ! 6 | 116 | 080 ! 80 | 196 | 045 ! 45 | 030 ! 30 |
