# List of longest - living United States Senators
> Oldest senators currently living

| Rank | Senator | Date of birth | Senate term | State served | Party | Age (years, days) |
| 78 | Paul G. Kirk | January 18, 1938 | 2009 – 2010 | Massachusetts | Democratic | 7009248551200000000♠ 78 years, 278 days |
| 79 | Donald W. Riegle, Jr. | February 4, 1938 | 1976 – 1995 | Michigan | Democratic | 7009248404320000000♠ 78 years, 261 days |
| 80 | Steve Symms | April 23, 1938 | 1981 – 1993 | Idaho | Republican | 7009247721760000000♠ 78 years, 182 days |
| 81 | Kaneaster Hodges, Jr. | August 20, 1938 | 1977 – 1979 | Arkansas | Democratic | 7009246693600000000♠ 78 years, 63 days |
| 82 | Sam Nunn | September 8, 1938 | 1972 – 1997 | Georgia | Democratic | 7009246529440000000♠ 78 years, 44 days |
| 83 | Kit Bond | March 6, 1939 | 1987 – 2011 | Missouri | Republican | 7009244980720000000♠ 77 years, 230 days |
| 84 | Ted Kaufman | March 15, 1939 | 2009 – 2010 | Delaware | Democratic | 7009244902960000000♠ 77 years, 221 days |
| 85 | Chuck Robb | June 26, 1939 | 1989 – 2001 | Virginia | Democratic | 7009244013040000000♠ 77 years, 118 days |
| 86 | Tim Wirth | September 22, 1939 | 1987 – 1993 | Colorado | Democratic | 7009243252720000000♠ 77 years, 30 days |
| 87 | Tom Harkin | November 19, 1939 | 1985 – 2015 | Iowa | Democratic | 7009242758080000000♠ 76 years, 338 days |
| 88 | Harry Reid | December 2, 1939 | 1987 – present | Nevada | Democratic | 7009242645760000000♠ 76 years, 325 days |
| 89 | Donald W. Stewart | February 8, 1940 | 1978 – 1981 | Alabama | Democratic | 7009242058240000000♠ 76 years, 257 days |
| 90 | Hank Brown | February 12, 1940 | 1991 – 1997 | Colorado | Republican | 7009242023680000000♠ 76 years, 253 days |
| 91 | Patrick Leahy | March 31, 1940 | 1975 – present | Vermont | Democratic | 7009241608960000000♠ 76 years, 205 days |
| 92 | Lamar Alexander | July 3, 1940 | 2003 – present | Tennessee | Republican | 7009240796800000000♠ 76 years, 111 days |
| 93 | William Cohen | August 28, 1940 | 1979 – 1997 | Maine | Republican | 7009240312960000000♠ 76 years, 55 days |
| 94 | Wyche Fowler | October 6, 1940 | 1987 – 1993 | Georgia | Democratic | 7009239976000000000♠ 76 years, 16 days |
| 95 | Gordon J. Humphrey | October 9, 1940 | 1979 – 1990 | New Hampshire | Republican | 7009239950080000000♠ 76 years, 13 days |
| 96 | Connie Mack III | October 29, 1940 | 1989 – 2001 | Florida | Republican | 7009239783760000000♠ 75 years, 359 days |
| 97 | Barbara Boxer | November 11, 1940 | 1993 – present | California | Democratic | 7009239671440000000♠ 75 years, 346 days |
| 98 | Robert C. Smith | March 30, 1941 | 1990 – 2003 | New Hampshire | Republican | 7009238461840000000♠ 75 years, 206 days |
| 99 | David L. Boren | April 21, 1941 | 1979 – 1994 | Oklahoma | Democratic | 7009238271760000000♠ 75 years, 184 days |
| 100 | Ben Nelson | May 17, 1941 | 2001 – 2013 | Nebraska | Democratic | 7009238047120000000♠ 75 years, 158 days |
