# Demographics of the Faroe Islands
> Vital statistics since 1900 [ 4 ] [ 5 ]

|  | Average population | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| 1943 | 28 300 | 804 | 235 | 569 | 28.4 | 8.3 | 20.1 |
| 1944 | 28 700 | 732 | 247 | 485 | 25.5 | 8.6 | 16.9 |
| 1945 | 29 000 | 718 | 247 | 471 | 24.8 | 8.5 | 16.2 |
| 1946 | 29 000 | 708 | 248 | 460 | 24.4 | 8.6 | 15.9 |
| 1947 | 30 000 | 742 | 242 | 500 | 24.7 | 8.1 | 16.7 |
| 1948 | 30 000 | 821 | 227 | 595 | 27.4 | 7.6 | 19.8 |
| 1949 | 31 000 | 876 | 256 | 626 | 28.3 | 8.3 | 20.2 |
| 1950 | 31 000 | 856 | 282 | 585 | 27.6 | 9.1 | 18.9 |
| 1951 | 31 000 | 857 | 229 | 628 | 27.6 | 7.4 | 20.3 |
| 1952 | 32 000 | 809 | 240 | 569 | 25.3 | 7.5 | 17.8 |
| 1953 | 33 000 | 758 | 228 | 530 | 23.0 | 6.9 | 16.1 |
| 1954 | 33 000 | 757 | 248 | 509 | 22.9 | 7.5 | 15.4 |
| 1955 | 32 000 | 749 | 221 | 528 | 23.4 | 6.9 | 16.5 |
| 1956 | 33 000 | 767 | 239 | 528 | 23.2 | 7.2 | 16.0 |
| 1957 | 33 000 | 746 | 268 | 478 | 22.6 | 8.1 | 14.5 |
| 1958 | 34 000 | 845 | 226 | 619 | 24.9 | 6.6 | 18.2 |
| 1959 | 34 000 | 856 | 242 | 614 | 25.2 | 7.1 | 18.1 |
| 1960 | 34 000 | 764 | 274 | 490 | 22.5 | 8.1 | 14.4 |
| 1961 | 35 000 | 781 | 206 | 575 | 22.3 | 5.9 | 16.4 |
| 1962 | 36 000 | 800 | 234 | 566 | 22.2 | 6.5 | 15.7 |
| 1963 | 36 000 | 848 | 242 | 606 | 23.6 | 6.7 | 16.8 |
| 1964 | 36 000 | 857 | 253 | 604 | 23.8 | 7.0 | 16.8 |
| 1965 | 37 000 | 889 | 261 | 628 | 24.0 | 7.1 | 17.0 |
| 1966 | 37 000 | 969 | 262 | 707 | 26.2 | 7.1 | 19.1 |
| 1967 | 38 000 | 956 | 289 | 667 | 25.2 | 7.6 | 17.6 |
| 1968 | 38 000 | 878 | 262 | 616 | 23.1 | 6.9 | 16.2 |
| 1969 | 38 300 | 843 | 269 | 574 | 22.0 | 7.0 | 15.0 |
| 1970 | 38 700 | 814 | 287 | 527 | 21.0 | 7.4 | 13.6 |
| 1971 | 38 700 | 779 | 308 | 471 | 20.1 | 8.0 | 12.2 |
| 1972 | 38 900 | 798 | 267 | 531 | 20.5 | 6.9 | 13.7 |
| 1973 | 39 400 | 808 | 303 | 505 | 20.5 | 7.7 | 12.8 |
| 1974 | 40 100 | 798 | 303 | 495 | 19.9 | 7.6 | 12.3 |
| 1975 | 40 800 | 781 | 280 | 501 | 19.1 | 6.9 | 12.3 |
| 1976 | 41 300 | 756 | 291 | 465 | 18.3 | 7.0 | 11.3 |
| 1977 | 41 800 | 759 | 271 | 488 | 18.2 | 6.5 | 11.7 |
| 1978 | 42 400 | 742 | 303 | 439 | 17.5 | 7.1 | 10.4 |
| 1979 | 43 000 | 790 | 269 | 521 | 18.4 | 6.3 | 12.1 |
| 1980 | 43 400 | 741 | 309 | 432 | 17.1 | 7.1 | 10.0 |
| 1981 | 43 800 | 753 | 293 | 460 | 17.2 | 6.7 | 10.5 |
| 1982 | 44 200 | 726 | 316 | 410 | 16.4 | 7.1 | 9.3 |
| 1983 | 44 500 | 688 | 361 | 327 | 15.5 | 8.1 | 7.3 |
| 1984 | 45 000 | 695 | 350 | 345 | 15.4 | 7.8 | 7.7 |
| 1985 | 45 500 | 760 | 342 | 418 | 16.7 | 7.5 | 9.2 |
| 1986 | 46 000 | 794 | 371 | 423 | 17.3 | 8.1 | 9.2 |
| 1987 | 46 600 | 785 | 377 | 408 | 16.8 | 8.1 | 8.8 |
| 1988 | 47 300 | 880 | 426 | 454 | 18.6 | 9.0 | 9.6 |
| 1989 | 47 700 | 946 | 375 | 571 | 19.8 | 7.9 | 12.0 |
| 1990 | 47 600 | 955 | 359 | 596 | 20.1 | 7.5 | 12.5 |
| 1991 | 47 400 | 873 | 397 | 476 | 18.4 | 8.4 | 10.0 |
| 1992 | 47 100 | 811 | 401 | 410 | 17.2 | 8.5 | 8.7 |
| 1993 | 46 100 | 771 | 380 | 391 | 16.7 | 8.2 | 8.5 |
| 1994 | 44 500 | 670 | 354 | 316 | 15.1 | 8.0 | 7.1 |
| 1995 | 43 600 | 641 | 363 | 278 | 14.7 | 8.3 | 6.4 |
| 1996 | 43 600 | 673 | 396 | 277 | 15.4 | 9.1 | 6.4 |
| 1997 | 44 000 | 663 | 376 | 287 | 15.1 | 8.5 | 6.5 |
| 1998 | 44 500 | 625 | 377 | 248 | 14.0 | 8.5 | 5.6 |
| 1999 | 45 100 | 626 | 401 | 225 | 13.9 | 8.9 | 5.0 |
| 2000 | 46 022 | 692 | 352 | 340 | 15.1 | 7.7 | 7.4 |
| 2001 | 46 867 | 632 | 358 | 274 | 13.6 | 7.7 | 5.9 |
| 2002 | 47 558 | 709 | 392 | 317 | 15.0 | 8.3 | 6.7 |
| 2003 | 48 118 | 705 | 404 | 301 | 14.7 | 8.4 | 6.3 |
| 2004 | 48 301 | 713 | 379 | 334 | 14.8 | 7.8 | 6.9 |
| 2005 | 48 106 | 712 | 419 | 293 | 14.7 | 8.7 | 6.1 |
| 2006 | 48 269 | 662 | 416 | 246 | 13.7 | 8.6 | 5.1 |
| 2007 | 48 311 | 672 | 380 | 292 | 13.9 | 7.9 | 6.0 |
| 2008 | 48 637 | 661 | 373 | 288 | 13.6 | 7.7 | 5.9 |
| 2009 | 48 530 | 598 | 386 | 212 | 12.3 | 7.9 | 4.4 |
| 2010 | 48 489 | 639 | 348 | 291 | 13.2 | 7.2 | 6.0 |
| 2011 | 48 256 | 576 | 371 | 207 | 12.0 | 7.7 | 4.3 |
| 2012 | 48 051 | 619 | 406 | 210 | 12.8 | 8.4 | 4.4 |
| 2013 | 48 126 | 628 | 364 | 260 | 13.0 | 7.6 | 5.4 |
| 2014 | 48 660 | 639 | 392 | 246 | 13.1 | 8.0 | 5.1 |
