# List of countries by past and projected GDP ( nominal )
> IMF estimates between 2010 and present

| Country (or dependent territory) | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 |
| Lithuania | 37,166 | 43,525 | 42,843 | 46,418 | 48,288 | 41,776 | 44,614 |
| Luxembourg | 52,446 | 58,754 | 56,001 | 61,514 | 65,683 | 57,929 | 61,257 |
| Macedonia | 9,415 | 10,659 | 9,751 | 10,774 | 11,342 | 10,088 | 10,564 |
| Madagascar | 8,730 | 9,893 | 9,920 | 10,602 | 10,674 | 9,514 | 9,170 |
| Malawi | 6,957 | 7,984 | 5,981 | 5,432 | 6,055 | 6,388 | 6,149 |
| Malaysia | 255,024 | 297,961 | 314,443 | 323,342 | 338,108 | 313,479 | 350,992 |
| Maldives | 2,332 | 2,332 | 2,534 | 2,699 | 2,885 | 3,031 | 3,228 |
| Mali | 9,440 | 10,686 | 10,442 | 11,115 | 12,094 | 10,954 | 11,882 |
| Malta | 8,757 | 9,604 | 9,260 | 9,972 | 10,514 | 9,190 | 9,721 |
| Marshall Islands | 164 | 173 | 184 | 191 | 193 | 195 | 201 |
| Mauritania | 4,344 | 5,136 | 4,840 | 5,163 | 5,081 | 4,677 | 4,794 |
| Mauritius | 9,795 | 11,035 | 11,218 | 11,928 | 12,588 | 11,567 | 12,145 |
| Mexico | 1,051,128 | 1,171,185 | 1,186,602 | 1,261,856 | 1,291,062 | 1,161,483 | 1,187,053 |
| Federated States of Micronesia | 294 | 309 | 326 | 315 | 308 | 307 | 312 |
| Moldova | 5,813 | 7,018 | 7,283 | 7,985 | 7,962 | 6,188 | 6,498 |
| Mongolia | 7,185 | 10,410 | 12,293 | 12,582 | 12,037 | 12,409 | 12,960 |
| Montenegro | 4,118 | 4,500 | 4,048 | 4,419 | 4,551 | 3,985 | 4,250 |
| Morocco | 93,217 | 101,371 | 98,266 | 107,235 | 110,009 | 103,075 | 109,912 |
| Mozambique | 10,468 | 13,245 | 14,867 | 15,622 | 16,684 | 16,985 | 19,043 |
| Myanmar | 49,628 | 56,002 | 55,609 | 56,699 | 63,135 | 65,775 | 71,275 |
| Namibia | 11,283 | 12,426 | 13,002 | 12,938 | 13,632 | 12,855 | 13,703 |
| Nepal | 16,002 | 19,011 | 18,852 | 19,270 | 19,761 | 21,356 | 24,067 |
| Netherlands | 837,949 | 894,576 | 829,406 | 864,439 | 880,716 | 750,782 | 782,934 |
| New Zealand | 144,165 | 164,926 | 173,196 | 184,761 | 197,502 | 170,590 | 165,476 |
| Nicaragua | 8,741 | 9,756 | 10,460 | 10,851 | 11,806 | 12,321 | 13,089 |
| Niger | 5,729 | 6,418 | 7,011 | 7,497 | 8,024 | 7,119 | 7,652 |
| Nigeria | 373,839 | 418,834 | 467,119 | 521,812 | 573,999 | 492,986 | 484,895 |
| Norway | 428,527 | 498,157 | 509,705 | 522,349 | 499,817 | 397,590 | 394,776 |
| Oman | 56,827 | 67,706 | 75,433 | 77,001 | 77,779 | 60,179 | 60,632 |
| Pakistan | 177,622 | 213,626 | 225,060 | 231,617 | 246,849 | 270,961 | 287,139 |
| Palau | 184 | 201 | 216 | 228 | 249 | 261 | 273 |
| Panama | 27,053 | 31,320 | 35,938 | 40,389 | 43,777 | 47,473 | 51,525 |
| Papua New Guinea | 9,716 | 12,873 | 15,391 | 15,413 | 16,809 | 17,995 | 18,191 |
| Paraguay | 20,674 | 23,343 | 24,937 | 28,334 | 30,220 | 29,065 | 30,094 |
| Peru | 148,562 | 170,595 | 192,733 | 201,879 | 202,642 | 179,911 | 180,375 |
| Philippines | 199,591 | 224,143 | 250,092 | 271,928 | 284,618 | 299,314 | 330,232 |
| Poland | 476,524 | 524,105 | 496,693 | 526,239 | 547,894 | 481,235 | 508,857 |
| Portugal | 238,748 | 245,119 | 216,488 | 224,983 | 229,948 | 197,510 | 204,186 |
| Qatar | 125,122 | 169,805 | 190,290 | 201,885 | 210,109 | 192,077 | 192,214 |
| Romania | 167,986 | 186,113 | 172,041 | 191,598 | 199,093 | 174,922 | 183,370 |
| Russia | 1,524,917 | 1,904,791 | 2,016,110 | 2,079,022 | 1,860,598 | 1,235,858 | 1,178,924 |
| Rwanda | 5,698 | 6,406 | 7,223 | 7,522 | 7,897 | 8,468 | 9,228 |
| Samoa | 653 | 762 | 806 | 794 | 827 | 867 | 900 |
| San Marino | 2,143 | 2,056 | 1,802 | 1,802 | 1,786 | 1,543 | 1,578 |
| São Tomé and Príncipe | 209 | 254 | 260 | 303 | 338 | 326 | 356 |
| Saudi Arabia | 526,811 | 669,507 | 733,956 | 744,336 | 746,248 | 632,073 | 643,234 |
| Senegal | 12,937 | 14,388 | 14,236 | 14,956 | 15,683 | 13,988 | 15,197 |
| Serbia | 39,035 | 46,488 | 40,734 | 45,520 | 43,866 | 36,555 | 37,740 |
| Seychelles | 970 | 1,066 | 1,134 | 1,411 | 1,423 | 1,375 | 1,471 |
| Sierra Leone | 2,578 | 2,932 | 3,789 | 4,914 | 4,815 | 4,266 | 4,563 |
| Singapore | 236,420 | 275,370 | 289,941 | 302,246 | 307,872 | 293,959 | 308,716 |
| Slovakia | 89,180 | 97,620 | 92,844 | 97,743 | 99,869 | 86,198 | 90,544 |
| Slovenia | 48,103 | 51,338 | 46,266 | 47,691 | 49,570 | 42,736 | 44,015 |
| Solomon Islands | 672 | 887 | 1,025 | 1,060 | 1,155 | 1,205 | 1,289 |
| South Africa | 375,304 | 417,057 | 397,391 | 366,236 | 350,082 | 317,285 | 326,541 |
| South Sudan |  | 17,195 | 11,267 | 15,340 | 14,304 | 12,882 | 13,825 |
| Spain | 1,434,257 | 1,495,968 | 1,356,483 | 1,393,476 | 1,406,538 | 1,221,387 | 1,265,122 |
| Sri Lanka | 49,552 | 59,157 | 59,378 | 67,451 | 74,924 | 79,524 | 86,302 |
| Saint Kitts and Nevis | 692 | 728 | 732 | 787 | 852 | 889 | 930 |
| Saint Lucia | 1,249 | 1,290 | 1,311 | 1,334 | 1,404 | 1,438 | 1,498 |
| Saint Vincent and the Grenadines | 681 | 676 | 693 | 721 | 729 | 765 | 794 |
| Sudan | 65,622 | 67,220 | 62,647 | 66,598 | 74,766 | 84,331 | 85,222 |
| Suriname | 4,368 | 4,422 | 4,980 | 5,131 | 5,210 | 5,050 | 5,187 |
| Swaziland | 4,540 | 4,969 | 4,913 | 4,565 | 4,416 | 4,305 | 4,357 |
| Sweden | 488,378 | 563,110 | 543,881 | 579,526 | 570,591 | 483,724 | 499,179 |
| Switzerland | 580,764 | 696,544 | 665,225 | 685,168 | 703,852 | 676,979 | 687,591 |
| Syria | 60,043 | 64,740 | 67,494 | 71,998 | 77,460 | 83,719 | 90,976 |
| Taiwan | 446,141 | 485,671 | 495,919 | 511,279 | 529,597 | 518,816 | 540,073 |
| Tajikistan | 5,642 | 6,523 | 7,592 | 8,506 | 9,242 | 8,045 | 7,970 |
| Tanzania | 31,086 | 33,583 | 39,088 | 44,414 | 48,089 | 46,192 | 46,873 |
| Thailand | 340,924 | 370,608 | 397,472 | 420,167 | 404,824 | 373,536 | 393,019 |
| Timor-Leste | 4,069 | 5,788 | 6,807 | 5,596 | 4,970 | 4,231 | 3,939 |
| Togo | 3,179 | 3,759 | 3,918 | 4,352 | 4,594 | 4,152 | 4,499 |
| Tonga | 390 | 439 | 453 | 443 | 438 | 443 | 473 |
| Trinidad and Tobago | 21,038 | 24,410 | 24,581 | 27,257 | 28,874 | 27,668 | 28,321 |
| Tunisia | 44,054 | 45,951 | 45,239 | 46,995 | 48,633 | 44,272 | 44,584 |
| Turkey | 731,539 | 774,729 | 788,605 | 823,025 | 798,332 | 722,219 | 721,167 |
| Turkmenistan | 22,148 | 29,233 | 35,164 | 41,013 | 47,932 | 44,362 | 51,271 |
| Tuvalu | 32 | 39 | 40 | 38 | 38 | 34 | 35 |
| Uganda | 20,212 | 21,108 | 24,620 | 25,573 | 27,616 | 24,943 | 26,631 |
| Ukraine | 136,011 | 163,161 | 175,707 | 179,572 | 130,660 | 90,138 | 93,812 |
| United Arab Emirates | 286,049 | 347,454 | 373,430 | 387,192 | 399,451 | 339,085 | 356,219 |
| United Kingdom | 2,407,351 | 2,593,452 | 2,623,825 | 2,678,384 | 2,950,039 | 2,864,903 | 3,054,840 |
| United States | 14,964,400 | 15,517,925 | 16,155,250 | 16,663,150 | 17,348,075 | 17,968,195 | 18,697,922 |
| Uruguay | 40,285 | 47,962 | 51,385 | 57,525 | 57,471 | 54,968 | 57,151 |
| Uzbekistan | 38,963 | 45,421 | 51,185 | 57,170 | 62,613 | 65,953 | 68,699 |
| Vanuatu | 701 | 792 | 782 | 802 | 822 | 771 | 832 |
| Venezuela | 271,961 | 297,637 | 298,380 | 218,433 | 206,252 | 131,855 | 133,534 |
| Vietnam | 112,771 | 134,598 | 155,565 | 170,565 | 185,897 | 198,805 | 214,750 |
| Yemen | 30,907 | 32,726 | 35,401 | 40,415 | 43,229 | 34,929 | 41,884 |
| Zambia | 20,265 | 23,732 | 24,940 | 26,831 | 26,611 | 24,466 | 25,158 |
| Zimbabwe | 9,445 | 10,956 | 12,472 | 13,490 | 13,833 | 13,905 | 14,292 |
