# List of Dragon Ball Z episodes
> Episode list

| Orig. ep# | Initial dub ep# | Translated title/Funimation's dub title Original Japanese title | Original airdate | English airdate |
| 122 | 107 | "My Dad is Vegeta... Admissions of the Mysterious Youth" / "Mystery Revealed" "Boku no Chichi wa Bejīta desu... Nazo no Shōnen no Kokuhaku" (ボクの父はベジータです…謎の少年の告白) | January 8, 1992 | September 8, 2000 |
| 123 | 108 | "Goku's New Finishing Technique!? Watch My Instantaneous Movement" / "Goku's Special Technique" "Gokū no Shin Hissatsu Waza!? Mitekure, Ora no Shunkan Idō" (悟空の新必殺技!?見てくれ、オラの瞬間移動) | January 15, 1992 | September 11, 2000 |
| 124 | 109 | "I Will Overcome Goku!! The King of the Saiyan Warrior Race" / "Z Warriors Prepare" "Koeteyaru...Gokū o!! Sentō Minzoku Saiyajin no Ō" (こえてやる…悟空を!!戦闘民族サイヤ人の王) | January 22, 1992 | September 12, 2000 |
| 125 | 110 | "License Mastery? Goku's Newest Trial" / "Goku's Ordeal" "Menkyo Kaiden? Gokū no Aratanaru Shiren" (免許皆伝？悟空の新たなる試練) | January 29, 1992 | September 13, 2000 |
| 126 | 111 | "Murderers Who Leave No Trace — Which Ones Are the Artificial Humans!?" / "The Androids Appear" "Kehai o Motanu Satsujinki Doitsu ga Jinzō Ningen da!?" (気配を持たぬ殺人鬼どいつが人造人間だ!?) | February 5, 1992 | September 14, 2000 |
| 127 | 112 | "The Cold-Blooded No. 20's Hideous Atrocities!! Goku's Super Transformation of Anger" / "A Handy Trick" "Reiketsu Nijūgō no Akugyaku Hidō!! Gokū - Ikari no Chōhenshin" (冷血20号の悪逆非道!!悟空・怒りの超変身) | February 12, 1992 | September 15, 2000 |
| 128 | 113 | "Goku's Double-Shock!! Caught Between Illness and Adversary" / "Double Trouble for Goku" "Gokū, Daburu Shokku!! Yamai to Teki no Hasamiuchi" (悟空、ダブルショック!!病と敵のはさみ撃ち) | February 19, 1992 | September 18, 2000 |
| 129 | 114 | "The Might of Vegeta!! The Blood of a Super Saiyan Awakens" / "Upgrade to Super Saiyan" "Bejīta Tsuyoshi!! Mezameru Sūpā Saiyajin no Chi" (ベジータ強し!!目覚める超サイヤ人の血) | February 26, 1992 | September 19, 2000 |
| 130 | 115 | "No. 20's Defiant Smile... The Secret of Doctor Gero" / "The Secret of Dr. Gero" "Nijūgō no Futeki na Warai... Dokutā Gero no Himitsu" (20号の不敵な笑い…ドクターゲロの秘密) | March 4, 1992 | September 20, 2000 |
| 131 | 116 | "A Reality More Terrifying than the Future!? Trunks' Suspicions" / "More Androids?!" "Jijitsu wa Mirai yori Osoroshii!? Torankusu no Giwaku" (事実は未来より恐ろしい!?トランクスの疑惑) | March 11, 1992 | September 21, 2000 |
| 132 | 117 | "Give Chase!! The Search for Doctor Gero's Mysterious Laboratory" / "Follow Dr. Gero" "Tsuigeki!! Dokutā Gero Nazo no Kenkyūjo o Sagashidase" (追撃!!ドクターゲロ謎の研究所を探し出せ) | March 18, 1992 | September 22, 2000 |
| 133 | 118 | "And the Terror Becomes Reality... No. 17 and No. 18 Awaken!!" / "Nightmare Comes True" "Soshite Kyōfu ga Genjitsu ni... Mezameru Jūnanagō to Jūhachigō!!" (そして恐怖が現実に…目覚める17号と18号!!) | March 25, 1992 | September 25, 2000 |
| 134 | 119 | "Too Late to Do Anything!? The Ultimate Weapons to Kill Goku" / "Goku's Assassin" "Subete ga Teokure ka!? Gokū o Korosu Saishū Heiki" (すべてが手遅れか!?悟空を殺す最終兵器) | April 1, 1992 | September 26, 2000 |
| 135 | 120 | "Good Looks and Super Power!? No Blind Spot on No. 18" / "Deadly Beauty" "Kawaii Kao de Chōpawā!? Jūhachigō ni Shikaku Nashi" (カワイイ顔で超パワー!?18号に死角なし) | April 15, 1992 | September 27, 2000 |
| 136 | 121 | "Nobody Is Able to Stop Them... Is This the End of the Z Warriors!?" / "No Match for the Androids" "Dare nimo Yatsura o Tomerarenai... Zetto Senshi Zenmetsu ka!?" (誰にも奴らを止められない…Ｚ戦士全滅か!?) | April 22, 1992 | September 28, 2000 |
| 137 | 122 | "Piccolo's Resolution!! The Last Measure in His Reserve" / "Last Ditch Effort" "Pikkoro no Ketsui!! Totteoki no Saigo no Shudan" (ピッコロの決意!!とっておきの最後の手段) | April 29, 1992 | September 29, 2000 |
| 138 | 123 | "Walking Weapons of Mass Destruction!! The Artificial Humans Draw Near Goku" / "Closing In" "Aruku Chōhakai Heiki!! Jinzō Ningen ga Gokū ni Semaru" (歩く超破壊兵器!!人造人間が悟空に迫る) | May 6, 1992 | October 2, 2000 |
| 139 | 124 | "An Ominous Foreboding! Bulma Unveils a Mystery" / "Unwelcome Discovery" "Fukitsu na Yokan! Buruma ga Shiraseta Misuterī" (不吉な予感！ブルマが知らせたミステリー) | May 13, 1992 | October 3, 2000 |
