# List of members of the Baseball Hall of Fame
> Members

| Year | Name | Primary position | Primary team | Career | Induction method | Vote % | Ref |
| 1942 | Hornsby, Rogers Rogers Hornsby | 2B | St. Louis Cardinals | 1915–1937 | BBWAA | 78.11% | [35] |
| 1944 | Landis, Kenesaw Kenesaw Landis | EXEC | -1 ! — | 1920–1944 | VC | -1 ! — 1 | [36] |
| 1945 | Bresnahan, Roger Roger Bresnahan | C | New York Giants | 1897 1900–1915 | VC | -1 ! — 1 | [37] |
| 1945 | Brouthers, Dan Dan Brouthers | 1B | Buffalo Bisons | 1879–1896 1904 | VC | -1 ! — 1 | [38] |
| 1945 | Clarke, Fred Fred Clarke | LF | Pittsburgh Pirates | 1894–1915 | VC | -1 ! — 1 | [39] |
| 1945 | Collins, Jimmy Jimmy Collins | 3B | Boston Red Sox | 1895–1908 | VC | -1 ! — 1 | [40] |
| 1945 | Delahanty, Ed Ed Delahanty | LF | Philadelphia Phillies | 1888–1903 | VC | -1 ! — 1 | [41] |
| 1945 | Duffy, Hugh Hugh Duffy | CF | Boston Beaneaters | 1888–1906 | VC | -1 ! — 1 | [42] |
| 1945 | Jennings, Hugh Hugh Jennings | SS | Baltimore Orioles (NL) [c 3] | 1891–1918 | VC | -1 ! — 1 | [43] |
| 1945 | Kelly, King King Kelly | RF | Chicago White Stockings | 1878–1893 | VC | -1 ! — 1 | [44] |
| 1945 | Orourke Jim Jim O'Rourke | LF | New York Giants | 1872–1893 1904 | VC | -1 ! — 1 | [45] |
| 1945 | Robinson, Wilbert Wilbert Robinson | MGR | Brooklyn Dodgers | 1902 1914–1931 | VC | -1 ! — 1 | [46] |
| 1946 | Burkett, Jesse Jesse Burkett | LF | Cleveland Spiders | 1890–1905 | VC | -1 ! — 1 | [47] |
| 1946 | Chance, Frank Frank Chance | 1B | Chicago Cubs | 1898–1914 | VC | -1 ! — 1 | [48] |
| 1946 | Chesbro, Jack Jack Chesbro | P | New York Highlanders | 1899–1909 | VC | -1 ! — 1 | [49] |
| 1946 | Evers, Johnny Johnny Evers | 2B | Chicago Cubs | 1902–1917 1922 1929 | VC | -1 ! — 1 | [50] |
| 1946 | Griffith, Clark Clark Griffith | EXEC/PIO | Washington Senators | 1891–1914 | VC | -1 ! — 1 | [51] |
| 1946 | Maccarthy Tommy Tommy McCarthy | RF | Boston Beaneaters | 1884–1896 | VC | -1 ! — 1 | [52] |
| 1946 | Macginnity Joe Joe McGinnity | P | New York Giants | 1899–1908 | VC | -1 ! — 1 | [53] |
| 1946 | Plank, Eddie Eddie Plank | P | Philadelphia Athletics | 1901–1917 | VC | -1 ! — 1 | [54] |
| 1946 | Tinker, Joe Joe Tinker | SS | Chicago Cubs | 1902–1916 | VC | -1 ! — 1 | [55] |
| 1946 | Waddell, Rube Rube Waddell | P | Philadelphia Athletics | 1897 1899–1910 | VC | -1 ! — 1 | [56] |
| 1946 | Walsh, Ed Ed Walsh | P | Chicago White Sox | 1904–1917 | VC | -1 ! — 1 | [57] |
| 1947 | Cochrane, Mickey Mickey Cochrane | C | Philadelphia Athletics [c 4] | 1925–1937 | BBWAA | 79.50% | [58] |
| 1947 | Frisch, Frankie Frankie Frisch | 2B | St. Louis Cardinals | 1919–1937 | BBWAA | 84.47% | [59] |
| 1947 | Grove, Lefty Lefty Grove | P | Philadelphia Athletics [c 5] | 1925–1941 | BBWAA | 76.40% | [60] |
| 1947 | Hubbell, Carl Carl Hubbell | P | New York Giants | 1928–1943 | BBWAA | 86.96% | [61] |
| 1948 | Pennock, Herb Herb Pennock | P | New York Yankees [c 6] | 1912–1934 | BBWAA | 77.69% | [62] |
| 1948 | Traynor, Pie Pie Traynor | 3B | Pittsburgh Pirates | 1920–1935 1937 | BBWAA | 76.86% | [63] |
| 1949 | Brown, Mordecai Mordecai Brown | P | Chicago Cubs | 1903–1916 | VC | -1 ! — 1 | [64] |
| 1949 | Gehringer, Charlie Charlie Gehringer | 2B | Detroit Tigers | 1924–1942 | BBWAA | 85.03% | [65] |
| 1949 | Nichols, Kid Kid Nichols | P | Boston Beaneaters [c 7] | 1890–1901 1904–1906 | VC | -1 ! — 1 | [66] |
| 1951 | Foxx, Jimmie Jimmie Foxx | 1B | Philadelphia Athletics [c 8] | 1925–1942 1944–1945 | BBWAA | 79.20% | [67] |
| 1951 | Ott, Mel Mel Ott | RF | New York Giants | 1926–1947 | BBWAA | 87.17% | [68] |
| 1952 | Heilmann, Harry Harry Heilmann | RF | Detroit Tigers | 1914 1916–1931 | BBWAA | 86.75% | [69] |
| 1952 | Waner, Paul Paul Waner | RF | Pittsburgh Pirates | 1926–1940 | BBWAA | 83.33% | [70] |
| 1953 | Barrow, Ed Ed Barrow | EXEC | New York Yankees | 1921–1945 | VC | -1 ! — 1 | [71] |
| 1953 | Bender, Chief Chief Bender | P | Philadelphia Athletics | 1903–1917 1925 | VC | -1 ! — 1 | [72] |
| 1953 | Connolly, Tom Tom Connolly | UMP | -1 ! — | 1898–1931 | VC | -1 ! — 1 | [73] |
| 1953 | Dean, Dizzy Dizzy Dean | P | St. Louis Cardinals | 1930 1932–1941 1947 | BBWAA | 79.17% | [74] |
| 1953 | Klem, Bill Bill Klem | UMP | -1 ! — | 1905–1941 | VC | -1 ! — 1 | [75] |
| 1953 | Simmons, Al Al Simmons | LF | Philadelphia Athletics | 1924–1941 1943–1944 | BBWAA | 75.38% | [76] |
| 1953 | Wallace, Bobby Bobby Wallace | SS | St. Louis Browns | 1894–1918 | VC | -1 ! — 1 | [77] |
| 1953 | Wright, Harry Harry Wright | MGR | Philadelphia Quakers | 1871–1893 | VC | -1 ! — 1 | [78] |
| 1954 | Dickey, Bill Bill Dickey | C | New York Yankees | 1928–1943 1946 | BBWAA | 80.16% | [79] |
| 1954 | Maranville, Rabbit Rabbit Maranville | SS | Boston Braves | 1912–1933 1935 | BBWAA | 82.94% | [80] |
| 1954 | Terry, Bill Bill Terry | 1B | New York Giants | 1923–1936 | BBWAA | 77.38% | [81] |
| 1955 | Baker, Frank Frank Baker | 3B | Philadelphia Athletics | 1908–1914 1916–1919 1921–1922 | VC | -1 ! — 1 | [82] |
| 1955 | DiMaggio, Joe Joe DiMaggio | CF | New York Yankees | 1936–1942 1946–1951 | BBWAA | 88.84% | [83] |
| 1955 | Hartnett, Gabby Gabby Hartnett | C | Chicago Cubs | 1922–1941 | BBWAA | 77.69% | [84] |
| 1955 | Lyons, Ted Ted Lyons | P | Chicago White Sox | 1923–1942 1946 | BBWAA | 86.45% | [85] |
| 1955 | Schalk, Ray Ray Schalk | C | Chicago White Sox | 1912–1929 | VC | -1 ! — 1 | [86] |
| 1955 | Vance, Dazzy Dazzy Vance | P | Brooklyn Dodgers | 1915 1918 1922–1935 | BBWAA | 81.67% | [87] |
| 1956 | Cronin, Joe Joe Cronin | SS | Boston Red Sox | 1926–1945 | BBWAA | 78.76% | [88] |
| 1956 | Greenberg, Hank Hank Greenberg | 1B | Detroit Tigers | 1930 1933–1941 1945–1947 | BBWAA | 84.97% | [89] |
| 1957 | Crawford, Sam Sam Crawford | RF | Detroit Tigers | 1899–1917 | VC | -1 ! — 1 | [90] |
| 1957 | Maccarthy Joe Joe McCarthy | MGR | New York Yankees | 1926–1946 1948–1950 | VC | -1 ! — 1 | [91] |
| 1959 | Wheat, Zack Zack Wheat | LF | Brooklyn Dodgers | 1909–1927 | VC | -1 ! — 1 | [92] |
| 1961 | Carey, Max Max Carey | CF | Pittsburgh Pirates | 1910–1929 | VC | -1 ! — 1 | [93] |
| 1961 | Hamilton, Billy Billy Hamilton | CF | Boston Beaneaters | 1888–1901 | VC | -1 ! — 1 | [94] |
| 1962 | Feller, Bob Bob Feller | P | Cleveland Indians | 1936–1941 1945–1956 | BBWAA | 93.75% | [95] |
| 1962 | Mackechnie Bill Bill McKechnie | MGR | Cincinnati Reds | 1915 1922–1926 1928–1946 | VC | -1 ! — 1 | [96] |
| 1962 | Robinson, Jackie Jackie Robinson | 2B | Brooklyn Dodgers | 1947–1956 | BBWAA | 77.50% | [97] |
| 1962 | Roush, Edd Edd Roush | CF | Cincinnati Reds | 1913–1929 1931 | VC | -1 ! — 1 | [98] |
| 1963 | Clarkson, John John Clarkson | P | Boston Beaneaters | 1882 1884–1894 | VC | -1 ! — 1 | [99] |
| 1963 | Flick, Elmer Elmer Flick | RF | Cleveland Indians | 1898–1910 | VC | -1 ! — 1 | [100] |
| 1963 | Rice, Sam Sam Rice | RF | Washington Senators | 1915–1934 | VC | -1 ! — 1 | [101] |
| 1963 | Rixey, Eppa Eppa Rixey | P | Cincinnati Reds | 1912–1917 1919–1933 | VC | -1 ! — 1 | [102] |
| 1964 | Appling, Luke Luke Appling | SS | Chicago White Sox | 1930–1943 1945–1950 | BBWAA | 94.00% | [103] |
| 1964 | Faber, Red Red Faber | P | Chicago White Sox | 1914–1933 | VC | -1 ! — 1 | [104] |
| 1964 | Grimes, Burleigh Burleigh Grimes | P | Brooklyn Dodgers | 1916–1934 | VC | -1 ! — 1 | [105] |
| 1964 | Huggins, Miller Miller Huggins | MGR | New York Yankees | 1913–1929 | VC | -1 ! — 1 | [106] |
| 1964 | Keefe, Tim Tim Keefe | P | New York Giants | 1880–1893 | VC | -1 ! — 1 | [107] |
| 1964 | Manush, Heinie Heinie Manush | LF | Washington Senators [c 9] | 1923–1939 | VC | -1 ! — 1 | [108] |
| 1964 | Ward, John John Ward | SS | New York Giants | 1878–1894 | VC | -1 ! — 1 | [109] |
| 1965 | Galvin, Pud Pud Galvin | P | Buffalo Bisons | 1875 1879–1892 | VC | -1 ! — 1 | [110] |
| 1966 | Stengel, Casey Casey Stengel | MGR | New York Yankees | 1934–1936 1938–1943 1946–1960 1962–1965 | VC | -1 ! — 1 | [111] |
| 1966 | Williams, Ted Ted Williams | LF | Boston Red Sox | 1939–1942 1946–1960 | BBWAA | 93.38% | [112] |
| 1967 | Rickey, Branch Branch Rickey | EXEC | -1 ! — | 1925–1955 | VC | -1 ! — 1 | [113] |
| 1967 | Ruffing, Red Red Ruffing | P | New York Yankees | 1924–1942 1945–1947 | BBWAA | 86.93% | [114] |
| 1967 | Waner, Lloyd Lloyd Waner | CF | Pittsburgh Pirates | 1927–1942 1944–1945 | VC | -1 ! — 1 | [115] |
| 1968 | Cuyler, Kiki Kiki Cuyler | RF | Chicago Cubs | 1921–1938 | VC | -1 ! — 1 | [116] |
| 1968 | Goslin, Goose Goose Goslin | LF | Washington Senators | 1921–1938 | VC | -1 ! — 1 | [117] |
| 1968 | Medwick, Joe Joe Medwick | LF | St. Louis Cardinals | 1932–1948 | BBWAA | 84.81% | [118] |
| 1969 | Campanella, Roy Roy Campanella | C | Brooklyn Dodgers | 1948–1957 | BBWAA | 79.41% | [119] |
| 1969 | Coveleski, Stan Stan Coveleski | P | Cleveland Indians | 1912 1916–1928 | VC | -1 ! — 1 | [120] |
| 1969 | Hoyt, Waite Waite Hoyt | P | New York Yankees | 1918–1938 | VC | -1 ! — 1 | [121] |
| 1969 | Musial, Stan Stan Musial | LF | St. Louis Cardinals | 1941–1944 1946–1963 | BBWAA | 93.24% | [122] |
| 1970 | Boudreau, Lou Lou Boudreau | SS | Cleveland Indians | 1938–1952 | BBWAA | 77.33% | [123] |
| 1970 | Combs, Earle Earle Combs | CF | New York Yankees | 1924–1935 | VC | -1 ! — 1 | [124] |
| 1970 | Frick, Ford Ford Frick | EXEC | -1 ! — | 1934–1951 1951–1965 3 | VC | -1 ! — 1 | [125] |
| 1970 | Haines, Jesse Jesse Haines | P | St. Louis Cardinals | 1918 1920–1937 | VC | -1 ! — 1 | [126] |
| 1971 | Bancroft, Dave Dave Bancroft | SS | Philadelphia Phillies | 1915–1930 | VC | -1 ! — 1 | [127] |
| 1971 | Beckley, Jake Jake Beckley | 1B | Pittsburgh Pirates | 1888–1907 | VC | -1 ! — 1 | [128] |
| 1971 | Hafey, Chick Chick Hafey | LF | St. Louis Cardinals | 1924–1935 1937 | VC | -1 ! — 1 | [129] |
| 1971 | Hooper, Harry Harry Hooper | RF | Boston Red Sox | 1909–1925 | VC | -1 ! — 1 | [130] |
| 1971 | Kelley, Joe Joe Kelley | LF | Baltimore Orioles (NL) | 1891–1906 1908 | VC | -1 ! — 1 | [131] |
| 1971 | Marquard, Rube Rube Marquard | P | New York Giants | 1908–1925 | VC | -1 ! — 1 | [132] |
| 1971 | Paige, Satchel Satchel Paige | P | Kansas City Monarchs | 1927–1953 1955 1965 | NLC | -1 ! — 1 | [133] |
| 1971 | Weiss, George George Weiss | EXEC | New York Yankees | 1947–1966 | VC | -1 ! — 1 | [134] |
| 1972 | Berra, Yogi Yogi Berra | C | New York Yankees | 1946–1963 1965 | BBWAA | 85.61% | [135] |
| 1972 | Gibson, Josh Josh Gibson | C | Homestead Grays | 1930–1946 | NLC | 99.99% ! 100.00% | [136] [137] |
| 1972 | Gomez, Lefty Lefty Gomez | P | New York Yankees | 1930–1943 | VC | -1 ! — 1 | [138] |
| 1972 | Harridge, Will Will Harridge | EXEC | -1 ! — | 1909–1925 | VC | -1 ! — 1 | [139] |
| 1972 | Koufax, Sandy Sandy Koufax | P | Los Angeles Dodgers | 1955–1966 | BBWAA | 86.87% | [140] |
| 1972 | Leonard, Buck Buck Leonard | 1B | Homestead Grays | 1933–1950 | NLC | 77.78% | [137] [141] |
| 1972 | Wynn, Early Early Wynn | P | Cleveland Indians | 1939–1945 1946–1962 | BBWAA | 76.01% | [142] |
| 1972 | Youngs, Ross Ross Youngs | RF | New York Giants | 1917–1926 | VC | -1 ! — 1 | [143] |
| 1973 | Clemente, Roberto Roberto Clemente | RF | Pittsburgh Pirates | 1955–1972 | BBWAA | 92.69% | [144] |
| 1973 | Evans, Billy Billy Evans | UMP | -1 ! — | 1906–1927 | VC | -1 ! — 1 | [145] |
| 1973 | Irvin, Monte Monte Irvin | LF | Newark Eagles | 1937–1942 1945–1956 | NLC | 75.00% | [146] [147] |
| 1973 | Kelly, George George Kelly | 1B | New York Giants | 1915–1917 1919–1930 1932 | VC | -1 ! — 1 | [148] |
| 1973 | Spahn, Warren Warren Spahn | P | Milwaukee Braves | 1942 1946–1965 | BBWAA | 82.89% | [149] |
| 1973 | Welch, Mickey Mickey Welch | P | New York Giants | 1880–1892 | VC | -1 ! — 1 | [150] |
| 1974 | Bell, Cool Papa Cool Papa Bell | CF | St. Louis Stars | 1922–1938 1942 1947–1950 | NLC | 99.99% ! 100.00% | [151] [152] |
| 1974 | Bottomley, Jim Jim Bottomley | 1B | St. Louis Cardinals | 1922–1937 | VC | -1 ! — 1 | [153] |
| 1974 | Conlan, Jocko Jocko Conlan | UMP | -1 ! — | 1941–1965 | VC | -1 ! — 1 | [154] |
| 1974 | Ford, Whitey Whitey Ford | P | New York Yankees | 1950 1953–1967 | BBWAA | 77.81% | [155] |
| 1974 | Mantle, Mickey Mickey Mantle | CF | New York Yankees | 1951–1968 | BBWAA | 88.22% | [156] |
| 1974 | Thompson, Sam Sam Thompson | RF | Philadelphia Phillies | 1885–1898 1908 | VC | -1 ! — 1 | [157] |
| 1975 | Averill, Earl Earl Averill | CF | Cleveland Indians | 1930–1941 | VC | -1 ! — 1 | [158] |
| 1975 | Harris, Bucky Bucky Harris | MGR | Washington Senators | 1924–1943 1947–1948 1950–1956 | VC | -1 ! — 1 | [159] |
| 1975 | Herman, Billy Billy Herman | 2B | Chicago Cubs | 1931–1943 1946–1947 | VC | -1 ! — 1 | [160] |
| 1975 | Johnson, Judy Judy Johnson | 3B | Hilldale Daisies | 1918–1937 | NLC | -1 ! — 1 | [161] |
| 1975 | Kiner, Ralph Ralph Kiner | LF | Pittsburgh Pirates | 1946–1955 | BBWAA | 75.41% | [162] |
| 1976 | Charleston, Oscar Oscar Charleston | CF | Pittsburgh Crawfords | 1915–1950 1954 | NLC | -1 ! — 1 | [163] |
| 1976 | Connor, Roger Roger Connor | 1B | New York Giants | 1880–1897 | VC | -1 ! — 1 | [164] |
| 1976 | Hubbard, Cal Cal Hubbard | UMP | -1 ! — | 1936–1951 | VC | -1 ! — 1 | [165] |
| 1976 | Lemon, Bob Bob Lemon | P | Cleveland Indians | 1941–1942, 1946–1958 | BBWAA | 78.61% | [166] |
| 1976 | Lindstrom, Freddie Freddie Lindstrom | 3B | New York Giants | 1924–1935 | VC | -1 ! — 1 | [167] |
| 1976 | Roberts, Robin Robin Roberts | P | Philadelphia Phillies | 1948–1966 | BBWAA | 86.86% | [168] |
| 1977 | Banks, Ernie Ernie Banks | SS | Chicago Cubs | 1953–1971 | BBWAA | 83.81% | [169] |
| 1977 | Dihigo, Martín Martín Dihigo | P | Cuban Stars (East) | 1923–1931 1935–1936 1945 | NLC | 87.50% | [170] [171] |
| 1977 | Lloyd, Pop Pop Lloyd | SS | New York Lincoln Giants | 1906–1932 | NLC | 87.50% | [171] [172] |
| 1977 | Lopez, Al Al Lopez | MGR | Cleveland Indians | 1951–1965 1968–1969 | VC | -1 ! — 1 | [173] |
| 1977 | Rusie, Amos Amos Rusie | P | New York Giants | 1889–1895 1897–1898 1901 | VC | -1 ! — 1 | [174] |
| 1977 | Sewell, Joe Joe Sewell | SS | Cleveland Indians | 1920–1933 | VC | -1 ! — 1 | [175] |
| 1978 | Joss, Addie Addie Joss | P | Cleveland Indians | 1902–1910 | VC | -1 ! — 1 | [176] |
| 1978 | Macphail Larry Larry MacPhail | EXEC | -1 ! — | 1933–1942 1945–1947 | VC | -1 ! — 1 | [177] |
| 1978 | Mathews, Eddie Eddie Mathews | 3B | Milwaukee Braves | 1952–1968 | BBWAA | 79.42% | [178] |
| 1979 | Giles, Warren Warren Giles | EXEC | Cincinnati Reds | 1937–1951 1951–1969 | VC | -1 ! — 1 | [179] |
| 1979 | Mays, Willie Willie Mays | CF | San Francisco Giants | 1951–1952 1954–1973 | BBWAA | 94.68% | [180] |
| 1979 | Wilson, Hack Hack Wilson | CF | Chicago Cubs | 1923–1934 | VC | -1 ! — 1 | [181] |
| 1980 | Kaline, Al Al Kaline | RF | Detroit Tigers | 1953–1974 | BBWAA | 88.31% | [182] |
| 1980 | Klein, Chuck Chuck Klein | RF | Philadelphia Phillies | 1928–1944 | VC | -1 ! — 1 | [183] |
| 1980 | Snider, Duke Duke Snider | CF | Brooklyn Dodgers | 1947–1964 | BBWAA | 86.49% | [184] |
| 1980 | Yawkey, Tom Tom Yawkey | EXEC | Boston Red Sox | 1933–1976 | VC | -1 ! — 1 | [185] |
| 1981 | Foster, Rube Rube Foster | MGR | Chicago American Giants | 1902–1926 | VC | -1 ! — 1 | [186] |
| 1981 | Gibson, Bob Bob Gibson | P | St. Louis Cardinals | 1959–1975 | BBWAA | 84.04% | [187] |
| 1981 | Mize, Johnny Johnny Mize | 1B | St. Louis Cardinals | 1936–1942 1946–1953 | VC | -1 ! — 1 | [188] |
| 1982 | Aaron, Hank Hank Aaron | RF | Milwaukee Braves [c 10] | 1954–1976 | BBWAA | 97.83% | [189] |
| 1982 | Chandler, Happy Happy Chandler | EXEC | -1 ! — | 1945–1951 | VC | -1 ! — 1 | [190] |
| 1982 | Jackson, Travis Travis Jackson | SS | New York Giants | 1922–1936 | VC | -1 ! — 1 | [191] |
| 1982 | Robinson, Frank Frank Robinson | RF | Cincinnati Reds [c 11] | 1956–1976 | BBWAA | 89.16% | [192] |
| 1983 | Alston, Walter Walter Alston | MGR | Los Angeles Dodgers | 1954–1976 | VC | -1 ! — 1 | [193] |
| 1983 | Kell, George George Kell | 3B | Detroit Tigers | 1943–1957 | VC | -1 ! — 1 | [194] |
| 1983 | Marichal, Juan Juan Marichal | P | San Francisco Giants | 1960–1975 | BBWAA | 83.69% | [195] |
| 1983 | Robinson, Brooks Brooks Robinson | 3B | Baltimore Orioles | 1955–1977 | BBWAA | 91.98% | [196] |
| 1984 | Aparicio, Luis Luis Aparicio | SS | Chicago White Sox | 1956–1973 | BBWAA | 84.62% | [197] |
| 1984 | Drysdale, Don Don Drysdale | P | Los Angeles Dodgers | 1956–1969 | BBWAA | 78.41% | [198] |
| 1984 | Ferrell, Rick Rick Ferrell | C | Boston Red Sox | 1929–1945 1947 | VC | -1 ! — 1 | [199] |
| 1984 | Killebrew, Harmon Harmon Killebrew | 1B | Minnesota Twins | 1954–1975 | BBWAA | 83.13% | [200] |
| 1984 | Reese, Pee Wee Pee Wee Reese | SS | Brooklyn Dodgers | 1940–1942 1946–1958 | VC | -1 ! — 1 | [201] |
| 1985 | Brock, Lou Lou Brock | LF | St. Louis Cardinals | 1961–1979 | BBWAA | 79.75% | [202] |
| 1985 | Slaughter, Enos Enos Slaughter | RF | St. Louis Cardinals | 1938–1959 | VC | -1 ! — 1 | [203] |
| 1985 | Vaughan, Arky Arky Vaughan | SS | Pittsburgh Pirates | 1932–1943 1947–1948 | VC | -1 ! — 1 | [204] |
| 1985 | Wilhelm, Hoyt Hoyt Wilhelm | P | Chicago White Sox [c 12] | 1952–1972 | BBWAA | 83.80% | [205] |
| 1986 | Doerr, Bobby Bobby Doerr | 2B | Boston Red Sox | 1937–1944 1946–1951 | VC | -1 ! — 1 | [206] |
| 1986 | Lombardi, Ernie Ernie Lombardi | C | Cincinnati Reds | 1931–1947 | VC | -1 ! — 1 | [207] |
| 1986 | Maccovey Willie Willie McCovey | 1B | San Francisco Giants | 1959–1980 | BBWAA | 81.41% | [208] |
| 1987 | Dandridge, Ray Ray Dandridge | 3B | Newark Eagles | 1933–1939 1942 1944 1949 | VC | -1 ! — 1 | [209] |
| 1987 | Hunter, Catfish Catfish Hunter | P | Oakland Athletics [c 13] | 1965–1979 | BBWAA | 76.27% | [210] |
| 1987 | Williams, Billy Billy Williams | LF | Chicago Cubs | 1959–1976 | BBWAA | 85.71% | [211] |
| 1988 | Stargell, Willie Willie Stargell | LF | Pittsburgh Pirates | 1962–1982 | BBWAA | 82.44% | [212] |
| 1989 | Barlick, Al Al Barlick | UMP | -1 ! — | 1940–1943 1946–1955 1958–1971 | VC | -1 ! — 1 | [213] |
| 1989 | Bench, Johnny Johnny Bench | C | Cincinnati Reds | 1967–1983 | BBWAA | 96.42% | [214] |
| 1989 | Schoendienst, Red Red Schoendienst | 2B | St. Louis Cardinals | 1945–1963 | VC | -1 ! — 1 | [215] |
| 1989 | Yastrzemski, Carl Carl Yastrzemski | LF | Boston Red Sox | 1961–1983 | BBWAA | 94.63% | [216] |
| 1990 | Morgan, Joe Joe Morgan | 2B | Cincinnati Reds | 1963–1984 | BBWAA | 81.76% | [217] |
| 1990 | Palmer, Jim Jim Palmer | P | Baltimore Orioles | 1965–1984 | BBWAA | 92.57% | [218] |
| 1991 | Carew, Rod Rod Carew | 1B | Minnesota Twins | 1967–1985 | BBWAA | 90.52% | [219] |
| 1991 | Jenkins, Ferguson Ferguson Jenkins | P | Chicago Cubs | 1965–1983 | BBWAA | 75.40% | [220] |
| 1991 | Lazzeri, Tony Tony Lazzeri | 2B | New York Yankees | 1926–1939 | VC | -1 ! — 1 | [221] |
| 1991 | Perry, Gaylord Gaylord Perry | P | San Francisco Giants | 1962–1983 | BBWAA | 77.20% | [222] |
| 1991 | Veeck, Bill Bill Veeck | EXEC | Chicago White Sox | 1946–1949 1951–1953 1959–1961 1975–1980 | VC | -1 ! — 1 | [223] |
| 1992 | Fingers, Rollie Rollie Fingers | P | Oakland Athletics | 1968–1982 1984–1985 | BBWAA | 81.16% | [224] |
| 1992 | Macgowan Bill Bill McGowan | UMP | -1 ! — | 1925–1954 | VC | -1 ! — 1 | [225] |
| 1992 | Newhouser, Hal Hal Newhouser | P | Detroit Tigers | 1939–1955 | VC | -1 ! — 1 | [226] |
| 1992 | Seaver, Tom Tom Seaver | P | New York Mets | 1967–1986 | BBWAA | 98.84% | [227] |
| 1993 | Jackson, Reggie Reggie Jackson | RF | Oakland Athletics [c 14] | 1967–1987 | BBWAA | 93.62% | [228] |
| 1994 | Carlton, Steve Steve Carlton | P | Philadelphia Phillies | 1965–1988 | BBWAA | 95.82% | [229] |
| 1994 | Durocher, Leo Leo Durocher | MGR | Brooklyn Dodgers | 1939–1946 1948–1955 1966–1973 | VC | -1 ! — 1 | [230] |
| 1994 | Rizzuto, Phil Phil Rizzuto | SS | New York Yankees | 1941–1942 1946–1956 | VC | -1 ! — 1 | [231] |
| 1995 | Ashburn, Richie Richie Ashburn | CF | Philadelphia Phillies | 1948–1962 | VC | -1 ! — 1 | [232] |
