# Turkish Airlines destinations
> Destinations

| City | Country | IATA | ICAO | Airport | Refs |
| Bari | Italy | BRI | LIBD | Bari Karol Wojtyła Airport | [1] [25] |
| Basel / Mulhouse / Freiburg | Switzerland/France/Germany | BSL/MLH/EAP | LFSB | EuroAirport Basel-Mulhouse-Freiburg | [1] |
| Basra | Iraq | BSR | ORMM | Basra International Airport | [1] |
| Batman | Turkey | BAL | LTCJ | Batman Airport | [1] |
| Batna | Algeria | BLJ | DABT | Mostépha Ben Boulaid Airport | [1] [26] |
| Batumi | Georgia | BUS | UGSB | Batumi International Airport | [1] |
| Beijing | China | PEK | ZBAA | Beijing Capital International Airport | [1] |
| Beirut | Lebanon | BEY | OLBA | Beirut–Rafic Hariri International Airport # | [1] [5] |
| Belgrade | Serbia | BEG | LYBE | Belgrade Nikola Tesla Airport # | [1] [5] |
| Benghazi [nb 3] | Libya | BEN | HLLB | Benina International Airport [T] | [28] [29] [30] |
| Berlin | Germany | SXF | EDDB | Berlin Schönefeld Airport [T] | [31] |
| Berlin | Germany | TXL | EDDT | Berlin Tegel Airport | [1] |
| Bilbao | Spain | BIO | LEBB | Bilbao Airport | [1] |
| Billund | Denmark | BLL | EKBI | Billund Airport # | [1] [2] [5] |
| Bingöl | Turkey | BGG | LTCU | Bingöl Airport | [1] [32] |
| Birmingham | United Kingdom | BHX | EGBB | Birmingham Airport | [1] |
| Bishkek | Kyrgyzstan | FRU | UCFM | Manas International Airport # | [1] [5] |
| Bodrum | Turkey | BJV | LTFE | Milas-Bodrum Airport | [1] |
| Bogotá | Colombia | BOG | SKBO | El Dorado International Airport | [33] [34] |
| Bologna | Italy | BLQ | LIPE | Bologna Guglielmo Marconi Airport | [1] |
| Bordeaux | France | BOD | LFBD | Bordeaux–Mérignac Airport | [1] [35] |
| Boston | United States | BOS | KBOS | Logan International Airport | [1] [36] |
| Bremen | Germany | BRE | EDDW | Bremen Airport | [1] [37] |
| Brussels | Belgium | BRU | EBBR | Brussels Airport | [1] |
| Bucharest | Romania | OTP | LROP | Henri Coandă International Airport | [1] |
| Budapest | Hungary | BUD | LHBP | Budapest Ferenc Liszt International Airport # | [1] [5] |
| Buenos Aires | Argentina | EZE | SAEZ | Ministro Pistarini International Airport | [1] [38] |
| Bursa | Turkey | YEI | LTBR | Yenişehir Airport | [1] [39] |
| Cairo | Egypt | CAI | HECA | Cairo International Airport # | [1] [5] |
| Çanakkale | Turkey | CKZ | LTBH | Çanakkale Airport | [40] [41] |
| Cape Town | South Africa | CPT | FACT | Cape Town International Airport | [1] |
| Caracas ^ begins 12 December 2016 | Venezuela | CCS | SVMI | Simón Bolívar International Airport | [42] |
| Casablanca | Morocco | CMN | GMMN | Mohammed V International Airport # | [1] [5] |
| Catania | Italy | CTA | LICC | Catania–Fontanarossa Airport | [1] [43] |
| Chicago | United States | ORD | KORD | O'Hare International Airport # | [1] [5] [44] [45] |
| Chisinau ! Chișinău | Moldova | KIV | LUKK | Chişinău International Airport | [1] |
| Cluj-Napoca | Romania | CLJ | LRCL | Cluj International Airport | [46] |
| Cologne / Bonn | Germany | CGN | EDDK | Cologne Bonn Airport | [1] |
| Colombo | Sri Lanka | CMB | VCBI | Bandaranaike International Airport | [1] [47] |
| Constanța | Romania | CND | LRCK | Mihail Kogălniceanu International Airport | [1] [48] |
| Constantine | Algeria | CZL | DABC | Mohamed Boudiaf International Airport | [1] |
| Copenhagen | Denmark | CPH | EKCH | Copenhagen Airport | [1] |
| Cotonou | Benin | COO | DBBB | Cadjehoun Airport | [1] [49] |
| Dakar | Senegal | DKR | GOOY | Léopold Sédar Senghor International Airport # | [1] [5] [50] [51] |
| Dalaman | Turkey | DLM | LTBS | Dalaman Airport | [1] |
| Damascus [nb 4] | Syria | DAM | OSDI | Damascus International Airport [T] | [52] |
| Dammam | Saudi Arabia | DMM | OEDF | King Fahd International Airport | [1] |
| Dar es Salaam | Tanzania | DAR | HTDA | Julius Nyerere International Airport | [1] [53] |
| Delhi | India | DEL | VIDP | Indira Gandhi International Airport # | [1] [5] |
| Denizli | Turkey | DNZ | LTAY | Denizli Çardak Airport | [1] |
| Dhaka | Bangladesh | DAC | VGHS | Shahjalal International Airport # | [1] [5] |
| Diyarbakır | Turkey | DIY | LTCC | Diyarbakır Airport | [1] |
| Djibouti | Djibouti | JIB | HDAM | Djibouti-Ambouli International Airport | [1] [54] |
| Dnipropetrovsk | Ukraine | DNK | UKDD | Dnipropetrovsk International Airport | [1] |
| Doha | Qatar | DOH | OTBD | Doha International Airport [T] | [55] |
| Doha | Qatar | DOH | OTHH | Hamad International Airport # | [1] [5] |
| Donetsk [nb 5] | Ukraine | DOK | UKCC | Donetsk International Airport [T] | [28] |
| Douala | Cameroon | DLA | FKKD | Douala International Airport | [1] [38] [57] |
| Dubai | United Arab Emirates | DWC | OMDW | Al Maktoum International Airport [C] | [5] |
| Dubai | United Arab Emirates | DXB | OMDB | Dubai International Airport | [1] |
| Dublin | Ireland | DUB | EIDW | Dublin Airport | [1] |
| Dubrovnik | Croatia | DBV | LDDU | Dubrovnik Airport | [58] [59] |
| Durban | South Africa | DUR | FALE | King Shaka International Airport | [60] [61] |
| Dushanbe | Tajikistan | DYU | UTDD | Dushanbe International Airport | [1] |
| Düsseldorf | Germany | DUS | EDDL | Düsseldorf International Airport | [1] |
| Edinburgh | United Kingdom | EDI | EGPH | Edinburgh Airport | [1] [62] |
| Edremit | Turkey | EDO | LTFD | Balıkesir Koca Seyit Airport | [63] [64] |
| Elazığ | Turkey | EZS | LTCA | Elazığ Airport | [1] |
| Entebbe / Kampala | Uganda | EBB | HUEN | Entebbe International Airport # | [1] [5] [53] |
| Erbil | Iraq | EBL | ORER | Erbil International Airport # | [1] [5] |
| Erzincan | Turkey | ERC | LTCD | Erzincan Airport | [1] |
| Erzurum | Turkey | ERZ | LTCE | Erzurum Airport | [1] |
| Eskişehir | Turkey | AOE | LTBY | Anadolu Airport [T] | [65] [66] [67] |
| Famagusta | Northern Cyprus | GEC | LCGK | Geçitkale Airport [T] | [68] [69] |
| Frankfurt | Germany | FRA | EDDF | Frankfurt Airport # | [1] [5] |
| Friedrichshafen | Germany | FDH | EDNY | Friedrichshafen Airport | [1] [70] |
| Ganja | Azerbaijan | KVD | UBBG | Ganja International Airport | [1] [71] [72] |
| Gassim | Saudi Arabia | ELQ | OEGS | Prince Nayef bin Abdulaziz Regional Airport | [1] [73] |
| Gaziantep | Turkey | GZT | LTAJ | Oğuzeli Airport | [1] |
| Geneva | Switzerland | GVA | LSGG | Geneva International Airport | [1] |
| Genoa | Italy | GOA | LIMJ | Genoa Cristoforo Colombo Airport | [1] [74] |
| Gothenburg | Sweden | GOT | ESGG | Gothenburg-Landvetter Airport | [1] |
| Graz | Austria | GRZ | LOWG | Graz Airport | [1] [75] |
| Guangzhou | China | CAN | ZGGG | Guangzhou Baiyun International Airport # | [1] [5] |
| Hakkâri | Turkey | YKO | LTCW | Hakkari Yüksekova Airport | [1] [76] [77] [78] [79] [80] |
| Hamburg | Germany | HAM | EDDH | Hamburg Airport | [1] |
| Hannover | Germany | HAJ | EDDV | Hannover Airport | [1] |
| Hanoi | Vietnam | HAN | VVNB | Noi Bai International Airport # | [5] [81] [82] [83] [84] [85] [86] |
| Hatay | Turkey | HTY | LTDA | Hatay Airport | [1] |
| Havana ^ begins 12 December 2016 | Cuba | HAV | MUHA | José Martí International Airport | [42] |
| Helsinki | Finland | HEL | EFHK | Helsinki Airport # | [1] [5] |
| Ho Chi Minh City | Vietnam | SGN | VVTS | Tan Son Nhat International Airport # | [1] [5] |
| Hong Kong | China | HKG | VHHH | Hong Kong International Airport # | [1] [5] |
| Houston | United States | IAH | KIAH | George Bush Intercontinental Airport | [1] [87] |
| Hurghada | Egypt | HRG | HEGN | Hurghada International Airport | [1] [88] |
| Hyderabad | India | HYD | VOHS | Rajiv Gandhi International Airport [C] | [5] |
| Isfahan | Iran | IFN | OIFM | Isfahan International Airport | [1] [38] |
| Islamabad | Pakistan | ISB | OPRN | Benazir Bhutto International Airport | [1] |
| Isparta | Turkey | ISE | LTFC | Isparta Süleyman Demirel Airport | [1] [89] [90] |
| Istanbul | Turkey | IST | LTBA | Istanbul Atatürk Airport † | [1] |
| Istanbul | Turkey | SAW | LTFJ | Sabiha Gökçen International Airport ‡ | [1] |
| Ivano-Frankivsk | Ukraine | IFO | UKLI | Ivano-Frankivsk International Airport | [91] |
| İzmir | Turkey | ADB | LTBJ | Adnan Menderes Airport ‡ | [1] |
| Igdir ! Iğdır | Turkey | IGD | LTCT | Iğdır Airport | [1] |
| Jakarta | Indonesia | CGK | WIII | Soekarno–Hatta International Airport | [1] [92] |
| Jeddah | Saudi Arabia | JED | OEJN | King Abdulaziz International Airport | [1] |
| Johannesburg | South Africa | JNB | FAOR | OR Tambo International Airport | [1] |
| Kabul | Afghanistan | KBL | OAKB | Kabul International Airport | [1] |
| Kahramanmaraş | Turkey | KCM | LTCN | Kahramanmaraş Airport | [1] |
| Kano | Nigeria | KAN | DNKN | Mallam Aminu Kano International Airport | [1] [93] |
| Karachi | Pakistan | KHI | OPKC | Jinnah International Airport # | [1] [5] |
| Karlsruhe / Baden-Baden | Germany | FKB | EDSB | Baden Airpark | [1] [94] [95] [96] |
| Kars | Turkey | KSY | LTCF | Kars Airport | [1] |
| Kastamonu | Turkey | KFS | LTAL | Kastamonu Airport | [1] [97] [98] [99] |
| Kathmandu | Nepal | KTM | VNKT | Tribhuvan International Airport | [1] [100] |
| Kayseri | Turkey | ASR | LTAU | Erkilet International Airport | [1] |
| Kazan | Russia | KZN | UWKD | Kazan International Airport | [1] |
| Kermanshah | Iran | KSH | OICC | Kermanshah Airport | [1] |
| Khartoum | Sudan | KRT | HSSS | Khartoum International Airport # | [1] [5] |
| Kherson | Ukraine | KHE | UKOH | Kherson International Airport | [1] [101] [102] |
| Khujand | Tajikistan | LBD | UTDL | Khujand Airport | [1] [103] |
| Kiev | Ukraine | KBP | UKBB | Boryspil International Airport # | [1] [5] |
| Kigali | Rwanda | KGL | HRYR | Kigali International Airport | [1] [104] |
| Kilimanjaro | Tanzania | JRO | HTKJ | Kilimanjaro International Airport | [1] [105] |
| Kinshasa | Democratic Republic of the Congo | FIH | FZAA | N'djili Airport # | [1] [5] |
| Kocaeli | Turkey | KCO | LTBQ | Cengiz Topel Airport | [64] [106] |
| Konya | Turkey | KYA | LTAN | Konya Airport | [1] |
| Košice | Slovakia | KSC | LZKZ | Košice International Airport | [107] |
| Kuala Lumpur | Malaysia | KUL | WMKK | Kuala Lumpur International Airport | [1] [108] [109] |
| Kuwait City | Kuwait | KWI | OKBK | Kuwait International Airport # | [1] [5] |
| Kütahya | Turkey | KZR | LTBZ | Zafer Airport | [1] |
| Lagos | Nigeria | LOS | DNMM | Murtala Muhammed International Airport # | [1] [5] |
| Lahore | Pakistan | LHE | OPLA | Allama Iqbal International Airport | [1] [110] |
| Leipzig | Germany | LEJ | EDDP | Leipzig/Halle Airport | [1] |
| Libreville | Gabon | LBV | FOOL | Libreville International Airport | [1] [111] [112] |
| Lisbon | Portugal | LIS | LPPT | Lisbon Portela Airport | [1] |
| Ljubljana | Slovenia | LJU | LJLJ | Ljubljana Jože Pučnik Airport | [1] |
| London | United Kingdom | LGW | EGKK | Gatwick Airport | [1] |
| London | United Kingdom | LHR | EGLL | London Heathrow Airport | [1] |
| London | United Kingdom | STN | EGSS | London Stansted Airport [C] | [5] [113] |
| London | United Kingdom | LTN | EGGW | Luton Airport [T] | [81] |
| Los Angeles | United States | LAX | KLAX | Los Angeles International Airport | [1] |
| Luxembourg City | Luxembourg | LUX | ELLX | Luxembourg Findel Airport | [1] [114] [115] |
| Lviv | Ukraine | LWO | UKLL | Lviv Danylo Halytskyi International Airport | [1] |
| Lyon | France | LYS | LFLL | Lyon-Saint Exupéry Airport | [1] |
| Maastricht | Netherlands | MST | EHBK | Maastricht Aachen Airport [C] | [5] |
| Madrid | Spain | MAD | LEMD | Madrid–Barajas Airport # | [1] [5] |
| Mahé ^ begins 31 October 2016 | Seychelles | SEZ | FSIA | Seychelles International Airport | [116] |
| Málaga | Spain | AGP | LEMG | Málaga Airport | [1] |
| Malatya | Turkey | MLX | LTAT | Malatya Erhaç Airport | [1] |
| Malé | Maldives | MLE | VRMM | Ibrahim Nasir International Airport | [1] [117] [118] |
| Manama | Bahrain | BAH | OBBI | Bahrain International Airport # | [1] [5] |
| Manchester | United Kingdom | MAN | EGCC | Manchester Airport | [1] |
| Manila | Philippines | MNL | RPLL | Ninoy Aquino International Airport | [1] [119] [120] [121] |
| Maputo | Mozambique | MPM | FQMA | Maputo International Airport | [122] [123] [124] |
| Mardin | Turkey | MQM | LTCR | Mardin Airport | [1] |
| Maribor | Slovenia | MBX | LJMB | Maribor Edvard Rusjan Airport [T] | [125] |
| Marseille | France | MRS | LFML | Marseille Provence Airport | [1] [126] |
| Mashhad | Iran | MHD | OIMM | Mashhad International Airport | [1] [127] |
| Mazar-i-Sharif | Afghanistan | MZR | OAMS | Maulana Jalaluddin Balkhi International Airport | [1] [128] |
| Medina | Saudi Arabia | MED | OEMA | Prince Mohammad Bin Abdulaziz Airport | [1] |
| Merzifon | Turkey | MZH | LTAP | Amasya Merzifon Airport | [1] |
| Miami | United States | MIA | KMIA | Miami International Airport | [124] [129] |
| Milan | Italy | LIN | LIML | Linate Airport [T] | [130] |
| Milan | Italy | MXP | LIMC | Malpensa Airport # | [1] [5] |
| Minsk | Belarus | MSQ | UMMS | Minsk National Airport # | [1] [5] |
| Misrata [nb 6] | Libya | MRA | HLMS | Misrata Airport [T] | [132] |
| Mogadishu | Somalia | MGQ | HCMM | Aden Adde International Airport | [1] [133] [134] [135] [136] |
| Mombasa | Kenya | MBA | HKMO | Moi International Airport | [1] [105] |
| Montreal | Canada | YUL | CYUL | Montreal-Pierre Elliot Trudeau International Airport | [1] [137] |
| Moscow | Russia | DME | UUDD | Domodedovo International Airport [T] | [138] |
| Moscow | Russia | SVO | UUEE | Sheremetyevo International Airport [T] | [139] |
| Moscow | Russia | VKO | UUWW | Vnukovo International Airport | [1] |
| Mosul [nb 7] | Iraq | OSM | ORBM | Mosul International Airport [T] | [28] |
| Mumbai | India | BOM | VABB | Chhatrapati Shivaji International Airport # | [1] [5] |
| Munich | Germany | MUC | EDDM | Munich Airport | [1] |
| Muş | Turkey | MSR | LTCK | Muş Airport | [1] |
| Muscat | Oman | MCT | OOMS | Muscat International Airport | [1] |
| Münster / Osnabrück | Germany | FMO | EDDG | Münster Osnabrück International Airport | [1] [141] |
| N'Djamena | Chad | NDJ | FTTJ | N'Djamena International Airport | [1] [93] |
| Nairobi | Kenya | NBO | HKJK | Jomo Kenyatta International Airport # | [1] [5] [142] |
| Najaf | Iraq | NJF | ORNI | Al Najaf International Airport | [1] [143] |
| Nakhchivan | Azerbaijan | NAJ | UBBN | Nakhchivan Airport | [1] |
| Naples | Italy | NAP | LIRN | Naples International Airport | [1] |
| Nevşehir ! Nevşehir | Turkey | NAV | LTAZ | Nevşehir Kapadokya Airport | [1] |
| New York City | United States | JFK | KJFK | John F. Kennedy International Airport # | [1] [5] |
| Newark | United States | EWR | KEWR | Newark Liberty International Airport [T] | [144] |
| Niamey | Niger | NIM | DRRN | Diori Hamani International Airport | [1] [38] [145] |
| Nice | France | NCE | LFMN | Nice Côte d'Azur Airport | [1] |
| Nicosia | Northern Cyprus | ECN | LCEN | Ercan International Airport | [1] |
| Nicosia | Cyprus | NIC | LCNC | Nicosia International Airport [T] | [146] |
| Niš ^ begins 31 October 2016 | Serbia | INI | LYNI | Niš Constantine the Great Airport [C] | [147] |
| Nouakchott | Mauritania | NKC | GQNO | Nouakchott–Oumtounsy International Airport | [1] [148] |
| Novosibirsk | Russia | OVB | UNNT | Tolmachevo Airport | [1] |
| Nuremberg | Germany | NUE | EDDN | Nuremberg Airport | [1] |
| Odessa | Ukraine | ODS | UKOO | Odessa International Airport | [1] |
| Oran | Algeria | ORN | DAOO | Oran Es Sénia Airport | [1] |
| Ordu / Giresun | Turkey | OGU | LTCB | Ordu-Giresun Airport | [1] [77] [149] [150] [151] |
| Osaka | Japan | KIX | RJBB | Kansai International Airport | [1] |
| Osh | Kyrgyzstan | OSS | UCFO | Osh Airport | [1] [152] |
| Oslo | Norway | OSL | ENGM | Oslo Airport, Gardermoen | [1] |
| Ouagadougou | Burkina Faso | OUA | DFFD | Ouagadougou Airport | [1] [38] [145] |
| Panama City | Panama | PTY | MPTO | Tocumen International Airport | [33] [34] |
| Paris | France | CDG | LFPG | Charles de Gaulle Airport | [1] |
| Paris | France | ORY | LFPO | Orly Airport [T] | [153] |
| Phnom Penh | Cambodia | PNH | VDPP | Phnom Penh International Airport [C] | [5] |
| Pisa | Italy | PSA | LIRP | Pisa International Airport | [1] [154] |
| Podgorica | Montenegro | TGD | LYPG | Podgorica Airport | [1] [155] |
| Port Louis | Mauritius | MRU | FIMP | Sir Seewoosagur Ramgoolam International Airport | [14] [15] [16] [156] |
| Porto | Portugal | OPO | LPPR | Francisco de Sá Carneiro Airport | [1] [157] |
| Prague | Czech Republic | PRG | LKPR | Prague Václav Havel Airport | [1] |
| Pristina | Kosovo | PRN | BKPR | Pristina International Airport | [1] |
| Riga | Latvia | RIX | EVRA | Riga International Airport | [1] |
| Riyadh | Saudi Arabia | RUH | OERK | King Khalid International Airport # | [1] [5] |
| Rome | Italy | FCO | LIRF | Leonardo da Vinci-Fiumicino Airport | [1] |
| Rostov-on-Don | Russia | ROV | URRR | Rostov-on-Don Airport | [1] |
| Rotterdam / The Hague | Netherlands | RTM | EHRD | Rotterdam The Hague Airport | [1] [158] [159] |
| Sabha [nb 8] | Libya | SEB | HLLS | Sabha Airport [T] | [160] [161] |
| Saint Petersburg | Russia | LED | ULLI | Pulkovo Airport | [1] |
| Salzburg | Austria | SZG | LOWS | Salzburg Airport | [1] [162] |
| Samsun | Turkey | SZF | LTFH | Samsun-Çarşamba Airport | [1] |
| San Francisco | United States | SFO | KSFO | San Francisco International Airport | [1] [163] |
| Sana'a [nb 9] | Yemen | SAH | OYSN | Sana'a International Airport [T] | [1] |
| Sanliurfa ! Şanlıurfa | Turkey | GNY | LTCS | Şanlıurfa GAP Airport | [1] |
| Santiago de Compostela | Spain | SCQ | LEST | Santiago de Compostela Airport [T] | [1] [164] [165] |
| Sarajevo | Bosnia and Herzegovina | SJJ | LQSA | Sarajevo International Airport | [1] |
| Seoul | South Korea | ICN | RKSI | Incheon International Airport # | [1] [5] |
| Shanghai | China | PVG | ZSPD | Shanghai Pudong International Airport # | [1] [5] |
| Shannon | Ireland | SNN | EINN | Shannon Airport [C] | [5] [44] [45] [166] |
| Sharm el-Sheikh | Egypt | SSH | HESH | Sharm el-Sheikh International Airport | [167] [168] [169] |
| Shiraz | Iran | SYZ | OISS | Shiraz International Airport | [1] |
| Siirt | Turkey | SXZ | LTCL | Siirt Airport [T] | [21] [63] |
| Simferopol [nb 10] | Ukraine (disputed with Russia) | SIP | UKFF | Simferopol International Airport [T] | [28] |
| Singapore | Singapore | SIN | WSSS | Singapore Changi Airport | [1] |
| Sinop | Turkey | NOP | LTCM | Sinop Airport | [1] [171] |
| Sivas | Turkey | VAS | LTAR | Sivas Airport | [1] |
| Skopje | Macedonia | SKP | LWSK | Skopje "Alexander the Great" Airport | [1] |
| Sochi | Russia | AER | URSS | Sochi International Airport | [1] |
| Sofia | Bulgaria | SOF | LBSF | Sofia Airport | [1] |
| Stavropol | Russia | STW | URMT | Stavropol Shpakovskoye Airport | [1] [172] [173] |
| Stockholm | Sweden | ARN | ESSA | Stockholm Arlanda Airport # | [1] [5] |
| Strasbourg | France | SXB | LFST | Strasbourg International Airport [T] | [63] [64] [174] [175] |
| Stuttgart | Germany | STR | EDDS | Stuttgart Airport | [1] |
| Sulaymaniyah | Iraq | ISU | ORSU | Sulaimaniyah International Airport | [1] [176] |
| Sao Paulo ! São Paulo | Brazil | GRU | SBGR | São Paulo-Guarulhos International Airport | [1] |
| Sirnak ! Şırnak | Turkey | NKT | LTCV | Şırnak Şerafettin Elçi Airport | [1] [177] [178] |
| Tabriz | Iran | TBZ | OITT | Tabriz International Airport | [1] |
| Taif ! Ta'if | Saudi Arabia | TIF | OETF | Ta'if Regional Airport | [1] [179] |
| Taipei | Taiwan | TPE | RCTP | Taoyuan International Airport | [1] [180] [181] |
| Tallinn | Estonia | TLL | EETN | Tallinn Airport | [1] [182] |
| Tashkent | Uzbekistan | TAS | UTTT | Tashkent International Airport # | [1] [5] |
| Tbilisi | Georgia | TBS | UGTB | Tbilisi Airport # | [1] [5] |
| Tehran | Iran | IKA | OIIE | Tehran Imam Khomeini International Airport # | [1] [5] |
| Tekirdağ | Turkey | TEQ | LTBU | Tekirdağ Çorlu Airport | [1] [28] [64] |
| Tel Aviv | Israel | TLV | LLBG | Ben Gurion Airport # | [1] [5] |
| Thessaloniki | Greece | SKG | LGTS | Thessaloniki International Airport | [1] [183] |
| Tirana | Albania | TIA | LATI | Tirana International Airport Nënë Tereza | [1] |
| Tlemcen | Algeria | TLM | DAON | Zenata – Messali El Hadj Airport | [1] [26] |
| Tokat | Turkey | TJK | LTAW | Tokat Airport | [63] [106] [184] |
| Tokyo | Japan | NRT | RJAA | Narita International Airport | [1] |
| Toronto | Canada | YYZ | CYYZ | Toronto Pearson International Airport | [1] |
| Toulouse | France | TLS | LFBO | Toulouse – Blagnac Airport | [1] |
| Trabzon | Turkey | TZX | LTCG | Trabzon Airport | [1] |
| Tripoli | Libya | MJI | HLLM | Mitiga International Airport [T] | [185] [186] |
| Tripoli [nb 11] | Libya | TIP | HLLT | Tripoli International Airport [T] | [28] |
| Tunis | Tunisia | TUN | DTTA | Tunis-Carthage International Airport # | [1] [5] |
| Turin | Italy | TRN | LIMF | Turin Airport | [1] |
| Tuzla | Bosnia and Herzegovina | TZL | LQTZ | Tuzla International Airport [C] | [187] [188] [189] |
| Ufa | Russia | UFA | UWUU | Ufa International Airport | [1] |
| Ulan Bator | Mongolia | ULN | ZMUB | Chinggis Khaan International Airport | [1] [190] [191] |
| Uşak | Turkey | USQ | LTBO | Uşak Airport | [40] [106] |
| Valencia | Spain | VLC | LEVC | Valencia Airport | [1] [192] |
| Valletta | Malta | MLA | LMML | Malta International Airport | [1] [193] |
| Van | Turkey | VAN | LTCI | Van Ferit Melen Airport | [1] |
| Varna | Bulgaria | VAR | LBWN | Varna Airport | [1] [194] |
| Venice | Italy | VCE | LIPZ | Venice Marco Polo Airport | [1] |
| Vienna | Austria | VIE | LOWW | Vienna International Airport # | [1] [5] |
| Vilnius | Lithuania | VNO | EYVI | Vilnius Airport | [1] [182] |
| Warsaw | Poland | WAW | EPWA | Warsaw Chopin Airport # | [1] [5] |
| Washington | United States | IAD | KIAD | Washington Dulles International Airport | [1] |
| Yanbu | Saudi Arabia | YNB | OEYN | Yanbu Airport | [1] |
| Yaoundé | Cameroon | NSI | FKYS | Yaoundé Nsimalen International Airport | [1] [38] [57] |
| Yekaterinburg | Russia | SVX | USSS | Koltsovo Airport | [1] |
| Zagreb | Croatia | ZAG | LDZA | Zagreb Airport | [1] |
| Zanzibar ^ begins 12 December 2016 | Tanzania | ZNZ | HTZA | Abeid Amani Karume International Airport | [195] |
| Zaporizhia | Ukraine | OZH | UKDE | Zaporizhia International Airport | [196] |
| Zürich | Switzerland | ZRH | LSZH | Zürich Airport # | [1] [5] |
