# 2009 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality [n 1] | Team | School/club team |
| 1 | 20 | Maynor, Eric Eric Maynor | PG | United States | Utah Jazz | VCU ( Sr. ) |
| 1 | 21 | Collison, Darren Darren Collison | PG | United States | New Orleans Hornets | UCLA ( Sr. ) |
| 1 | 22 | Claver, Víctor Víctor Claver | SF | Spain | Portland Trail Blazers (from Dallas ) [d] | Pamesa Valencia ( Spain ) [11] |
| 1 | 23 | Casspi, Omri Omri Casspi | SF | Israel | Sacramento Kings (from Houston ) [e] | Maccabi Tel Aviv ( Israel ) [11] |
| 1 | 24 | Mullens, Byron Byron Mullens | C | United States United Kingdom | Dallas Mavericks (from Portland , [d] traded to Oklahoma City ) [B] | Ohio State ( Fr. ) |
| 1 | 25 | Beaubois, Rodrigue Rodrigue Beaubois | PG | France | Oklahoma City Thunder (from San Antonio , [f] traded to Dallas ) [B] | Cholet ( France ) [11] |
| 1 | 26 | Gibson, Taj Taj Gibson | PF | United States | Chicago Bulls (from Denver via Oklahoma City ) [g] | USC ( Jr. ) |
| 1 | 27 | Carroll, DeMarre DeMarre Carroll | SF | United States | Memphis Grizzlies (from Orlando ) [h] | Missouri ( Sr. ) |
| 1 | 28 | Ellington, Wayne Wayne Ellington | SG | United States | Minnesota Timberwolves (from Boston ) [b] | North Carolina ( Jr. ) |
| 1 | 29 | Douglas, Toney Toney Douglas | PG | United States | Los Angeles Lakers (traded to New York ) [C] | Florida State ( Sr. ) |
| 1 | 30 | Eyenga, Christian Christian Eyenga | SF | DR Congo | Cleveland Cavaliers | CB Prat ( Spain ) [11] |
| 2 | 31 | Pendergraph, Jeff Jeff Pendergraph | PF | United States | Sacramento Kings (traded to Portland ) [D] | Arizona State ( Sr. ) |
| 2 | 32 | Taylor, Jermaine Jermaine Taylor | SG | United States | Washington Wizards (traded to Houston ) [E] | Central Florida ( Sr. ) |
| 2 | 33 | Cunningham, Dante Dante Cunningham | PF | United States | Portland Trail Blazers (from LA Clippers ) [j] | Villanova ( Sr. ) |
| 2 | 34 | Llull, Sergio Sergio Llull [13] # | PG | Spain | Denver Nuggets (from Oklahoma City , [k] traded to Houston ) [F] | Real Madrid ( Spain ) [14] |
| 2 | 35 | Summers, DaJuan DaJuan Summers | PF | United States | Detroit Pistons (from Minnesota ) [l] | Georgetown ( Jr. ) |
| 2 | 36 | Young, Sam Sam Young | SF | United States | Memphis Grizzlies [m] | Pittsburgh ( Sr. ) |
| 2 | 37 | Blair, DeJuan DeJuan Blair | PF | United States | San Antonio Spurs (from Golden State via Phoenix ) [n] | Pittsburgh ( So. ) |
| 2 | 38 | Brockman, Jon Jon Brockman | PF | United States | Portland Trail Blazers (from New York via Chicago , [o] traded to Sacramento ) [D] | Washington ( Sr. ) |
| 2 | 39 | Jerebko, Jonas Jonas Jerebko | PF | Sweden | Detroit Pistons (from Toronto ) [p] | Angelico Biella ( Italy ) [15] |
| 2 | 40 | Brown, Derrick Derrick Brown | SF | United States | Charlotte Bobcats (from New Jersey via Oklahoma City ) [q] | Xavier ( Jr. ) |
| 2 | 41 | Meeks, Jodie Jodie Meeks | SG | United States | Milwaukee Bucks | Kentucky ( Jr. ) |
| 2 | 42 | Beverley, Patrick Patrick Beverley [16] | PG | United States | Los Angeles Lakers (from Charlotte , [r] traded to Miami ) [G] | BC Dnipro ( Ukraine ) [17] |
| 2 | 43 | Thornton, Marcus Marcus Thornton | SG | United States | Miami Heat (from Indiana , [s] traded to New Orleans ) [H] | LSU ( Sr. ) |
| 2 | 44 | Budinger, Chase Chase Budinger | SF | United States | Detroit Pistons (traded to Houston ) [I] | Arizona ( Jr. ) |
| 2 | 45 | Calathes, Nick Nick Calathes | PG | Greece United States a[›] | Minnesota Timberwolves (from Philadelphia via Miami , [t] traded to Dallas ) [J] | Florida ( So. ) |
| 2 | 46 | Green, Danny Danny Green | SF | United States | Cleveland Cavaliers (from Chicago ) [u] | North Carolina ( Sr. ) |
| 2 | 47 | Norel, Henk Henk Norel [18] # | PF | Netherlands | Minnesota Timberwolves (from Miami ) [t] | DKV Joventut ( Spain ) [19] |
| 2 | 48 | Griffin, Taylor Taylor Griffin | SF | United States | Phoenix Suns | Oklahoma ( Sr. ) |
| 2 | 49 | Gladyr, Sergiy Sergiy Gladyr [20] # | SG | Ukraine | Atlanta Hawks | MBC Mykolaiv ( Ukraine ) [11] |
| 2 | 50 | Suton, Goran Goran Suton [21] # | C | Bosnia and Herzegovina United States b[›] | Utah Jazz | Michigan State ( Sr. ) |
| 2 | 51 | McClinton, Jack Jack McClinton [22] # | SG | United States | San Antonio Spurs (from New Orleans via Toronto ) [v] | Miami (FL) ( Sr. ) |
| 2 | 52 | Price, A. J. A. J. Price | PG | United States | Indiana Pacers (from Dallas ) [w] | Connecticut ( Sr. ) |
| 2 | 53 | de Colo, Nando Nando de Colo | PG | France | San Antonio Spurs (from Houston ) [x] | Cholet ( France ) [23] |
| 2 | 54 | Vaden, Robert Robert Vaden [24] # | SG | United States | Charlotte Bobcats (from San Antonio , [y] traded to Oklahoma City ) [K] | UAB ( Sr. ) |
| 2 | 55 | Mills, Patty Patty Mills | PG | Australia | Portland Trail Blazers (from Denver ) [o] | Saint Mary's ( So. ) |
| 2 | 56 | Nivins, Ahmad Ahmad Nivins [25] # | PF | United States | Dallas Mavericks (from Portland ) [d] | Saint Joseph's ( Sr. ) |
| 2 | 57 | Preldžič, Emir Emir Preldžič [26] # | PF | Slovenia Turkey c[›] | Phoenix Suns (from Orlando via Oklahoma City , [z] traded to Cleveland ) [L] | Fenerbahçe Ülker ( Turkey ) [27] |
| 2 | 58 | Hudson, Lester Lester Hudson | PG | United States | Boston Celtics | Tennessee-Martin ( Sr. ) |
| 2 | 59 | Elonu, Chinemelu Chinemelu Elonu [28] # | PF | Nigeria United States d[›] | Los Angeles Lakers | Texas A&M ( Jr. ) |
| 2 | 60 | Dozier, Robert Robert Dozier [29] # | SF | United States | Miami Heat (from Cleveland ) [aa] | Memphis ( Sr. ) |
