# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| 90 | 21 | 7 March 1993 | " Isabel Sanford 's Weezies brand Throat Drops" " A Different Message " "Why: Reporters Affecting Accents" "Super Dave Dance Transition/Finale" "Charles Bronson's 'Make a Death Wish' Foundation" "Grandpa and Duke the Dead Dog: Best in Show" Close featuring Naughty By Nature |
| 91 | 22 | 14 March 1993 | "Great Moments In Black History: The First Record Scratcher" " Al Sharpton 's Hunger Strike" "What If Archie Bunker was Black?" (would later become "All Up in the Family" in the fifth season) " Mr. Rogers : Insufferable Prick" (a.k.a. "Mr. Rogers at the Video Store") Close Featuring Heavy D and The Boyz |
| 92 | 23 | 21 March 1993 | (not included on syndication; all the sketches are from past episodes) " Rodney King and Reginald Denny PSA " "Why? Black Eyewitnesses" "Oswald: Booked on Phonics" " Ross Perot Buys Up Airtime" " Driving Miss Schott " "Beauty Tips with Lori Davis" "Ugly Wanda: Dracula" |
| 93 | 24 | 4 April 1993 | "What If Barbra Streisand was Black?" "Al MacAfee: Metal Detector at School" "Sheila Peace: Employment Agency" "Lashawn: Makeover" "The Black People's Show" Close Featuring Prince Markie Dee and The Soul Convention |
| 94 | 25 | 25 April 1993 | "Reality Check: Dancing Like The Fly Girls" (cut from DVD) "Baby Lonnie at the Doctor " "Overly Confident Gay Man Comes Out" "Snookie" (with guest Jenifer Lewis ) "Sgt. Koon's Police Academy " (includes Molly Shannon cameo) Close Featuring Da Youngsta's |
| 95 | 26 | 29 April 1993 | (not included in syndication; all the sketches are from past episodes) Best Commercial Parodies: "The Player's Club brand Billy Club" "SillyCone Brand Breast Implants" "Vera De Milo: Milk Commercial " " Sally Struthers : Feed the Planet " "Tes-T-Shields Masculine Hygiene Pads" "Muttco's Coyote Ugly One-Night Stand Escape Kit" " George Hamilton Luggage and Belts" " Amy Fisher 's "Bang For Your Buck" Seminar " "Juicemania" |
| 96 | 27 | 2 May 1993 | "Arsenio Hall, Whoopi Goldberg, and Jay Leno: Undigable Hosts" (cut from DVD) "Loomis Simmons: Psychic Hotline" " MTV 's Teen Court " " James Brown in The Groom Room" "Carl "The Tooth" Williams" (cut from DVD) Close Featuring Showbiz and A.G. and A.G. with Dres from Black Sheep |
| 97 | 28 | 6 May 1993 | (not included on syndication; all the sketches shown are from previous episodes) "The Superfly" "El Grande Y Spectacular Muchacho Rocketeer" ("The Mexican Rocketeer") "My Left Foot of Fury" "Oswald: Silence of the Lambs II" " Passenger 227 " "Ugly Wanda in Basic Instank II " |
| 98 | 29 | 9 May 1993 | "Heterosexual Pride Parade" "Reality Check: Wearing a Bikini" "Calhoun Tubbs: Chuck E. Cheddar" "Thelma & Louise Jefferson" "Mrs. Sheridan's Phone Call" "Ugly Wanda: The Queen of the Old West)" Close Featuring Onyx |
| 99 | 30 | 13 May 1993 | (not included in syndication; all the sketches are from previous episodes) "Elvis Sighting" "What If Bob Hope Were Black?" "Woody Allen: Date The Children" "Jay Leno" "You Bet Your Career" |
| 100 | 31 | 16 May 1993 | "Grandpa and Duke the Dead Dog: Beer Commercial Audition" "Vera De Milo: Breasts Of Fury!" "Snackin' Shack: Eligible Bachelor" "Bunny & Clive: Incompetent Teenage Thugs" "The Dysfunctional Home Show: Grandma's Funeral" Close Featuring The Pharcyde |
| 101 | 32 | 23 May 1993 | "Joe Jackson: Rock 'Em Sock 'Em Jacksons" "In Living Color Complaint Line" "Lashawn: Beauty Shop" (includes LaWanda Page cameo) "Why? Star Trek Aliens Portrayed By Black People" (includes Molly Shannon cameo) "B.S. Brothers: Big Break" "In Living Color Complaint Line #2" "The Champ: The Tooth Goes to Senate" "In Living Color Complaint Line #3" |
