# List of Sailor Moon episodes
> Episode list

| No. | Cloverway title [7] Original Japanese [8] and Viz [9] titles | Episode director(s) | Writer(s) | Art director(s) | Animation director(s) | Original airdate [8] | English airdate |
| 100 | "Individual Happiness" "I Want to Quit Being a Sailor Guardian: Minako's Dilemma" "Sērā Senshi wo yametai!? Minako no nayami" (S戦士を辞めたい!?美奈子の悩み) | Hiroki Shibata | Yoji Enokido | Kazuhisa Asai | Mari Tominaga | June 25, 1994 | June 26, 2000 |
| 101 | "Birthday Blues, Part One" "Usagi in Tears: a Glass Slipper for My Birthday" "Usagi namida! Tanjōbi ni garasu no kutsu wo" (うさぎ涙!誕生日にガラスの靴を) | Yūji Endō | Katsuyuki Sumisawa | Kazuyuki Hashimoto | Masahiro Andō | July 2, 1994 | June 27, 2000 |
| 102 | "Birthday Blues, Part Two" "The Stolen Pure Heart: Usagi's Crisis" "Ubawareta pyua na kokoro! Usagi zettai zetsumei" (奪われた純な心!うさぎ絶体絶命) | Noriyo Sasaki | Katsuyuki Sumisawa | Kenichi Tajiri | Taichi Nakamura | July 16, 1994 | June 28, 2000 |
| 103 | "Hello, Sailor Mini Moon" "The Arrival of a Tiny Pretty Guardian" "Yatte kita chiccha na Bishōjo Senshi" (やって来たちっちゃな美少女戦士) | Kunihiko Ikuhara | Shigeru Yanagawa | Yoshiyuki Shikano | Kazuya Kuroda | August 6, 1994 | June 29, 2000 |
| 104 | "Tainted Tea Party" "Making New Friends: Chibi Moon's Adventure" "Tomodachi wo motomete! Chibi Mūn no katsuyaku" (友達を求めて!ちびムーンの活躍) | Junichi Sato | Megumi Sugihara | Kazuhisa Asai | Ikuko Itō | August 20, 1994 | June 30, 2000 |
| 105 | "People Who Need People" "I Want Power: Mako Lost in Doubt" "Pawā ga hoshī! Mako-chan no mayoi michi" (力が欲しい!まこちゃんの迷い道) | Hiroki Shibata | Shigeru Yanagawa | Yoshiyuki Shikano | Mari Tominaga | August 27, 1994 | July 3, 2000 |
| 106 | "Related By Destiny" "The Bond of Destiny: Uranus's Distant Past" "Unmei no kizuna! Uranusu no tōi hi" (運命のきずな!ウラヌスの遠い日) | Takuya Igarashi | Yoji Enokido | Kenichi Tajiri | Katsumi Tamegai | September 3, 1994 | July 4, 2000 |
| 107 | "Art Appreciation" "Art Is an Explosion of Love: Chibi-Usa’s First Love" "Geijutsu wa ai no bakuhatsu! Chibi-Usa no hatsukoi" (芸術は愛の爆発!ちびうさの初恋) | Yūji Endō | Katsuyuki Sumisawa | Minoru Ōkōchi | Taichi Nakamura | September 10, 1994 | July 5, 2000 |
| 108 | "Everything's Coming Up Rosey" "Usagi Dancing to the Waltz" "Usagi no dansu wa warutsu ni notte" (うさぎのダンスはワルツに乗って) | Harume Kosaka | Megumi Sugihara | Kazuhisa Asai | Masahiro Andō | September 17, 1994 | July 6, 2000 |
| 109 | "No Turning Back" "The Shocking Moment: Everyone’s Identities Revealed" "Shōgeki no toki! Akasareta tagai no shōtai" (衝撃の刻!明かされた互いの正体) | Junichi Sato | Sukehiro Tomita | Yoshiyuki Shikano | Kazuya Kuroda | September 24, 1994 | July 7, 2000 |
| 110 | "Destiny's Arrival" "The Death of Uranus and Neptune: The Talisman Appear" "Uranusu-tachi no shi? Tarisuman shutsugen" (ウラヌス達の死?タリスマン出現) | Kunihiko Ikuhara | Yoji Enokido | Kenichi Tajiri | Mari Tominaga | October 15, 1994 | July 10, 2000 |
| 111 | "The Purity Chalice" "The Holy Grail's Mystical Power: Moon's Double Transformation" "Seihai no shinpi na chikara! Mūn nidan henshin" (聖杯の神秘な力!ムーン二段変身) | Hiroki Shibata | Sukehiro Tomita | Kazuyuki Hashimoto | Ikuko Itō | October 22, 1994 | July 11, 2000 |
| 112 | "Show Stoppers" "Who is the True Messiah? Chaos of Light and Darkness" "Shin no kyūseishu wa dare? Hikari to kage no kaosu" (真の救世主は誰?光と影のカオス) | Noriyo Sasaki | Shigeru Yanagawa | Minoru Ōkōchi | Shinya Hasegawa | November 5, 1994 | July 12, 2000 |
| 113 | "Rini's Risky Friendship" "A House Filled With Evil Presence: The Beautiful Hotaru’s Secret" "Yōki tadayou ie! Bishōjo Hotaru no himitsu" (妖気漂う家!美少女ほたるの秘密) | Kōnosuke Uda | Megumi Sugihara | Kenichi Tajiri | Taichi Nakamura | November 12, 1994 | July 13, 2000 |
| 114 | "Mimet's Mess" "I Love Idols: Mimete's Dilemma" "Aidoru daisuki! Nayameru Mimetto" (アイドル大好き!悩めるミメット) | Harume Kosaka | Yoji Enokido | Yoshiyuki Shikano | Masahiro Andō | November 19, 1994 | July 14, 2000 |
| 115 | "The Shadow of Silence" "Shadow of Silence: The Pale Glimmer of a Firefly" "Chinmoku no kage!? Awaki Hotaru hi no yurameki" (沈黙の影!?あわき蛍火のゆらめき) | Takuya Igarashi | Yoji Enokido | Kenichi Tajiri | Katsumi Tamegai | November 26, 1994 | July 17, 2000 |
| 116 | "Thorny Weather" "Sunny Skies After a Storm: A Friendship Dedicated to Hotaru" "Arashi nochi hare! Hotaru ni sasageru yūjō" (嵐のち晴れ!ほたるに捧げる友情) | Yūji Endō | Megumi Sugihara | Kazuhisa Asai | Jouji Yanase | December 3, 1994 | July 18, 2000 |
| 117 | "Heightened Hazard" "Higher and Stronger: A Cheer from Usagi" "Yori takaku yori tsuyoku! Usagi no ōen" (より高くより強く!うさぎの応援) | Kunihiko Ikuhara | Shigeru Yanagawa | Minoru Ōkōchi | Taichi Nakamura | December 10, 1994 | July 19, 2000 |
| 118 | "It's In The Cards" "The Battle Inside the Demonic Space: The Sailor Guardians' Gamble" "Makū no tatakai! Sērā Senshi no kake" (魔空の戦い!セーラー戦士の賭け) | Noriyo Sasaki | Katsuyuki Sumisawa | Kenichi Tajiri | Masahide Yanagisawa | December 17, 1994 | July 20, 2000 |
| 119 | "Goodness Eclipsed" "The Messiah of Silence Awakens? Stars of Destiny" "Chinmoku no Meshia kakusei? Unmei no hoshiboshi" (沈黙のメシアの覚せい?運命の星々) | Harume Kosaka | Yoji Enokido | Kazuhisa Asai | Shinya Hasegawa | December 24, 1994 | September 13, 2000 |
| 120 | "Next In Line" "An Invasion from an Another Dimension: Mystery of Mugen Academy" "Ijigen kara no shinryaku! Mugen Gakuen no nazo" (異次元からの侵略!無限学園の謎) | Kōnosuke Uda | Megumi Sugihara | Minoru Ōkōchi | Katsumi Tamegai | January 7, 1995 | July 21, 2000 |
| 121 | "Fiendish Ferns" "A Bewitching Flower That Steals Hearts: Tellu, the Third Witch" "Kokoro wo ubau yōka! Daisan no majō Teruru" (心を奪う妖花!第三の魔女テルル) | Takuya Igarashi | Shigeru Yanagawa | Kazuyuki Hashimoto | Taichi Nakamura | January 14, 1995 | July 24, 2000 |
| 122 | "The Science Of Love" "Believe in Love: Ami, the Kindhearted Guardian" "Ai wo shinjite! Ami, kokoro yasashiki Senshi" (愛を信じて!亜美心優しき戦士) | Yūji Endō | Sukehiro Tomita | Kenichi Tajiri | Hideyuki Motohashi | January 21, 1995 | July 25, 2000 |
| 123 | "Wake Up Call" "Shadows of Destruction: the Messiah of Silence Awakens" "Hametsu no kage! Chinmoku no Meshia no mezame" (破滅の影!沈黙のメシアの目覚め) | Harume Kosaka | Megumi Sugihara | Minoru Ōkōchi | Mari Tominaga | January 28, 1995 | July 26, 2000 |
| 124 | "Who's Really Who?" "The Coming Terror of Darkness: Struggle of the Eight Guardians" "Semari kuru yami no kyōfu! Kusen no Hassenshi" (迫り来る闇の恐怖!苦戦の8戦士) | Takuya Igarashi | Yoji Enokido | Kazuyuki Hashimoto | Ikuko Itō | February 4, 1995 | July 28, 2000 |
| 125 | "Darkness, My Old Friend" "The Shining Shooting Star: Saturn and the Messiah" "Kagayaku ryūsei! Satān soshite kyūseishu" (輝く流星!サターンそして救世主) | Kōnosuke Uda | Yoji Enokido | Kenichi Tajiri | Ikuko Itō | February 11, 1995 | July 29, 2000 |
| 126 | "Second Chance" "A New Life: Parting of the Stars of Destiny" "Atarashiki seimei! Unmei no hoshiboshi betsuri no toki" (新しき生命!運命の星々別離の時) | Yūji Endō | Megumi Sugihara | Kazuhisa Asai | Taichi Nakamura | February 18, 1995 | July 30, 2000 |
| 127 | "Tough Kindness" "Self-Awareness as a Senshi! Strength Lies in the Pure Heart" "Senshi no Jikaku! Tsuyosa wa Pyua na Kokoro no Naka ni" (戦士の自覚! 強さは純な心の中に) | Harume Kosaka | Sukehiro Tomita |  |  | February 25, 1995 | August 1, 2000 |
