# Demographics of South Korea
> Vital statistics

|  | Average population | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Total fertility rate (TFR) |
| 2003 | 47,859,311 | 490,543 | 244,506 | 246,037 | 10.2 | 5.1 | 5.1 | 1.18 |
| 2004 | 48,039,415 | 472,761 | 244,217 | 228,544 | 9.8 | 5.0 | 4.7 | 1.15 |
| 2005 | 48,138,077 | 435,031 | 243,883 | 191,148 | 8.9 | 5.0 | 3.9 | 1.08 |
| 2006 | 48,371,946 | 448,153 | 242,266 | 205,887 | 9.2 | 5.0 | 4.2 | 1.12 |
| 2007 | 48,597,652 | 493,189 | 244,874 | 248,315 | 10.0 | 5.0 | 5.1 | 1.25 |
| 2008 | 48,948,698 | 465,892 | 246,113 | 219,779 | 9.4 | 5.0 | 4.4 | 1.19 |
| 2009 | 49,182,038 | 444,849 | 246,942 | 197,907 | 9.0 | 5.0 | 4.0 | 1.15 |
| 2010 | 49,410,366 | 470,171 | 255,405 | 214,766 | 9.4 | 5.1 | 4.3 | 1.23 |
| 2011 | 49,779,440 | 471,265 | 257,396 | 213,869 | 9.4 | 5.1 | 4.3 | 1.24 |
| 2012 | 50,004,441 | 484,550 | 267,221 | 217,329 | 9.6 | 5.3 | 4.3 | 1.30 |
| 2013 | 50,219,669 | 436,455 | 266,257 | 170,198 | 8.6 | 5.3 | 3.4 | 1.19 |
| 2014 | 50,423,955 | 435,435 | 267,692 | 167,743 | 8.6 | 5.3 | 3.3 | 1.21 |
| 2015 | 51,069,375 | 438,420 | 275,895 | 162,525 | 8.6 | 5.4 | 3.2 | 1.24 |
