# Demographics of Cyprus
> Vital statistics

|  | Average population (x 1000) | Live births 1 | Deaths 1 | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| 1949 | 485 | 13 234 | 5 290 | 7 944 | 27.3 | 11.0 | 16.4 |
| 1950 | 494 | 14 517 | 5 340 | 9 187 | 29.4 | 11.0 | 18.6 |
| 1951 | 502 | 14 403 | 5 370 | 9 043 | 28.7 | 10.5 | 18.0 |
| 1952 | 508 | 13 358 | 5 380 | 7 968 | 26.3 | 10.5 | 15.7 |
| 1953 | 515 | 13 446 | 5 410 | 8 036 | 26.1 | 10.5 | 15.6 |
| 1954 | 523 | 13 893 | 5 490 | 8 403 | 26.6 | 10.5 | 16.1 |
| 1955 | 530 | 13 747 | 5 570 | 8 177 | 25.9 | 10.5 | 15.4 |
| 1956 | 536 | 13 875 | 5 630 | 8 215 | 25.9 | 10.5 | 15.3 |
| 1957 | 546 | 14 100 | 5 730 | 8 350 | 25.8 | 10.5 | 15.3 |
| 1958 | 558 | 14 320 | 5 860 | 8 480 | 25.7 | 10.5 | 15.2 |
| 1959 | 567 | 14 411 | 5 950 | 8 491 | 25.4 | 10.5 | 15.0 |
| 1960 | 573 | 14 500 | 6 020 | 8 510 | 25.3 | 10.5 | 14.9 |
| 1961 | 575 | 15 059 | 6 206 | 8 853 | 26.2 | 10.8 | 15.4 |
| 1962 | 577 | 14 787 | 6 101 | 8 686 | 25.6 | 10.6 | 15.0 |
| 1963 | 582 | 14 602 | 6 079 | 8 523 | 25.1 | 10.4 | 14.6 |
| 1964 | 587 | 14 224 | 6 206 | 8 018 | 24.2 | 10.6 | 13.7 |
| 1965 | 591 | 13 707 | 6 061 | 7 646 | 23.2 | 10.3 | 12.9 |
| 1966 | 595 | 13 250 | 5 991 | 7 259 | 22.3 | 10.1 | 12.2 |
| 1967 | 599 | 12 788 | 5 971 | 6 817 | 21.3 | 10.0 | 11.4 |
| 1968 | 604 | 12 403 | 5 958 | 6 445 | 20.5 | 9.9 | 10.7 |
| 1969 | 609 | 12 046 | 5 946 | 6 100 | 19.8 | 9.8 | 10.0 |
| 1970 | 614 | 11 801 | 5 998 | 5 803 | 19.2 | 9.8 | 9.4 |
| 1971 | 620 | 11 641 | 5 983 | 5 658 | 18.8 | 9.7 | 9.1 |
| 1972 | 627 | 11 620 | 6 043 | 5 577 | 18.5 | 9.6 | 8.9 |
| 1973 | 634 | 11 600 | 6 047 | 5 553 | 18.3 | 9.5 | 8.8 |
| 1974 | 630 | 10 578 | 6 900 | 3 678 | 16.8 | 11.0 | 5.8 |
| 1975 | 610 | 9 768 | 4 823 | 4 945 | 16.0 | 7.9 | 8.1 |
| 1976 | 599 | 11 194 | 5 148 | 6 046 | 18.7 | 8.6 | 10.1 |
| 1977 | 599 | 10 951 | 5 445 | 5 506 | 18.3 | 9.1 | 9.2 |
| 1978 | 601 | 11 299 | 5 048 | 6 251 | 18.8 | 8.4 | 10.4 |
| 1979 | 605 | 11 920 | 5 083 | 6 837 | 19.7 | 8.4 | 11.3 |
| 1980 | 611 | 12 464 | 5 682 | 6 782 | 20.4 | 9.3 | 11.1 |
| 1981 | 618 | 12 111 | 5 190 | 6 921 | 19.6 | 8.4 | 11.2 |
| 1982 | 625 | 12 985 | 5 307 | 7 678 | 20.8 | 8.5 | 12.3 |
| 1983 | 632 | 13 078 | 5 433 | 7 645 | 20.7 | 8.6 | 12.1 |
| 1984 | 640 | 13 182 | 5 119 | 8 063 | 20.6 | 8.0 | 12.6 |
| 1985 | 648 | 12 622 | 5 502 | 7 120 | 19.5 | 8.5 | 11.0 |
| 1986 | 654 | 12 753 | 5 494 | 7 259 | 19.5 | 8.4 | 11.1 |
| 1987 | 660 | 12 331 | 5 869 | 6 462 | 18.7 | 8.9 | 9.8 |
| 1988 | 665 | 12 753 | 5 845 | 6 908 | 19.2 | 8.8 | 10.4 |
| 1989 | 671 | 12 141 | 5 702 | 6 439 | 18.1 | 8.5 | 9.6 |
