# List of countries by past and projected GDP ( nominal )
> IMF estimates between 1970 and 1979

| Country (or dependent territory) | 1970 | 1971 | 1972 | 1973 | 1974 | 1975 | 1976 | 1977 | 1978 | 1979 |
| Comoros | 20 | 22 | 26 | 34 | 39 | 60 | 59 | 65 | 85 | 113 |
| Congo | 262 | 300 | 360 | 480 | 580 | 683 | 709 | 707 | 879 | 1,194 |
| Cook Islands | 9 | 9 | 9 | 12 | 14 | 14 | 13 | 15 | 18 | 20 |
| Costa Rica | 1,251 | 1,369 | 1,573 | 1,943 | 2,118 | 2,492 | 3,065 | 3,904 | 4,477 | 5,127 |
| Côte d'Ivoire | 1,501 | 1,597 | 1,872 | 2,540 | 3,070 | 3,894 | 4,662 | 6,265 | 7,901 | 9,142 |
| Cuba | 5,693 | 6,915 | 8,135 | 9,988 | 11,406 | 13,027 | 13,790 | 14,206 | 17,845 | 19,584 |
| Cyprus | 569 | 666 | 810 | 986 | 873 | 728 | 842 | 1,073 | 1,404 | 1,840 |
| Czechoslovakia | 16,294 | 17,039 | 19,527 | 23,074 | 24,754 | 27,300 | 26,914 | 38,583 | 42,501 | 45,672 |
| Democratic Republic of the Congo | 3,000 | 3,353 | 3,701 | 4,719 | 5,754 | 6,138 | 5,786 | 7,401 | 10,507 | 10,297 |
| Denmark | 16,591 | 18,515 | 22,591 | 29,962 | 33,347 | 39,594 | 43,676 | 48,855 | 59,296 | 69,161 |
| Djibouti | 66 | 75 | 90 | 112 | 141 | 157 | 187 | 201 | 221 | 264 |
| Dominica | 23 | 26 | 28 | 32 | 38 | 40 | 39 | 44 | 54 | 53 |
| Dominican Republic | 1,832 | 2,055 | 2,451 | 2,892 | 3,609 | 4,439 | 4,874 | 5,658 | 5,839 | 6,782 |
| Ecuador | 1,762 | 1,686 | 1,973 | 2,620 | 3,906 | 4,536 | 5,596 | 7,005 | 8,056 | 9,851 |
| Egypt | 8,143 | 8,629 | 9,227 | 9,589 | 11,334 | 12,678 | 14,974 | 19,136 | 23,432 | 15,616 |
| El Salvador | 338 | 356 | 379 | 438 | 519 | 589 | 751 | 943 | 1,012 | 1,132 |
| Equatorial Guinea | 20 | 21 | 20 | 26 | 27 | 34 | 35 | 39 | 44 | 50 |
| Ethiopia | 2,559 | 2,709 | 2,958 | 3,421 | 3,846 | 3,828 | 4,160 | 4,730 | 5,034 | 5,533 |
| Fiji | 223 | 249 | 320 | 430 | 564 | 691 | 702 | 727 | 838 | 1,030 |
| Finland | 11,113 | 12,257 | 14,425 | 19,053 | 24,312 | 29,122 | 31,469 | 33,102 | 35,826 | 43,934 |
| France | 146,436 | 163,704 | 200,946 | 261,468 | 282,158 | 355,617 | 367,273 | 405,397 | 500,052 | 605,041 |
| French Polynesia | 233 | 272 | 299 | 395 | 509 | 633 | 717 | 771 | 975 | 1,211 |
| Gabon | 396 | 467 | 527 | 885 | 1,890 | 2,641 | 3,684 | 3,439 | 2,925 | 3,709 |
| Gambia | 96 | 101 | 132 | 224 | 293 | 352 | 323 | 342 | 406 | 445 |
| Germany | 208,867 | 241,914 | 290,117 | 385,518 | 430,928 | 474,785 | 502,961 | 581,104 | 716,567 | 852,855 |
| Ghana | 3,549 | 3,874 | 3,386 | 3,124 | 3,641 | 3,490 | 3,559 | 3,872 | 4,495 | 4,748 |
| Greece | 12,524 | 13,908 | 16,094 | 21,300 | 24,163 | 27,212 | 29,715 | 34,493 | 42,200 | 51,954 |
| Greenland | 68 | 87 | 104 | 138 | 167 | 208 | 237 | 278 | 350 | 414 |
| Grenada | 17 | 21 | 28 | 35 | 36 | 44 | 44 | 50 | 64 | 75 |
| Guatemala | 1,697 | 1,769 | 1,874 | 2,290 | 2,818 | 3,250 | 3,892 | 4,886 | 5,412 | 6,154 |
| Guinea | 566 | 626 | 668 | 716 | 822 | 926 | 1,056 | 1,085 | 1,241 | 1,328 |
| Guinea-Bissau | 307 | 305 | 357 | 440 | 483 | 556 | 500 | 430 | 497 | 544 |
| Guyana | 427 | 452 | 458 | 488 | 684 | 804 | 711 | 703 | 793 | 829 |
| Haiti | 331 | 363 | 372 | 467 | 565 | 681 | 879 | 947 | 974 | 1,081 |
| Honduras | 824 | 872 | 958 | 1,089 | 1,234 | 1,341 | 1,608 | 1,992 | 2,302 | 2,686 |
| Hungary | 6,270 | 6,824 | 8,004 | 9,911 | 10,863 | 12,387 | 14,354 | 16,031 | 18,741 | 21,639 |
| Iceland | 519 | 660 | 827 | 1,133 | 1,493 | 1,386 | 1,645 | 2,176 | 2,475 | 2,811 |
| India | 61,470 | 65,947 | 71,735 | 85,546 | 96,552 | 100,437 | 101,196 | 117,421 | 135,833 | 150,317 |
| Indonesia | 9,805 | 10,295 | 12,083 | 17,878 | 28,349 | 33,472 | 40,948 | 50,331 | 56,535 | 56,473 |
| Iran | 10,032 | 12,631 | 15,785 | 25,134 | 43,806 | 48,877 | 63,404 | 74,362 | 73,233 | 85,610 |
| Iraq | 2,320 | 2,605 | 2,615 | 3,283 | 3,870 | 4,845 | 6,178 | 6,693 | 8,468 | 11,371 |
| Ireland | 4,295 | 4,979 | 6,210 | 7,356 | 7,799 | 9,279 | 9,285 | 10,972 | 14,254 | 18,023 |
| Israel | 6,070 | 6,401 | 8,431 | 10,807 | 14,655 | 14,502 | 15,243 | 16,495 | 16,232 | 20,891 |
| Italy | 109,791 | 120,709 | 140,634 | 169,911 | 193,228 | 220,469 | 217,583 | 249,389 | 305,032 | 381,143 |
| Jamaica | 1,591 | 1,741 | 2,119 | 2,173 | 2,700 | 3,251 | 3,371 | 3,694 | 3,006 | 2,765 |
| Japan | 209,071 | 236,155 | 312,738 | 424,891 | 471,643 | 512,861 | 576,406 | 709,405 | 996,742 | 1,037,453 |
| Jordan | 593 | 633 | 705 | 807 | 933 | 1,220 | 1,574 | 1,937 | 2,562 | 3,103 |
| Kenya | 2,195 | 2,432 | 2,727 | 3,217 | 3,836 | 4,206 | 4,483 | 5,794 | 6,860 | 7,869 |
| Kiribati | 21 | 22 | 28 | 46 | 83 | 80 | 60 | 56 | 65 | 62 |
| Kuwait | 2,873 | 3,881 | 4,448 | 5,405 | 13,004 | 12,016 | 13,120 | 14,140 | 15,502 | 24,750 |
| Laos | 113 | 125 | 134 | 154 | 174 | 204 | 222 | 231 | 250 | 265 |
| Lebanon | 1,489 | 1,673 | 2,086 | 2,721 | 3,496 | 3,258 | 1,427 | 2,529 | 2,977 | 3,633 |
| Lesotho | 67 | 65 | 77 | 116 | 132 | 138 | 136 | 178 | 245 | 267 |
| Liberia | 259 | 273 | 296 | 346 | 423 | 509 | 527 | 590 | 646 | 744 |
| Libya | 4,268 | 4,881 | 5,845 | 8,003 | 14,022 | 13,649 | 17,719 | 20,809 | 20,537 | 28,332 |
| Liechtenstein | 90 | 105 | 125 | 166 | 194 | 246 | 272 | 303 | 437 | 503 |
| Luxembourg | 1,445 | 1,506 | 1,886 | 2,588 | 3,157 | 3,097 | 3,395 | 3,757 | 4,679 | 5,470 |
| Madagascar | 898 | 971 | 1,110 | 1,367 | 1,549 | 1,844 | 1,762 | 1,905 | 2,156 | 2,798 |
| Malawi | 442 | 555 | 635 | 612 | 756 | 845 | 923 | 1,111 | 1,307 | 1,403 |
| Malaysia | 3,737 | 4,586 | 5,449 | 8,279 | 10,260 | 10,079 | 11,939 | 14,196 | 17,674 | 22,919 |
| Maldives | 38 | 42 | 49 | 60 | 76 | 48 | 44 | 41 | 47 | 75 |
| Mali | 276 | 330 | 373 | 433 | 406 | 604 | 716 | 833 | 965 | 1,220 |
| Malta | 251 | 265 | 295 | 346 | 376 | 475 | 528 | 626 | 794 | 1,001 |
| Marshall Islands | 8 | 9 | 10 | 12 | 15 | 17 | 18 | 20 | 22 | 26 |
| Mauritania | 324 | 347 | 406 | 462 | 628 | 759 | 847 | 871 | 857 | 1,069 |
| Mauritius | 197 | 221 | 278 | 348 | 578 | 581 | 722 | 844 | 1,041 | 1,241 |
| Mexico | 43,426 | 47,897 | 55,200 | 67,532 | 87,943 | 107,525 | 108,589 | 100,097 | 125,438 | 164,346 |
| Micronesia | 21 | 23 | 27 | 37 | 49 | 49 | 50 | 50 | 57 | 64 |
| Monaco | 293 | 328 | 403 | 524 | 565 | 712 | 736 | 812 | 1,002 | 1,212 |
| Mongolia | 172 | 189 | 204 | 235 | 267 | 311 | 342 | 392 | 451 | 510 |
| Montserrat | 6 | 7 | 8 | 9 | 10 | 12 | 10 | 11 | 13 | 16 |
| Morocco | 4,421 | 4,731 | 5,681 | 6,973 | 8,576 | 10,039 | 10,710 | 12,347 | 14,790 | 17,779 |
| Mozambique | 3,047 | 3,392 | 3,797 | 4,472 | 4,676 | 4,841 | 4,409 | 4,463 | 4,663 | 4,903 |
| Myanmar | 2,692 | 2,757 | 2,568 | 3,340 | 3,981 | 3,680 | 4,089 | 4,191 | 4,678 | 5,365 |
| Namibia | 633 | 707 | 708 | 898 | 1,096 | 1,169 | 1,123 | 1,248 | 1,438 | 1,777 |
| Nauru | 18 | 19 | 22 | 27 | 32 | 29 | 29 | 28 | 31 | 33 |
| Nepal | 1,041 | 1,061 | 1,231 | 1,144 | 1,458 | 1,617 | 1,494 | 1,484 | 1,749 | 1,987 |
| Netherlands | 35,353 | 41,294 | 50,675 | 66,943 | 79,169 | 93,227 | 101,716 | 118,821 | 145,331 | 166,432 |
| Netherlands Antilles | 224 | 244 | 278 | 313 | 394 | 468 | 524 | 591 | 719 | 852 |
| New Caledonia | 378 | 437 | 509 | 544 | 644 | 817 | 798 | 838 | 846 | 1,047 |
| New Zealand | 6,507 | 7,799 | 9,418 | 12,489 | 14,121 | 13,656 | 13,874 | 15,132 | 18,315 | 21,051 |
| Nicaragua | 882 | 939 | 1,000 | 1,242 | 1,727 | 1,806 | 2,098 | 2,543 | 2,431 | 1,740 |
| Niger | 427 | 457 | 574 | 611 | 702 | 894 | 1,058 | 1,250 | 1,692 | 2,215 |
| Nigeria | 11,567 | 14,026 | 16,829 | 21,140 | 32,688 | 39,763 | 48,441 | 54,157 | 60,593 | 74,798 |
| North Korea | 4,927 | 5,440 | 6,006 | 6,630 | 7,320 | 8,081 | 8,412 | 8,757 | 9,116 | 9,490 |
| Norway | 12,730 | 14,476 | 17,220 | 22,342 | 26,876 | 32,566 | 35,576 | 41,070 | 46,016 | 52,548 |
| Palestine | 177 | 204 | 295 | 368 | 577 | 579 | 680 | 700 | 728 | 846 |
| Oman | 268 | 315 | 384 | 506 | 1,724 | 2,196 | 2,681 | 2,870 | 2,871 | 3,911 |
| Pakistan | 12,191 | 12,967 | 7,656 | 8,210 | 10,819 | 13,653 | 16,009 | 18,389 | 21,654 | 23,936 |
| Palau | 9 | 10 | 11 | 12 | 13 | 15 | 16 | 17 | 19 | 21 |
| Panama | 1,147 | 1,294 | 1,422 | 1,626 | 1,859 | 2,082 | 2,211 | 2,344 | 2,779 | 3,181 |
| Papua New Guinea | 726 | 811 | 970 | 1,467 | 1,661 | 1,536 | 1,652 | 1,819 | 2,211 | 2,543 |
| Paraguay | 525 | 587 | 680 | 880 | 1,178 | 1,336 | 1,501 | 1,849 | 2,262 | 3,020 |
| Peru | 5,861 | 6,539 | 7,248 | 8,667 | 10,928 | 13,346 | 12,729 | 11,475 | 9,851 | 12,583 |
| Philippines | 7,413 | 8,209 | 8,883 | 11,172 | 15,269 | 16,502 | 18,944 | 21,770 | 25,158 | 30,471 |
| Poland | 27,665 | 30,630 | 33,866 | 40,088 | 44,981 | 47,893 | 53,394 | 59,219 | 67,066 | 75,076 |
| Portugal | 8,000 | 9,081 | 11,086 | 14,892 | 17,274 | 19,096 | 20,064 | 21,151 | 23,179 | 26,265 |
| Puerto Rico | 5,647 | 6,329 | 7,002 | 7,685 | 8,198 | 8,969 | 9,911 | 11,165 | 12,750 | 14,436 |
| Qatar | 539 | 714 | 1,030 | 1,503 | 1,935 | 2,470 | 3,206 | 3,509 | 3,932 | 5,633 |
| Romania | 12,712 | 15,081 | 17,399 | 20,272 | 21,233 | 22,874 | 25,709 | 27,790 | 32,761 | 35,353 |
| Rwanda | 241 | 289 | 326 | 404 | 530 | 639 | 712 | 834 | 1,012 | 1,239 |
| Saint Kitts and Nevis | 21 | 25 | 30 | 31 | 41 | 43 | 37 | 38 | 43 | 50 |
| Saint Lucia | 30 | 35 | 40 | 45 | 61 | 71 | 73 | 81 | 95 | 115 |
| Samoa | 40 | 48 | 56 | 74 | 83 | 83 | 76 | 87 | 96 | 109 |
| San Marino | 78 | 85 | 99 | 120 | 136 | 156 | 154 | 176 | 215 | 269 |
| Sao Tome and Principe | 38 | 38 | 42 | 56 | 58 | 61 | 52 | 50 | 55 | 66 |
| Saudi Arabia | 5,377 | 7,185 | 9,664 | 14,947 | 45,413 | 46,773 | 64,006 | 74,189 | 80,267 | 111,858 |
| Senegal | 952 | 984 | 1,190 | 1,368 | 1,543 | 2,078 | 2,107 | 2,157 | 2,403 | 2,998 |
| Seychelles | 23 | 27 | 38 | 46 | 53 | 59 | 61 | 80 | 106 | 157 |
| Sierra Leone | 451 | 480 | 529 | 604 | 695 | 743 | 690 | 787 | 1,015 | 1,170 |
| Singapore | 1,919 | 2,270 | 2,950 | 4,228 | 5,261 | 5,787 | 6,066 | 6,694 | 8,048 | 9,702 |
| Solomon Islands | 32 | 35 | 38 | 51 | 73 | 65 | 72 | 82 | 98 | 130 |
| Somalia | 341 | 347 | 448 | 484 | 573 | 757 | 871 | 441 | 500 | 514 |
| South Africa | 17,907 | 19,765 | 20,753 | 28,445 | 35,729 | 36,948 | 35,475 | 39,400 | 45,328 | 55,937 |
| South Korea | 8,936 | 9,894 | 10,794 | 13,805 | 19,397 | 21,648 | 29,774 | 38,227 | 51,539 | 66,218 |
| Soviet Union | 433,412 | 455,576 | 515,797 | 617,777 | 616,593 | 685,972 | 688,530 | 738,417 | 840,139 | 901,616 |
| Spain | 39,801 | 45,263 | 57,417 | 76,365 | 94,447 | 111,435 | 115,065 | 128,590 | 155,939 | 208,351 |
| Sri Lanka | 2,460 | 2,518 | 2,812 | 3,060 | 3,809 | 3,941 | 3,749 | 4,242 | 2,907 | 3,550 |
| St. Vincent and the Grenadines | 21 | 23 | 32 | 35 | 38 | 38 | 37 | 43 | 54 | 63 |
| Sudan | 1,234 | 1,339 | 1,659 | 2,134 | 2,600 | 3,242 | 4,043 | 4,751 | 5,112 | 5,646 |
| Suriname | 356 | 389 | 424 | 465 | 562 | 638 | 693 | 879 | 1,008 | 1,072 |
| Swaziland | 123 | 157 | 161 | 220 | 268 | 329 | 309 | 346 | 387 | 469 |
| Sweden | 35,404 | 38,633 | 45,499 | 55,213 | 61,354 | 77,036 | 83,056 | 87,801 | 97,072 | 114,679 |
| Switzerland | 22,953 | 27,583 | 33,831 | 45,496 | 52,433 | 60,111 | 62,874 | 67,152 | 93,912 | 105,563 |
| Syrian Arab Republic | 1,756 | 2,063 | 2,381 | 2,550 | 4,090 | 5,311 | 6,388 | 6,991 | 8,384 | 10,077 |
| Tanzania | 1,906 | 2,039 | 2,321 | 2,770 | 3,326 | 3,829 | 4,147 | 4,955 | 5,934 | 6,282 |
| Thailand | 7,374 | 7,676 | 8,509 | 11,280 | 14,261 | 15,489 | 17,677 | 20,585 | 24,984 | 28,483 |
| Togo | 265 | 298 | 347 | 406 | 543 | 599 | 570 | 687 | 851 | 1,016 |
| Tonga | 17 | 19 | 23 | 34 | 46 | 43 | 39 | 45 | 54 | 58 |
| Trinidad and Tobago | 822 | 897 | 1,084 | 1,309 | 2,042 | 2,443 | 2,501 | 3,139 | 3,563 | 4,603 |
| Tunisia | 1,588 | 1,859 | 2,468 | 3,012 | 3,912 | 4,775 | 4,973 | 5,637 | 6,584 | 7,930 |
| Turkey | 24,444 | 23,057 | 28,975 | 36,385 | 50,191 | 62,735 | 71,763 | 81,839 | 90,347 | 123,319 |
| Turks and Caicos Islands | 10 | 11 | 12 | 14 | 16 | 18 | 20 | 23 | 25 | 29 |
| Tuvalu | 3 | 3 | 3 | 4 | 4 | 4 | 4 | 4 | 4 | 4 |
| Uganda | 1,316 | 1,456 | 1,582 | 1,851 | 2,242 | 2,524 | 2,668 | 2,876 | 2,955 | 2,801 |
| United Arab Emirates | 1,053 | 1,443 | 2,173 | 4,213 | 11,617 | 14,721 | 19,213 | 24,872 | 23,776 | 31,226 |
| United Kingdom | 124,970 | 141,314 | 162,369 | 183,201 | 197,882 | 236,514 | 227,217 | 256,596 | 325,244 | 422,476 |
| United States | 1,024,800 | 1,113,100 | 1,225,000 | 1,369,300 | 1,485,900 | 1,623,400 | 1,809,100 | 2,013,600 | 2,276,000 | 2,543,500 |
| Uruguay | 2,538 | 3,049 | 2,450 | 3,129 | 4,334 | 3,825 | 4,007 | 4,488 | 5,377 | 7,698 |
| Vanuatu | 38 | 41 | 55 | 67 | 67 | 81 | 78 | 82 | 100 | 132 |
| Venezuela | 13,830 | 15,190 | 16,730 | 19,926 | 30,530 | 32,125 | 36,751 | 42,355 | 45,987 | 56,508 |
| Vietnam | 2,775 | 3,024 | 3,237 | 3,350 | 3,605 | 3,896 | 4,541 | 5,413 | 6,532 | 7,140 |
| North Yemen | 398 | 471 | 687 | 624 | 759 | 927 | 1,021 | 1,178 | 1,305 | 1,444 |
| South Yemen | 154 | 142 | 159 | 130 | 138 | 141 | 183 | 226 | 272 | 293 |
| Yugoslavia | 14,554 | 15,802 | 16,485 | 21,472 | 29,706 | 33,279 | 37,563 | 45,673 | 54,338 | 68,198 |
| Zambia | 1,544 | 1,574 | 1,852 | 2,350 | 2,895 | 2,658 | 2,814 | 2,767 | 3,098 | 3,827 |
| Zimbabwe | 2,023 | 2,339 | 2,888 | 3,552 | 4,274 | 4,692 | 4,637 | 4,683 | 4,686 | 5,559 |
