# List of Brazilian federative units by gross domestic product
> Listings

| Federative unit | population in millions † | # | GDP in BRL million | GDP in USD million | Share | Comparable country | # | GDP Per capita in BRL | GDP Per capita in USD | Comparable country |
| Rio Grande do Norte | 3.4 | 7001180000000000000♠ 18 | 7004395440000000000♠ 39,544 | 7004202370000000000♠ 20,237 | 6999900000000000000♠ 0.9% | Afghanistan | 7001200000000000000♠ 20 | 7004122490000000000♠ 12,249 | 7003626900000000000♠ 6,269 | Turkmenistan |
| Paraíba | 3.9 | 7001190000000000000♠ 19 | 7004387310000000000♠ 38,731 | 7004198210000000000♠ 19,821 | 6999900000000000000♠ 0.9% | Afghanistan | 7001240000000000000♠ 24 | 7004101520000000000♠ 10,152 | 7003519500000000000♠ 5,195 | Iran |
| Pernambuco | 9.2 | 7001100000000000000♠ 10 | 7005117340000000000♠ 117,340 | 7004600510000000000♠ 60,051 | 7000270000000000000♠ 2.7% | Dominican Republic | 7001180000000000000♠ 18 | 7004131380000000000♠ 13,138 | 7003672400000000000♠ 6,724 | Belarus |
| Alagoas | 3.3 | 7001200000000000000♠ 20 | 7004295450000000000♠ 29,545 | 7004151200000000000♠ 15,120 | 6999700000000000000♠ 0.7% | Papua New Guinea | 7001250000000000000♠ 25 | 7003933300000000000♠ 9,333 | 7003477600000000000♠ 4,776 | Macedonia |
| Sergipe | 2.2 | 7001220000000000000♠ 22 | 7004278230000000000♠ 27,823 | 7004142390000000000♠ 14,239 | 6999600000000000000♠ 0.6% | Cambodia | 7001170000000000000♠ 17 | 7004131810000000000♠ 13,181 | 7003674600000000000♠ 6,746 | Belarus |
| Bahia | 15.1 | 7000800000000000000♠ 8 | 7005167727000000000♠ 167,727 | 7004858380000000000♠ 85,838 | 7000380000000000000♠ 3.8% | Ecuador | 7001210000000000000♠ 21 | 7004118320000000000♠ 11,832 | 7003605500000000000♠ 6,055 | Namibia |
| Southeast Region [†] | 80.7 | — | 7006242400500000000♠ 2,424,005 | 7006124053500000000♠ 1,240,535 | 7001552000000000000♠ 55.2% | South Korea | — | 7004297180000000000♠ 29,718 | 7004152090000000000♠ 15,209 | Barbados |
| Minas Gerais | 20.7 | 7000300000000000000♠ 3 | 7005403551000000000♠ 403,551 | 7005206526000000000♠ 206,526 | 7000920000000099999♠ 9.2% | Algeria | 7001100000000000000♠ 10 | 7004203250000000000♠ 20,325 | 7004104020000000000♠ 10,402 | Malaysia |
| Espírito Santo | 3.9 | 7001110000000000000♠ 11 | 7005107329000000000♠ 107,329 | 7004549280000000000♠ 54,928 | 7000240000000000000♠ 2.4% | Luxembourg | 7000400000000000000♠ 4 | 7004299960000000000♠ 29,996 | 7004153510000000000♠ 15,351 | Chile |
| Rio de Janeiro | 16.5 | 7000200000000000000♠ 2 | 7005504221000000000♠ 504,221 | 7005258046000000000♠ 258,046 | 7001115000000000000♠ 11.5% | Israel | 7000300000000000000♠ 3 | 7004310650000000000♠ 31,065 | 7004158980000000000♠ 15,898 | Chile |
| São Paulo | 44.0 | 7000100000000000000♠ 1 | 7006140890400000000♠ 1,408,904 | 7005721036000000000♠ 721,036 | 7001321000000000000♠ 32.1% | Saudi Arabia | 7000200000000000000♠ 2 | 7004336240000000000♠ 33,624 | 7004172080000000000♠ 17,208 | Estonia |
| South Region [†] | 27.3 | — | 7005710860000000000♠ 710,860 | 7005363797000000000♠ 363,797 | 7001162000000000000♠ 16.2% | Thailand | — | 7004256340000000000♠ 25,634 | 7004131190000000000♠ 13,119 | Croatia |
| Paraná | 11.1 | 7000500000000000000♠ 5 | 7005255927000000000♠ 255,927 | 7005130976000000000♠ 130,976 | 7000580000000000000♠ 5.8% | Hungary | 7000800000000000000♠ 8 | 7004241950000000000♠ 24,195 | 7004123820000000000♠ 12,382 | Seychelles |
| Santa Catarina | 6.7 | 7000600000000000000♠ 6 | 7005177276000000000♠ 177,276 | 7004907250000000000♠ 90,725 | 7000400000000000000♠ 4% | Slovakia | 7000500000000000000♠ 5 | 7004277720000000000♠ 27,772 | 7004142130000000000♠ 14,213 | Lithuania |
| Rio Grande do Sul | 11.2 | 7000400000000000000♠ 4 | 7005277658000000000♠ 277,658 | 7005142097000000000♠ 142,097 | 7000630000000000000♠ 6.3% | Bangladesh | 7000700000000000000♠ 7 | 7004257790000000000♠ 25,779 | 7004131930000000000♠ 13,193 | Palau |
| Central-West Region [†] | 13.6 | — | 7005430463000000000♠ 430,463 | 7005220298000000000♠ 220,298 | 7000980000000000000♠ 9.8% | Ireland | — | 7004298440000000000♠ 29,844 | 7004152730000000000♠ 15,273 | Chile |
| Mato Grosso do Sul | 2.6 | 7001170000000000000♠ 17 | 7004544710000000000♠ 54,471 | 7004278770000000000♠ 27,877 | 7000120000000000000♠ 1.2% | Ivory Coast | 7000900000000000000♠ 9 | 7004217440000000000♠ 21,744 | 7004111280000000000♠ 11,128 | Brazil |
| Mato Grosso | 3.2 | 7001140000000000000♠ 14 | 7004808300000000000♠ 80,830 | 7004413660000000000♠ 41,366 | 7000180000000000000♠ 1.8% | Ghana | 7000600000000000000♠ 6 | 7004259460000000000♠ 25,946 | 7004132780000000000♠ 13,278 | Palau |
| Goiás | 6.5 | 7000900000000000000♠ 9 | 7005123926000000000♠ 123,926 | 7004634220000000000♠ 63,422 | 7000280000000099999♠ 2.8% | Belarus | 7001110000000000000♠ 11 | 7004201340000000000♠ 20,134 | 7004103040000000000♠ 10,304 | Malaysia |
| Distrito Federal | 2.9 | 7000700000000000000♠ 7 | 7005171236000000000♠ 171,236 | 7004876340000000000♠ 87,634 | 7000390000000000000♠ 3.9% | Ecuador | 7000100000000000000♠ 1 | 7004646530000000000♠ 64,653 | 7004330880000000000♠ 33,088 | Israel |
| Total | 202.5 | — | 7006439209400000000♠ 4,392,094 | 7006224774500000000♠ 2,247,745 | 7002100000000000000♠ 100% | Brazil | — | 7004226460000000000♠ 22,646 | 7004115900000000000♠ 11,590 | Brazil |
