# List of Sailor Moon episodes
> Episode list

| No. | Original Japanese [8] and Viz [9] titles | Director | Writer | Art director(s) | Animation director(s) | Original airdate |
| 182 | "Invaders from Outer Space: The Coming of Siren" "Uchū kara no shinryaku! Seirēn hirai" (宇宙からの侵略!セイレーン飛来) | Noriyo Sasaki | Ryōta Yamaguchi | Kazuhisa Asai | Shigetaka Kiyoyama | August 3, 1996 |
| 183 | "The Screaming Dead: Terror of the Camp Monster" "Shiryō no sakebi? Kyōfu kyampu no kaijin" (死霊の叫び!?恐怖キャンプの怪人) | Hiroki Shibata | Kazuhiko Kanbe | Kenichi Tajiri | Yoshihiro Kitano | August 10, 1996 |
| 184 | "A Night Alone Together: Usagi in Danger" "Futarikiri no yoru! Usagi no pinchi" (ふたりきりの夜!うさぎのピンチ) | Harume Kosaka | Ryōta Yamaguchi | Hidekazu Nakanishi | Minako Itō | August 17, 1996 |
| 185 | "Taiki's Song Filled With Passion and Faith" "Taiki zesshō! Shinjiru kokoro wo uta ni komete" (大気絶唱!信じる心を歌にこめて) | Yuji Endo | Atsushi Maekawa | Kenichi Tajiri | Katsumi Tamegai | August 31, 1996 |
| 186 | "Chibi-Chibi's Mystery: The Big Noisy Chase" "Chibichibi no nazo! Osawagase daitsuiseki" (ちびちびの謎!おさわがせ大追跡) | Masahiro Hosoda | Genki Yoshimura | Kazuyuki Hashimoto | Michiaki Sugimoto | September 7, 1996 |
| 187 | "The Shining Power of a Star: Chibi-Chibi's Transformation" "Kagayaku hoshi no pawā! Chibichibi no henshin" (輝く星のパワー!ちびちびの変身) | Takuya Igarashi | Ryōta Yamaguchi | Kenichi Tajiri | Miho Shimogasa | September 14, 1996 |
| 188 | "Invitation to Terror: Usagi's Night Flight" "Kyōfu e no shōtai! Usagi no yakan hikō" (恐怖への招待!うさぎの夜間飛行) | Noriyo Sasaki | Kazuhiko Kanbe | Hidekazu Nakanishi | Shigetaka Kiyoyama | October 12, 1996 |
| 189 | "Duty or Friendship: Conflict Between the Sailor Guardians" "Shimei to yūjō no hazama! Sērā Senshi-tachi no tairitsu" (使命と友情の間!S戦士達の対立) | Harume Kosaka | Genki Yoshimura | Kazuhisa Asai | Minako Itō | October 19, 1996 |
| 190 | "Truth Revealed: The Star Lights' Past" "Akasareta shinjitsu! Seiya-tachi no kako" (明かされた真実!セイヤ達の過去) | Hiroki Shibata | Atsushi Maekawa | Kenichi Tajiri | Katsumi Tamegai | October 26, 1996 |
| 191 | "Butterflies of Light: A New Chapter On the Horizon" "Hikari no chō ga mau toki! Atarashī nami no yokan" (光の蝶が舞う時!新しい波の予感) | Masahiro Hosoda | Ryōta Yamaguchi | Kazuyuki Hashimoto | Michiaki Sugimoto | November 9, 1996 |
| 192 | "Go for Your Dream: Minako Becomes an Idol" "Yume icchokusen! Aidoru Minako no tanjō!?" (夢一直線!アイドル美奈子の誕生) | Yuji Endo | Kazuhiko Kanbe | Hidekazu Nakanishi | Shigetaka Kiyoyama | November 16, 1996 |
| 193 | "The Stolen Silver Crystal: Princess Kakyu Appears" "Ubawareta ginzuishō! Kakyū Purinsesu shutsugen" (うばわれた銀水晶!火球皇女出現) | Takuya Igarashi | Ryōta Yamaguchi | Kazuhisa Asai | Miho Shimogasa | November 30, 1996 |
| 194 | "Crusade for the Galaxy: Legend of the Sailor Wars" "Ginga no seisen! Sērā Wōzu densetsu" (銀河の聖戦 セーラーウォーズ伝説) | Noriyo Sasaki | Ryōta Yamaguchi | Kazuhisa Asai | Yoshihiro Kitano | December 7, 1996 |
| 195 | "Princess Kakyu Perishes: Advent of Galaxia" "Kakyū Purinsesu shōmetsu! Gyarakushia kōrin" (火球皇女消滅!ギャラクシア降臨) | Masahiro Hosoda | Kazuhiko Kanbe | Hidekazu Nakanishi | Michiaki Sugimoto | December 14, 1996 |
| 196 | "Countdown to Destruction: The Sailor Guardians' Final Battle" "Ginga horobiru toki! Sērā Senshi saigo no tatakai" (銀河滅びる時!S戦士最後の戦い) | Harume Kosaka | Genki Yoshimura | Kazuhisa Asai | Minako Itō | January 11, 1997 |
| 197 | "Ruler of the Galaxy: the Menace of Galaxia" "Ginga no shihaisha! Gyarakushia no kyōi" (銀河の支配者! ギャラクシアの脅威) | Hiroki Shibata | Ryōta Yamaguchi | Kazuyuki Hashimoto | Shigetaka Kiyoyama | January 18, 1997 |
| 198 | "Dying Stars: The End Of Uranus and Neptune" "Kieyuku hoshiboshi! Uranusu-tachi no saigo" (消えゆく星々!ウラヌス達の最期) | Junichi Sato | Atsushi Maekawa | Yoshiyuki Shikano | Yoshihiro Kitano | January 25, 1997 |
| 199 | "The Light of Hope: the Final Battle for the Galaxy" "Kibō no Hikari! Ginga wo kaketa saishū kessen" (希望の光!銀河をかけた最終決戦) | Masahiro Hosoda | Ryōta Yamaguchi | Kazuhisa Asai | Michiaki Sugimoto | February 1, 1997 |
| 200 | "Usagi's Love: The Moonlight Illuminates the Galaxy" "Usagi no ai! Gekkō ginga wo terasu" (うさぎの愛!月光銀河を照らす) | Takuya Igarashi | Ryōta Yamaguchi | Kazuyuki Hashimoto | Katsumi Tamegai | February 8, 1997 |
