# 1988 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality [n 1] | Team | School/club team |
| 1 | 25 | Rivers, David David Rivers | PG | United States | Los Angeles Lakers | Notre Dame (Sr.) |
| 2 | 26 | Ferreira, Rolando Rolando Ferreira | C | Brazil | Portland Trail Blazers | Houston (Sr.) |
| 2 | 27 | Jones, Shelton Shelton Jones | F | United States | San Antonio Spurs | St. John's (Sr.) |
| 2 | 28 | Lang, Andrew Andrew Lang | C | United States | Phoenix Suns | Arkansas (Sr.) |
| 2 | 29 | Del Negro, Vinny Vinny Del Negro | SG | United States | Sacramento Kings | NC State (Sr.) |
| 2 | 30 | Dembo, Fennis Fennis Dembo | PF | United States | Detroit Pistons | Wyoming (Sr.) |
| 2 | 31 | Stephens, Everette Everette Stephens | G | United States | Philadelphia 76ers | Purdue (Sr.) |
| 2 | 32 | Shackleford, Charles Charles Shackleford | F/C | United States | New Jersey Nets | NC State (Sr.) |
| 2 | 33 | Long, Grant Grant Long | F | United States | Miami Heat | Eastern Michigan (Sr.) |
| 2 | 34 | Tolbert, Tom Tom Tolbert | F/C | United States | Charlotte Hornets | Arizona (Sr.) |
| 2 | 35 | Gray, Sylvester Sylvester Gray | F | United States | Miami Heat (from New York via Chicago , Seattle , and Boston ) [b] | Memphis State (So.) |
| 2 | 36 | Eackles, Ledell Ledell Eackles | G/F | United States | Washington Bullets | New Orleans (Sr.) |
| 2 | 37 | Butler, Greg Greg Butler | C | United States | New York Knicks | Stanford (Sr.) |
| 2 | 38 | Garrett, Dean Dean Garrett | C | United States | Phoenix Suns (from Cleveland ) | Indiana (Sr.) |
| 2 | 39 | Horford, Tito Tito Horford | C | Dominican Republic | Milwaukee Bucks | Miami (FL) (So.) |
| 2 | 40 | Graham, Orlando Orlando Graham | F | United States | Miami Heat (from Seattle ) [c] | Auburn-Montgomery (Sr.) |
| 2 | 41 | Smart, Keith Keith Smart | G | United States | Golden State Warriors | Indiana (Sr.) |
| 2 | 42 | Moe, Jeff Jeff Moe # | SG | United States | Utah Jazz | Iowa (Sr.) |
| 2 | 43 | Mitchell, Todd Todd Mitchell | F | United States | Denver Nuggets | Purdue (Sr.) |
| 2 | 44 | Taylor, Anthony Anthony Taylor | G | United States | Atlanta Hawks | Oregon (Sr) |
| 2 | 45 | Garrick, Tom Tom Garrick | G | United States | Los Angeles Clippers | Rhode Island (Sr.) |
| 2 | 46 | Wiley, Morlon Morlon Wiley | G | United States | Dallas Mavericks | Long Beach State (Sr.) |
| 2 | 47 | Maxwell, Vernon Vernon Maxwell | SG | United States | Denver Nuggets | Florida (Sr.) |
| 2 | 48 | Williams, Micheal Micheal Williams | G | United States | Detroit Pistons | Baylor (Sr.) |
| 2 | 49 | Vargas, José José Vargas # | C/PF | Dominican Republic | Dallas Mavericks | LSU (Sr.) |
| 2 | 50 | Kerr, Steve Steve Kerr | PG | United States | Phoenix Suns | Arizona (Sr.) |
| 3 | 51 | Lock, Rob Rob Lock | F | United States | Los Angeles Clippers | Kentucky (Sr.) |
| 3 | 52 | Hamilton, Derrick Derrick Hamilton # | SF | United States | New Jersey Nets | Southern Miss (Sr.) |
| 3 | 53 | Mason, Anthony Anthony Mason * | SF/PF | United States | Portland Trail Blazers (from Golden State ) | Tennessee State (Sr.) |
| 3 | 54 | González, Jorge Jorge González # | C | Argentina | Atlanta Hawks (from Sacramento ) | Sport Club de Cañada de Gómez ( Argentina ) 1966 |
| 3 | 55 | Johns, Rodney Rodney Johns # | PG | United States | Phoenix Suns | Grand Canyon (Sr.) |
| 3 | 56 | Sumpter, Barry Barry Sumpter | F/C | United States | San Antonio Spurs | Austin Peay (Sr.) |
| 3 | 57 | Montenegro, Hernán Hernán Montenegro # | PF/C | Argentina | Philadelphia 76ers | LSU (Sr.) |
| 3 | 58 | Moore, Jeff Jeff Moore # | PF | United States | Charlotte Hornets | Auburn (Sr.) |
| 3 | 59 | Johnston, Nate Nate Johnston | F | United States | Miami Heat | Tampa (Sr.) |
| 3 | 60 | Ed Davender , Ed Ed Ed Davender # | PG | United States | Washington Bullets | Kentucky (Sr.) |
| 3 | 61 | Crook, Herbert Herbert Crook # | SF/SG | United States | Indiana Pacers | Louisville (Sr.) |
| 3 | 62 | Lewis, Derrick Derrick Lewis # | PF | United States | Chicago Bulls (from New York ) | Maryland (Sr.) |
| 3 | 63 | Jones, Mike Mike Jones # | PF | United States | Milwaukee Bucks | Auburn (Sr.) |
| 3 | 64 | Bennett, Winston Winston Bennett | F | United States | Cleveland Cavaliers | Kentucky (Sr.) |
| 3 | 65 | Gaines, Corey Corey Gaines | G | United States | Seattle SuperSonics | Loyola Marymount (Sr.) |
| 3 | 66 | Boyd, Dwight Dwight Boyd # | SG | United States | Denver Nuggets (from Houston ) | Memphis State (Sr.) |
| 3 | 67 | Grace, Ricky Ricky Grace | G | Australia | Utah Jazz | Oklahoma (Sr.) |
| 3 | 68 | Middleton, Darryl Darryl Middleton # | PF | United States | Atlanta Hawks | Baylor (Sr.) |
| 3 | 69 | Stinnie, Phil Phil Stinnie # | PF | United States | New York Knicks (from Chicago ) | VCU (Sr.) |
| 3 | 70 | Johnson, Jerry Jerry Johnson # | PG | United States | Dallas Mavericks | Florida Southern (Sr.) |
| 3 | 71 | Neal, Craig Craig Neal | G | United States | Portland Trail Blazers | Georgia Tech (Sr.) |
| 3 | 72 | Johnson, Lee Lee Johnson # | PF | United States | Detroit Pistons | Norfolk State (Sr.) |
| 3 | 73 | Anderson, Michael Michael Anderson | G | United States | Indiana Pacers (from Denver via L.A. Clippers ) | Drexel (Sr.) |
| 3 | 74 | Paddio, Gerald Gerald Paddio | F/G | United States | Boston Celtics | UNLV (Sr.) |
| 3 | 75 | Marshall, Archie Archie Marshall # | SF | United States | San Antonio Spurs (from L.A. Lakers ) | Kansas (Sr.) |
