# Demographics of Bulgaria
> Vital statistics

|  | Average population (x 1000) | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Fertility rates |
| 1969 | 8 434 | 143 060 | 80 183 | 62 877 | 17.0 | 9.5 | 7.5 | 2,27 |
| 1970 | 8 490 | 138 745 | 77 095 | 61 650 | 16.3 | 9.1 | 7.3 | 2,17 |
| 1971 | 8 536 | 135 422 | 82 805 | 52 617 | 15.9 | 9.7 | 6.2 | 2,10 |
| 1972 | 8 576 | 131 316 | 84 174 | 47 142 | 15.3 | 9.8 | 5.5 | 2,03 |
| 1973 | 8 621 | 139 713 | 81 470 | 58 243 | 16.2 | 9.5 | 6.8 | 2,15 |
| 1974 | 8 679 | 149 196 | 85 239 | 63 957 | 17.2 | 9.8 | 7.4 | 2,29 |
| 1975 | 8 721 | 144 668 | 89 974 | 54 694 | 16.6 | 10.3 | 6.3 | 2,23 |
| 1976 | 8 759 | 144 929 | 88 348 | 56 581 | 16.5 | 10.1 | 6.5 | 2,24 |
| 1977 | 8 804 | 141 702 | 94 362 | 47 340 | 16.1 | 10.7 | 5.4 | 2,20 |
| 1978 | 8 814 | 136 442 | 92 445 | 43 997 | 15.5 | 10.5 | 5.0 | 2,15 |
| 1979 | 8 826 | 135 358 | 94 403 | 40 955 | 15.3 | 10.7 | 4.6 | 2,11 |
| 1980 | 8 862 | 128 190 | 97 950 | 30 240 | 14.5 | 11.1 | 3.4 | 2,05 |
| 1981 | 8 891 | 124 372 | 95 441 | 28 931 | 14.0 | 10.7 | 3.3 | 1,99 |
| 1982 | 8 917 | 124 166 | 100 293 | 23 873 | 13.9 | 11.2 | 2.7 | 2,02 |
| 1983 | 8 940 | 122 993 | 102 182 | 20 811 | 13.8 | 11.4 | 2.3 | 2,00 |
| 1984 | 8 961 | 122 303 | 101 419 | 20 884 | 13.6 | 11.3 | 2.3 | 1,97 |
| 1985 | 8 960 | 118 955 | 107 485 | 11 470 | 13.3 | 12.0 | 1.3 | 1,95 |
| 1986 | 8 958 | 120 078 | 104 039 | 16 039 | 13.4 | 11.6 | 1.8 | 2,00 |
| 1987 | 8 971 | 116 672 | 107 213 | 9 459 | 13.0 | 12.0 | 1.0 | 1,96 |
| 1988 | 8 981 | 117 440 | 107 385 | 10 055 | 13.1 | 12.0 | 1.1 | 1,97 |
| 1989 | 8 877 | 112 289 | 106 902 | 5 387 | 12.6 | 12.0 | 0.6 | 1,90 |
| 1990 | 8 718 | 105 180 | 108 608 | -3 428 | 12.1 | 12.5 | -0.4 | 1,81 |
| 1991 | 8 632 | 95 910 | 110 423 | -14 513 | 11.1 | 12.8 | -1.7 | 1,65 |
| 1992 | 8 540 | 89 134 | 107 998 | -18 864 | 10.4 | 12.6 | -2.2 | 1,54 |
| 1993 | 8 472 | 84 400 | 109 540 | -25 140 | 10.0 | 12.9 | -2.9 | 1,45 |
| 1994 | 8 444 | 79 442 | 111 787 | -32 345 | 9.4 | 13.2 | -3.8 | 1,37 |
| 1995 | 8 406 | 71 967 | 114 670 | -42 703 | 8.6 | 13.6 | -5.0 | 1,23 |
| 1996 | 8 363 | 72 188 | 117 056 | -44 868 | 8.6 | 14.0 | -5.4 | 1,24 |
| 1997 | 8 312 | 64 125 | 121 861 | -57 736 | 7.7 | 14.7 | -7.0 | 1,09 |
| 1998 | 8 257 | 65 361 | 118 190 | -52 829 | 7.9 | 14.3 | -6.4 | 1,11 |
| 1999 | 8 211 | 72 291 | 111 786 | -39 495 | 8.8 | 13.6 | -4.8 | 1,23 |
| 2000 | 8 170 | 73 679 | 115 087 | -41 408 | 9.0 | 14.1 | -5.1 | 1,26 |
| 2001 | 7 910 | 68 180 | 112 368 | -44 188 | 8.6 | 14.2 | -5.6 | 1,22 |
| 2002 | 7 849 | 66 499 | 112 617 | -46 118 | 8.5 | 14.3 | -5.8 | 1,21 |
| 2003 | 7 786 | 67 359 | 111 927 | -44 568 | 8.6 | 14.3 | -5.7 | 1,23 |
| 2004 | 7 781 | 69 886 | 110 110 | -40 224 | 9.0 | 14.2 | -5.2 | 1,29 |
| 2005 | 7 740 | 71 075 | 113 374 | -42 299 | 9.2 | 14.6 | -5.4 | 1,31 |
| 2006 | 7 699 | 73 978 | 113 438 | -39 460 | 9.6 | 14.7 | -5.1 | 1,38 |
| 2007 | 7 660 | 75 349 | 113 004 | -37 655 | 9.8 | 14.8 | -5.0 | 1,42 |
| 2008 | 7 623 | 77 712 | 110 523 | -32 811 | 10.2 | 14.5 | -4.3 | 1,48 |
| 2009 | 7 585 | 80 956 | 108 068 | -27 112 | 10.7 | 14.2 | -3.5 | 1,57 |
| 2010 | 7 534 | 75 513 | 110 165 | -34 652 | 10.0 | 14.6 | -4.6 | 1,49 |
| 2011 | 7 348 | 70 846 | 108 258 | -37 412 | 9.6 | 14.7 | -5.1 | 1,51 |
| 2012 | 7 305 | 69 678 | 109 281 | -39 603 | 9.5 | 15.0 | -5.4 | 1,50 |
| 2013 | 7 246 | 66 578 | 104 345 | -37 767 | 9.2 | 14.4 | -5.2 | 1,48 |
| 2014 | 7 202 | 67 585 | 108 952 | -41 367 | 9.4 | 15.1 | -5.7 | 1,52 |
| 2015 [3] | 7 154 | 65 950 | 110 117 | -44 167 | 9.2 | 15.3 | -6.1 | 1,53 |
