# List of Dragon Ball Z episodes
> Episode list

| Ep# | Initial dub ep# | Translated title/Original dub title [Funimation's dub title] Japanese title | Japanese airdate | English airdate |
| 49 | 37 | "Dodoria Dies by Explosion! Vegeta's Fearsome Shockwave" / "Secrets Revealed" [The Prince Fights Back] "Bakushi Dodoria! Bejīta no Osoru Beki Shōgekiha" (爆死ドドリア！ベジータの恐るべき衝撃波) | May 23, 1990 | October 18, 1997 September 6, 2005 (re-dub) |
| 50 | 38 | "Escape From a Burning Planet!! A Life-or-Death Kamehame-Ha" / "A Collision Course" [Unexpected Problem] "Moeru Wakusei kara no Dasshutsu!! Inochigake no Kamehameha" (燃える惑星からの脱出!!命がけのカメハメ波) | May 30, 1990 | October 18, 1997 September 7, 2005 (re-dub) |
| 51 | 39 | "Courage Times One Hundred! The Warriors Gathered Under Kaio" / "Stay Away From Frieza" [Vegeta has a Ball] "Yūki Hyakubai! Kaiō no Moto ni Shūketsu Suru Senshitachi" (勇気百倍！界王の下に集結する戦士たち) | June 6, 1990 | October 25, 1997 September 12, 2005 (re-dub) |
| 52 | 39 | "Listen to Me, Goku! Hands Off Freeza" / "Stay Away From Frieza" [The Past and Future] "Kike Gokū yo! Furīza ni wa Te o Dasu na" (聞け悟空よ！フリーザには手を出すな) | June 20, 1990 | October 25, 1997 September 13, 2005 (re-dub) |
| 53 | 40 | "Nothing but Goosebumps! The Handsome Warrior Zarbon's Devilish Transformation" / "Zarbon Transformed" [Zarbon's Surprise] "Hotondo Torihada! Bisenshi Zābon no Akuma no Henshin" (ほとんど鳥肌！美戦士ザーボンの悪魔の変身) | June 27, 1990 | October 25, 1997 September 14, 2005 (re-dub) |
| 54 | 41 | "Defend the Star of Hope!! Kuririn's Astonishing Power-Up" / "The Eldest Namek" [Guru's Gift] "Kibō no Hoshi o Mamore!! Kuririn Kyōi no Pawā Appu" (希望の星を守れ!!クリリン驚異のパワーUP) | July 4, 1990 | November 1, 1997 September 15, 2005 (re-dub) |
| 55 | 42 | "Back from the Brink of Death — The Miracle Man, Vegeta" / "Get Vegeta!" [Piccolo vs. Everyone] "Shi no Fuchi kara Yomigaetta — Kiseki no Otoko - Bejīta" (死の淵からよみがえった奇跡の男・ベジータ) | July 18, 1990 | November 1, 1997 September 19, 2005 (re-dub) |
| 56 | 43 | "An Enormous Battle Power!! Freeza's Scheme is Shattered" / "Vegeta Revived" [Zarbon's Mission] "Dodekai Sentōryoku!! Kudakechiru Furīza no Inbō" (どでかい戦闘力!!砕け散るフリーザの陰謀) | August 1, 1990 | November 8, 1997 September 20, 2005 (re-dub) |
| 57 | 44 | "I'm Back to My Old Self Again!! Goku Under 100-Times Super-Gravity" / "A Heavy Burden" [Gohan, the Hunted] "Genki ga Modotta zo!! Hyakubai Chōjūryoku no Naka no Gokū" (元気が戻ったぞ!!100倍超重力の中の悟空) | August 8, 1990 | November 8, 1997 September 21, 2005 (re-dub) |
| 58 | 45 | "Freeza's Secret Weapon! The Devilish Ginyu Special Corps" / "Immortality Denied" [Unknown Enemies] "Furīza no Himitsu Heiki! Akuma no Ginyū Tokusentai" (フリーザの秘密兵器！悪魔のギニュー特戦隊) | August 22, 1990 | November 15, 1997 September 22, 2005 (re-dub) |
| NA | 46 | "The Decisive Battle for the Entire Earth" / "The Tree of Might: Part 1" "Chikyū Marugoto Chōkessen" (地球まるごと超決戦) | NA | November 15, 1997 |
| NA | 47 | "The Decisive Battle for the Entire Earth" / "The Tree of Might: Part 2" "Chikyū Marugoto Chōkessen" (地球まるごと超決戦) | NA | November 22, 1997 |
| NA | 48 | "The Decisive Battle for the Entire Earth" / "The Tree of Might: Part 3" "Chikyū Marugoto Chōkessen" (地球まるごと超決戦) | NA | November 22, 1997 |
| 59 | 46/49 | "Watch Out, Bulma!! The Si Xing Qiu Falls into Freeza's Clutches" / "Big Trouble for Bulma" [Destination: Guru] "Buruma ga Abunai!! Sūshinchū wa Furīza no Te ni" (ブルマが危ない!!四星球はフリーザの手に) | August 29, 1990 | January 31, 1998 September 26, 2005 (re-dub) |
| 60 | 47/50 | "Charge!! The Kaio-ken and Kamehame-Ha of an Indomitable Spirit" / "Scramble for the Dragon Balls!" [Bulma's Big Day] "Gekitotsu da!! Fukutsu no Tōshi no Kaiōken to Kamehameha" (激突だ!!不屈の闘志の界王拳とカメハメ波) | September 5, 1990 | February 7, 1998 September 27, 2005 (re-dub) |
| 61 | 48/51 | "The Great Battle Approaches! Ginyu's Special Corps Takes the Stage!!" / "Arrival of the Ginyu Force" [Hidden Power] "Semaru Chō-Kessen! Ginyū Tokusentai Tadaima Sanjō!!" (激突だ!!不屈の闘志の界王拳とカメハメ波!!) | September 12, 1990 | February 7, 1998 September 28, 2005 (re-dub) |
| 62 | 49/52 | "Goku on Final Approach! Smash Through Freeza's Dragnet" / "Elite Fighters of the Universe... The Ginyu Force" [New Ally, New Problem] "Gokū ga Daisekkin! Furīza no Hōimō o Buchiyabure" (悟空が大接近！フリーザの包囲網をぶち破れ) | September 19, 1990 | February 14, 1998 September 29, 2005 (re-dub) |
| 63 | 50/53 | "Super-Magic or Just a Trick!? Mr. Ghurd is Angry!" / "Time Tricks and Body Binds" [Guldo's Mind Binds] "Chōmajutsu ka Torikku ka!? Misutā Gurudo ga Okotta zo!" (超魔術かトリックか!?MR.グルドが怒ったぞ！) | September 26, 1990 | February 14, 1998 October 3, 2005 (re-dub) |
| 64 | 51/54 | "The Savage ReaCoom!! He's Bad, He's Strong, He's Outrageous" / "No Refuge From Recoome" [Recoome Unleashed] "Mōi Rikūmu!! Warukute Tsuyokute Tondemonai Yatsu" (猛攻リクーム!!悪くて強くてとんでもない奴) | October 24, 1990 | May 16, 1998 October 4, 2005 (re-dub) |
| 65 | 52/55 | "Don't Die, Gohan! Goku Finally Touches Down on the Battlefield" / "Enter Goku" [Let the Battle Begin] "Shinu na Gohan! Gokū, Tsui ni Kessenjō ni Tōchaku Da" (死ぬな悟飯！悟空、ついに決戦場に到着だ) | October 31, 1990 | May 23, 1998 October 5, 2005 (re-dub) |
| 66 | 53/56 | "Uncommon Strength!! Son Goku, the Legendary Super Saiyan" / "Goku... Super Saiyan?" [Goku's New Power] "Ketahazure no Tsuyosa!! Densetsu no Sūpā Saiyajin Son Gokū" (ケタ外れの強さ!!伝説の超サイヤ人孫悟空) | November 7, 1990 | May 23, 1998 October 6, 2005 (re-dub) |
| 67 | 53/56 | "Lightning Balls of Red and Blue! Jheese and Butta Attack Goku" / "Goku... Super Saiyan?" [A Legend Revealed] "Aka to Ao no Raitoningu Bōru! Jīsu to Bāta ga Gokū o Osō" (赤と青の光球！ジースとバータが悟空を襲う) | November 14, 1990 | May 23, 1998 October 10, 2005 (re-dub) |
| 68 | 54 | "At Last, a Direct Confrontation!! Captain Ginyu Takes the Field" / "Ginyu Assault" "Tsui ni Chokusetsu Taiketsu!! Ginyū Taichō no Odemashi Da" (ついに直接対決!!ギニュー隊長のおでましだ) | November 21, 1990 | September 13, 1999 |
| 69 | 55 | "Incredible Force!! Did You See Goku's Full Power?" / "Incredible Force!" "Susamajii Hakuryoku!! Mita ka, Gokū no Furu Pawā" (凄まじい迫力!!見たか、悟空のフルパワー) | November 28, 1990 | September 13, 1999 |
| 70 | 56 | "What of the Battle's Outcome!? Freeza's Evil Hand Closes Around the Grand Elder" / "Frieza Approaches" "Tatakai no Yukue!? Saichōrō ni Semaru Furīza no Ma no Te" (闘いの行方!?最長老に迫るフリーザの魔の手) | December 5, 1990 | September 14, 1999 |
| 71 | 57 | "Surprise!! Goku is Ginyu and Ginyu is Goku" / "Goku is Ginyu and Ginyu is Goku" "Bikkuri!! Gokū ga Ginyū de Ginyū ga Gokū" (ビックリ!!悟空がギニューでギニューが悟空) | December 12, 1990 | September 15, 1999 |
| 72 | 58 | "Come Forth, Super Shen Long!! Grant Me My Wish" / "Calling the Eternal Dragon" "Ide yo Sūpā Shenron!! Boku no Negai o Kanaetamae" (出でよ超神龍!!ボクの願いをかなえたまえ) | December 19, 1990 | September 16, 1999 |
| 73 | 59 | "That Ain't Me! Gohan, Don't Lose Your Nerve, Hit Your Father!!" / "Gohan- Defeat Your Dad!" "Yatsu wa Ora ja Nē! Gohan Bibiru na Chichi o Ute!!" (奴はオラじゃネェ！悟飯びびるな父を撃て!!) | January 9, 1991 | September 17, 1999 |
| 74 | 60 | "Whoops!! Ginyu Has Turned Into a Frog" / "Captain Ginyu... The Frog" "Daigosan!! Ginyū ga Kaeru ni Natchatta" (大誤算!!ギニューがカエルになっちゃった) | January 16, 1991 | September 20, 1999 |
