# Demographics of Tajikistan
> Vital statistics

|  | Average population (x 1000) | Live births in thousands | Deaths in thousands | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| 1980 | 3954,5 | 146,422 | 31,830 | 114,592 | 37.0 | 8.0 | 29.0 |
| 1981 | 4060,4 | 155,508 | 31,637 | 123,871 | 38.3 | 7.8 | 30.5 |
| 1982 | 4173,2 | 159,571 | 32,053 | 127,518 | 38.2 | 7.7 | 30.5 |
| 1983 | 4293,1 | 164,710 | 32,553 | 132,157 | 38.3 | 7.6 | 30.7 |
| 1984 | 4419,9 | 176,197 | 32,872 | 143,325 | 39.8 | 7.4 | 32.4 |
| 1985 | 4558,1 | 182,716 | 32,014 | 150,702 | 40.0 | 7.0 | 33.0 |
| 1986 | 4707,9 | 198,647 | 31,993 | 166,654 | 42.1 | 6.8 | 35.3 |
| 1987 | 4861,6 | 204,450 | 33,543 | 170,907 | 41.9 | 6.9 | 35.0 |
| 1988 | 5013,0 | 201,864 | 35,334 | 166,530 | 40.2 | 7.0 | 33.2 |
| 1989 | 5165,9 | 200,430 | 33,395 | 167,035 | 38.7 | 6.5 | 32.3 |
| 1990 | 5302,4 | 205,813 | 33,020 | 172,793 | 38.8 | 6.2 | 32.6 |
| 1991 | 5433,3 | 212,598 | 33,067 | 179,531 | 39.1 | 6.1 | 33.0 |
| 1992 | 5536,4 | 179,534 | 36,718 | 142,816 | 32.4 | 6.6 | 25.8 |
| 1993 | 5573,4 | 186,504 | 49,326 | 137,178 | 33.5 | 8.9 | 24.6 |
| 1994 | 5606,8 | 191,596 | 39,943 | 151,653 | 34.2 | 7.1 | 27.0 |
| 1995 | 5667,7 | 193,182 | 34,274 | 158,908 | 34.1 | 6.0 | 28.0 |
| 1996 | 5735,3 | 172,341 | 31,792 | 140,549 | 30.0 | 5.5 | 24.5 |
| 1997 | 5822,5 | 178,127 | 28,710 | 149,417 | 30.6 | 4.9 | 25.7 |
| 1998 | 5938,6 | 185,733 | 27,397 | 158,336 | 31.3 | 4.6 | 26.7 |
| 1999 | 6064,1 | 180,888 | 25,495 | 155,393 | 29.8 | 4.2 | 25.6 |
| 2000 | 6196,5 | 167,246 | 29,387 | 137,859 | 27.0 | 4.7 | 22.3 |
| 2001 | 6317,9 | 171,623 | 32,015 | 139,608 | 27.2 | 5.1 | 22.1 |
| 2002 | 6429,2 | 175,599 | 31,142 | 144,457 | 27.3 | 4.8 | 22.4 |
| 2003 | 6543,0 | 177,938 | 33,185 | 144,753 | 27.1 | 5.1 | 22.0 |
| 2004 | 6658,9 | 179,563 | 29,741 | 149,822 | 26.8 | 4.4 | 22.3 |
| 2005 | 6780,6 | 180,790 | 31,520 | 149,270 | 26.4 | 4.6 | 21.8 |
| 2006 | 6903,9 | 186,463 | 31,990 | 154,473 | 26.7 | 4.6 | 22.1 |
| 2007 | 7031,2 | 200,010 | 33,686 | 166,324 | 28.1 | 4.7 | 23.3 |
| 2008 | 7173,8 | 203,332 | 31,996 | 171,336 | 27.9 | 4.4 | 23.5 |
| 2009 | 7334,1 | 199,826 | 32,332 | 167,504 | 26.8 | 4.3 | 22.5 |
| 2010 | 7519,3 | 239,805 | 33,343 | 206,462 | 31.7 | 4.4 | 27.3 |
| 2011 | 7714,2 | 224,178 | 33,855 | 190,323 | 29.1 | 4.4 | 24.7 |
| 2012 | 7897,3 | 219,281 | 33,972 | 185,309 | 27.8 | 4.3 | 23.5 |
| 2013 | 8074,3 | 209,417 | 31,706 | 177,711 | 25.9 | 3.9 | 22.0 |
| 2014 | 8246.0 | 229,500 | 32,900 | 196,600 | 27.8 | 4.0 | 23.8 |
