# Shot put
> Season 's bests

| Year | Distance | Athlete | Location |
| 2005 | 21.09 m (69 ft 2   1 ⁄ 4 in) | Nadzeya Astapchuk ( BLR ) | Minsk |
| 2006 | 20.86 m (68 ft 5   1 ⁄ 4 in)i | Nadzeya Astapchuk ( BLR ) | Minsk |
| 2007 | 20.54 m (67 ft 4   1 ⁄ 2 in) | Valerie Vili ( NZL ) | Osaka |
| 2008 | 20.98 m (68 ft 9   3 ⁄ 4 in) | Nadzeya Astapchuk ( BLR ) | Minsk |
| 2009 | 21.07 m (69 ft 1   1 ⁄ 2 in) | Valerie Vili ( NZL ) | Thessaloniki |
| 2010 | 21.70 m (71 ft 2   1 ⁄ 4 in)i | Nadzeya Astapchuk ( BLR ) | Mogilev |
| 2011 | 21.24 m (69 ft 8 in) | Valerie Adams ( NZL ) | Daegu |
| 2012 | 21.58 m (70 ft 9   1 ⁄ 2 in) | Nadzeya Astapchuk ( BLR ) | Minsk |
| 2013 | 20.98 m (68 ft 9   3 ⁄ 4 in)i | Valerie Adams ( NZL ) | Zürich |
| 2014 | 20.67 m (67 ft 9   3 ⁄ 4 in)i | Valerie Adams ( NZL ) | Sopot |
| 2015 | 20.77 m (68 ft 1   1 ⁄ 2 in) | Christina Schwanitz ( GER ) | Beijing |
