# Ladder match
> Ladder matches in Total Nonstop Action Wrestling

| # | Match | Event, date and location |
| 15 | Kaz defeated Christian Cage to become No. 1 Contender for the TNA World Heavyweight Championship . | Genesis 2007 November 11, 2007, Orlando, Florida |
| 16 | Johnny Devine and Team 3D ( Brother Ray and Brother Devon ) defeated Jay Lethal and The Motor City Machine Guns ( Chris Sabin and Alex Shelley ) to retain possession of the TNA X Division Championship. | TNA Impact! December 6, 2007, Orlando, Florida |
| 17 | Kaz defeated A.J. Styles (the stipulation for this match was the loser had to wear a reindeer costume) | TNA Impact! December 20, 2007, Orlando, Florida |
| 18 | James Storm defeated Eric Young to win the TNA World Beer Drinking Championship | TNA Impact! March 4, 2008 Orlando, Florida |
| 19 | Gail Kim defeated Roxxi Laveaux to earn a future shot at the TNA Women's Knockout Championship 1 | Sacrifice May 11, 2008 Orlando, Florida |
| 20 | A.J. Styles defeated Kurt Angle to win Angle's olympic gold medal | TNA Impact! August 28, 2008, Orlando, Florida |
| 21 | Sonjay Dutt defeated Jay Lethal for SoCal Val's heart | No Surrender September 14, 2008, Oshawa , Ontario, Canada |
| 22 | Abyss and Matt Morgan defeated Team 3D (Brother Ray and Brother Devon), LAX (Homicide and Hernandez) and Tanahashi and Volador to earn a future shot at the TNA World Tag Team Championship | TNA Impact! October 23, 2008, Orlando, Florida |
| 23 | Sojournor Bolt defeated Taylor Wilde to earn a future shot at the TNA Women's Knockout Championship | TNA Impact! November 6, 2008, Orlando, Florida |
| 24 | Alex Shelley defeated Chris Sabin, Jay Lethal, and Consequences Creed to retain the TNA X Division Championship | TNA Impact! February 23, 2009, Orlando, Florida |
| 25 | Amazing Red defeated Jay Lethal, Consequences Creed, Sheik Abdul Bashir , and Kiyoshi to become the number one contender for the TNA X Division Championship | TNA Impact! October 1, 2009, Orlando, Florida |
| 26 | Kazarian defeated Amazing Red , Brian Kendrick and Daniels to become the number one contender to the TNA X Division Championship | Destination X March 21, 2010, Orlando, Florida |
| 27 | Mr. Anderson defeated Kurt Angle to win the keys to the steel cage door at Lockdown | TNA Impact! April 5, 2010, Orlando, Florida |
| 28 | Jeremy Buck defeated Douglas Williams | TNA Impact! July 8, 2010, Orlando, Florida |
| 29 | Beer Money, Inc. (James Storm and Robert Roode ) defeated The Motor City Machine Guns (Alex Shelley and Chris Sabin) in the first match of the Best of 5 Series for the TNA World tag Team Championships | TNA Impact! July 15, 2010, Orlando, Florida |
| 30 | Rob Van Dam defeated Abyss to retain the TNA World Heavyweight Championship in a Stairway to Janice match | The Whole F'N' Show August 12, 2010, Orlando Florida |
| 31 | A.J. Styles defeated Sabu to win the keys to the cage for their respective team at Bound for Glory in their Lethal Lockdown match | TNA Impact! September 23, 2010, Orlando, Florida |
| 32 | Jeff Hardy defeated Mr. Anderson to win the TNA World Heavyweight Championship | Against All Odds February 13, 2011, Orlando, Florida |
| 33 | Matt Morgan defeated A.J. Styles, Gunner and Samoa Joe to earn ten points in the Bound for Glory Series | Impact Wrestling July 21, 2011, Orlando, Florida |
| 34 | Brian Kendrick defeated Alex Shelley, Jesse Sorensen , Kid Kash and Zema Ion to become No. 1 contender for the TNA X Division Championship. | Impact Wrestling September 29, 2011, Orlando, Florida |
| 35 | Bobby Roode defeated Rob Van Dam to retain the TNA World Heavyweight Championship. | Sacrifice May 13, 2012, Orlando, Florida |
| 36 | A.J. Styles defeated Christopher Daniels, Kurt Angle and Samoa Joe to earn twenty points in the Bound for Glory Series | Hardcore Justice August 12, 2012, Orlando, Florida |
| 37 | Jeff Hardy defeated Austin Aries to retain the TNA World Heavyweight Championship | Turning Point November 11, 2012, Orlando, Florida |
| 38 | Jeff Hardy fought Bully Ray with a hammer hanging above the right, which ended in a no-consest | Impact Wrestling June 7, 2013, Atlanta, Georgia |
| 39 | Gail Kim defeated Taryn Terrell to be no.1 contender for the TNA Knockouts Championship | Impact Wrestling July 11, 2013, Las Vegas, Nevada |
| 40 | Sanada defeated Manik , Tigre Uno , Crazzy Steve , Eddie Edwards and Davey Richards to retain the TNA X Division Championship. | Slammiversary XII June 15, 2014, Arlington, Texas |
| 41 | The Wolves ( Davey Richards and Eddie Edwards ) defeated The Hardys ( Jeff Hardy and Matt Hardy ) and Team 3D (Bully Ray and Devon ) to retain the TNA World Tag Team Championship | Impact Wrestling August 7, 2014, New York City, New York |
| 42 | Grado defeated Eli Drake | Impact Wrestling March 15, 2016, Orlando, Florida |
| 43 | DJ Z defeated Rockstar Spud , Mandrews , Braxton Sutter , Trevor Lee and Andrew Everett to become #1 contender for the TNA X Division Championship | Impact Wrestling July 12, 2016, Orlando, Florida |
