# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| 27 | 14 | 3 February 1991 | Carla Garrido joins the Fly Girls " Mr. Squeegee " "B.S. Brothers: Big Break" "Fashion Tampons" "Fire Marshall Bill: Home Safety" "Homey D. Clown: Home E. Cheese " |
| 28 | 15 | 10 February 1991 | "Benita Butrell: Block Captain" " Vanilla Ice - White White Baby" (cut from DVD) "Al Macafee, Prom Chaperone" "Oswald Meets the Parole Board" "My Dark Conscience" " Fruit of the Loom Boxers" |
| 29 | 16 | 17 February 1991 | "Ejector Bed" "Frenchie at a Bachelor Party" "Lonny Parker, Attorney at Law" "Les and Wes: Twin Stars" "Anton in the Burbs" Musical guest Leaders of the New School close the show |
| 30 | 17 | 24 February 1991 | "Prison Cable Network's Win, Lose, or Draw " "Milk Commercial with Vera DeMilo" "Pentagon Briefing" "Calhoun Tubbs on the Campaign Trail" "The Great Sperm Bank Robbery" " Andrea Dice Clay on Love Connection " |
| 31 | 18 | 3 March 1991 | "The Brothers Brothers: Tom and Tom at the Country Club" " Oprah PSA" "End Zone Choreographer" "Lil' Magic: The Government Cheese" "Fire Marshall Bill: Classroom Safety" Musical guest Another Bad Creation closes the show |
| 32 | 19 | 17 March 1991 | "David Alan Grier's Tribute to Broadway" (cut from DVD) "Velma II" "Cephus & Reesie: Last Request" "`'Do You Feel Lucky?`' Promo" " The 595 Club " "Vera DeMilo: Pretty Buffed Woman" (spoof of Pretty Woman ) Musical guest KRS-One closes the show |
| 33 | 20 | 31 March 1991 | "B.S. Brothers & Sistas" "Summer's Dawn" "Lil' Miss Trouble Runs Away" " The Superfly " "Snackin' Shack: The New Waitress" Musical guest 2 Four 2 closes the show |
| 34 | 21 | 14 April 1991 | (not included on DVD; all of the sketches are from previous episodes) "Anton Volunteers", (repeat from Season 2, Episode 2) "Fashion Tampons", (repeat from Season 2, Episode 14) "Spike's Joint", (repeat from Season 2, Episode 3) "I Won't Drift Away", (repeat from Season 2, Episode 5) "Ejector Bed", (repeat from Season 2, Episode 16) "Head Detective", (repeat from Season 2, Episode 13) "Men on Film", (repeat from Season 2, Episode 1) |
| 35 | 22 | 28 April 1991 | "Detecive Head Goes Bowling", featuring Ellen Cleghorne "Handi Man's Evil Twin" "The Arsenio Hall of Justice" Public Enemy and Ice Cube close the show |
| 36 | 23 | 5 May 1991 | "Three Champs and a Little Lady" (repeat from Season 2, Episode 11) "Black Like You" (repeat from Season 2, Episode 5) "New Ambassador" (repeat from Season 1, Episode 5) "Mo' Money with Whiz and Ice" (repeat from Season 1, Episode 9) Musical guest The Afros close the show |
| 37 | 24 | 12 May 1991 | (Season Finale) "Lil' Magic: The Audition" " Oprah 's Restaurant", featuring Ellen Cleghorne "Homey D. Clown: Homey Sells Out" "Men on Television: Blaine Becomes Hetero" |
| 38 | 25 | 11 August 1991 | "Dickie Peterson: Secret Service" "A New 911 Message Service" "Frenchie at the Opera" "Clear Conscience Fur Farm and Outlet Store" "Velma Mulholland Sings" "Visiting Day for Oswald" |
| 39 | 26 | 1 September 1991 | "Amazing Grace—Rocky VI", (repeat from Season 2, Episode 9) "Vera DeMilo: Veracosa, Mistress of Destruction", (repeat from Season 2, Episode 12) "Mudhead's Funeral", (repeat from Season 2, Episode 1) "Men on Vacation", (repeat from Season 2, Episode 9) "Homey D. Clown: When Homey Met Sally", (repeat from Season 2, Episode 2) |
