# List of Dragon Ball Z episodes
> Episode list

| Ep# | Initial dub ep# | Translated title / Funimation's dub title Japanese title | Japanese airdate | English airdate |
| 86 | 71 | "Such Regret...!! Vegeta, Pride of the Saiyans, Dies" / "The End of Vegeta" "Munen...!! Hokori Takaki Saiyajin Bejīta Shisu" (無念…!!誇り高きサイヤ人・ベジータ死す) | April 10, 1991 | October 5, 1999 |
| 87 | 72 | "The Curtain Rises over the Ultimate Battle!! I Am Going to Defeat You!" / "The Ultimate Battle" "Chō Kessen no Makuake da!! Omēdake wa Ora ga Taosu" (超決戦の幕開けだ!!おめえだけはオラが倒す) | April 17, 1991 | October 6, 1999 |
| 88 | 73 | "The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!" / "Clash of the Super Powers" "Gekitotsu no Ni Dai Chō Pawā! Honki Dōshi no Nikudan Sen!!!" (激突の2大超パワー！本気同士の肉弾戦!!!) | April 24, 1991 | October 7, 1999 |
| 89 | 74 | "Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands" / "Frieza's Boast" "Furīza Kyōfu no Sengen! Te o Tsukawazu Omae o Taosu" (フリーザ恐怖の宣言！手を使わずお前を倒す) | May 1, 1991 | October 8, 1999 |
| 90 | 75 | "That Was No Idle Boast!! Son Goku, an Audacious, Wonderful Guy" / "Bold and Fearless" "Hattari ja nē zo!! Daitan Suteki na Yatsu - Son Gokū" (ハッタリじゃねえぞ!!大胆素敵な奴・孫悟空) | May 8, 1991 | October 11, 1999 |
| 91 | 76 | "Showdown!! The Embodiment of Flame in a 20-Times Kaio-ken Kamehame-Ha" / "Embodiment of Fire" "Ketchaku da!! Honō no Keshin Nijūbai Kaiōken no Kamehameha" (決着だ!!炎の化身20倍界王拳のカメハメ波) | May 15, 1991 | October 12, 1999 |
| 92 | 77 | "A Super-Huge Genki Dama — I'm Playing My Last Card!!" / "Trump Card" "Chō Tokudai no Genki Dama Kore ga Saikyō no Kirifuda da!!" (超特大の元気玉これが最後の切り札だ!!) | May 22, 1991 | October 13, 1999 |
| 93 | 78 | "Keep the Chance Alive!! Piccolo's Suicide Support Strike" / "Keep the Chance Alive!!" "Chansu o Ikase!! Pikkoro Sutemi no Engo Shageki" (チャンスを生かせ!!ピッコロ捨身の援護射撃) | May 29, 1991 | October 14, 1999 |
| 94 | 79 | "The Incredible Destructive Force of the Genki Dama!! Who Will Survive?!" / "Power of the Spirit" "Genki Dama no Chō Hakairyoku!! Ikinokotta no wa Dare da!?" (元気玉の超破壊力!!生き残ったのは誰だ!?) | June 5, 1991 | October 15, 1999 |
| 95 | 80 | "Transformed At Last!! Son Goku, the Legendary Super Saiyan" / "Transformed at Last" "Tsui ni Henshin!! Densetsu no Sūpā Saiyajin Son Gokū" (ついに変身!!伝説の超サイヤ人・孫悟空) | June 12, 1991 | October 18, 1999 |
| 96 | 81 | "An Explosion of Anger!! Goku, Avenge Everyone's Deaths" / "Explosion of Anger" "Ikari Bakuhatsu!! Gokū yo, Minna no Kataki o Uttekure" (怒り爆発!!悟空よ、みんなの仇を討ってくれ) | June 19, 1991 | October 19, 1999 |
| 97 | 82 | "The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground" / "Namek's Destruction?" "Namekkusei Shōmetsu ka!? Daichi o Tsuranuku Ma no Senkō" (ナメック星消滅か!?大地を貫く魔の閃光) | June 26, 1991 | October 20, 1999 |
| 98 | 83 | "I Will Be the One Who Wins... Risking Survival, a Final Attack" / "A Final Attack" "Katsu no wa Ore Da... Ikinokori o Kaketa Saishū Kōgeki" (勝つのはオレだ…生き残りをかけた最終攻撃) | July 10, 1991 | October 21, 1999 |
| 99 | 84 | "Shen Long, Run Yourself Through Space!! The Time of Namek's Destruction Draws Near" / "Approaching Destruction" "Shen Long yo Uchū o Hashire!! Semaru Namekkusei Shōmetsu no Toki" (神龍よ宇宙を走れ!!迫るナメック星消滅の時) | July 17, 1991 | October 22, 1999 |
| 100 | 85 | "I Am Son Goku's Son!! Gohan Returns to the Battlefield" / "Gohan Returns" "Boku wa Son Gokū no Musuko da!! Gohan, Futatabi Kessenjō e" (ボクは孫悟空の息子だ!!悟飯、再び決戦場へ) | July 24, 1991 | October 25, 1999 |
| 101 | 86 | "I'm Staying on This Planet!! A Final Wish Towards Victory" / "The Last Wish" "Ore wa Kono Hoshi ni Nokoru!! Shōri e no Saigo no Negai" (オレはこの星に残る!!勝利への最後の願い) | July 31, 1991 | October 26, 1999 |
| 102 | 87 | "Let's Get It On!! Two Remain on a Vanishing Planet" / "Duel on a Vanishing Planet" "Tokoton Yarōze!! Kieyuku Hoshi ni Nokotta Futari" (ととことんやろうぜ!!消えゆく星に残った二人) | August 7, 1991 | October 27, 1999 |
| 103 | 88 | "Pathos of Freeza! Once He Starts Shaking, He's Unstoppable!!" / "Pathos of Frieza" "Aware Furīza! Furue Dashitara Tomaranai!!" (哀れフリーザ！震えだしたら止まらない!!) | August 14, 1991 | October 28, 1999 |
| 104 | 89 | "Goku's Declaration of Victory!! As Freeza Destroys Himself..." / "Frieza Defeated!!" "Gokū no Shōri Sengen da!! Furīza ga Jimetsu suru Toki..." (悟空の勝利宣言だ!!フリーザが自滅する時…) | August 21, 1991 | October 29, 1999 |
| 105 | 90 | "Freeza Defeated!! A Single Blast Packed with a Totality of Rage" / "Mighty Blast of Rage" "Furīza Yabureru!! Subete no Ikari o Kometa Ichigeki" (フリーザ敗れる!!すべての怒りをこめた一撃) | August 28, 1991 | November 1, 1999 |
| 106 | 91 | "Planet Namek's Great Explosion!! Goku Disappears into Space" / "Namek's Explosion... Goku's End?" "Namekkusei Dai Bakuhatsu!! Uchū ni Kieta Gokū" (ナメック星大爆発!!宇宙に消えた悟空) | September 4, 1991 | November 2, 1999 |
| 107 | 92 | "Son Goku Survived — The Z Warriors All Resurrected!!" / "Goku's Alive!!" "Ikiteita Son Gokū Zetto Senshi ga Zen'in Fukkatsu da!!" (生きていた孫悟空Ｚ戦士が全員復活だ!!) | September 11, 1991 | November 3, 1999 |
