# National team appearances in the FIFA World Cup
> Ranking of teams by number of appearances

| Team | Appearances | Record streak | Active streak | Debut | Most recent | Best result ( * = hosts ) |
| Bosnia and Herzegovina | 1 | 1 | 1 | 2014 | 2014 | 7.9 ! Round 1 |
| Cuba | 1 | 1 | 0 | 1938 | 1938 | 5.9 ! Quarterfinals ( 1938 ) |
| Indonesia [4] | 1 | 1 | 0 | 1938 | 1938 | 7.9 ! Round 1 |
| Wales | 1 | 1 | 0 | 1958 | 1958 | 5.9 ! Quarterfinals ( 1958 ) |
| Israel | 1 | 1 | 0 | 1970 | 1970 | 7.9 ! Round 1 |
| DR Congo [6] | 1 | 1 | 0 | 1974 | 1974 | 7.9 ! Round 1 |
| East Germany [3] | 1 | 1 | 0 | 1974 | 1974 | 5.9 ! Round 2 (top 8) ( 1974 ) |
| Haiti | 1 | 1 | 0 | 1974 | 1974 | 7.9 ! Round 1 |
| Kuwait | 1 | 1 | 0 | 1982 | 1982 | 7.9 ! Round 1 |
| Canada | 1 | 1 | 0 | 1986 | 1986 | 7.9 ! Round 1 |
| Iraq | 1 | 1 | 0 | 1986 | 1986 | 7.9 ! Round 1 |
| United Arab Emirates | 1 | 1 | 0 | 1990 | 1990 | 7.9 ! Round 1 |
| Jamaica | 1 | 1 | 0 | 1998 | 1998 | 7.9 ! Round 1 |
| China PR | 1 | 1 | 0 | 2002 | 2002 | 7.9 ! Round 1 |
| Senegal | 1 | 1 | 0 | 2002 | 2002 | 5.9 ! Quarterfinals ( 2002 ) |
| Angola | 1 | 1 | 0 | 2006 | 2006 | 7.9 ! Round 1 |
| Togo | 1 | 1 | 0 | 2006 | 2006 | 7.9 ! Round 1 |
| Trinidad and Tobago | 1 | 1 | 0 | 2006 | 2006 | 7.9 ! Round 1 |
| Ukraine [5] | 1 | 1 | 0 | 2006 | 2006 | 5.9 ! Quarterfinals ( 2006 ) |
| Slovakia [2] | 1 | 1 | 0 | 2010 | 2010 | 6.9 ! Round 2 ( 2010 ) |
