# Comparison of raster graphics editors
> General information

|  | Description | Creator | First public release date | Latest stable version | Latest Stable Release Date | Cost | Software license |
| Chasys Draw IES | Image Editor with layers, animation, icon edit, super-res, batch and camera raw | John Paul Chacha | 000000002001-01-01-0000 2001 | 4.37 |  |  | Freeware |
| CinePaint | Moving picture, photo and graphics editor | Robin Rowe | 000000002002-07-04-0000 July 4, 2002 | 2011 (1.0) |  |  | GPL |
| CodedColor PhotoStudio Pro | An bitmap graphics editor and image organizer for Windows pc | 1STEIN Corp. | 000000002001-01-01-0000 2001 | 6.2 |  |  | Proprietary |
| Corel PaintShop Pro | Advanced image editor and graphics creator | Jasc Software | 000000001992-01-01-0000 1992 | X7 |  |  | Proprietary |
| Corel Painter | Made to create natural-looking artistic images | Mark Zimmer, Tom Hedges, John Derry | 000000001991-08-01-0000 August 1991 | 15.1.0.740 | 000000002016-01-12-0000 January 12, 2016 | $379 | Proprietary |
| Corel PHOTO-PAINT | Professional image editor and graphics creator with advanced features | Corel Corporation | 000000001992-01-01-0000 1992 | X7/17 |  |  | Proprietary |
| Cosmigo Pro Motion | Pixel and animation editor (8-bit-graphics) made after Deluxe Paint | Cosmigo; J.Zimmermann, L.Gischler, N.Mavrikakis | 000000001997-01-01-0000 1997 | 6.5 |  |  | Proprietary |
| darktable | Photography workflow application and raw developer | Johannes Hanika | 000000002009-04-01-0000 April 2009 | 2.0 |  |  | GPL 3 |
| Deluxe Paint | Discontinued basic editor | Dan Silva | 000000001985-01-01-0000 1985 | 5 |  |  | Proprietary |
| Deneba Canvas | Graphics editor and creator supporting both raster graphics and vector graphics .It also work on GIS data. | Jorge Miranda, Joaquin de Soto, Manny Menendez | 000000001987-09-01-0000 September 1987 | 14 |  |  | Proprietary |
| DigiKam | Free photo organizer and image editor | Renchi Raju, Gilles Caulier | 000000002002-01-01-0000 2002 | 4.10.0 |  |  | GPL |
| Digital Photo Professional | Photo organizer and image editor from Canon | Canon Inc. | ? | 4.2.10 |  |  | Proprietary |
| Erdas Imagine | Advanced remote sensing and GIS ability; handles multispectral images | ERDAS, Inc. | 000000001980-01-01-0000 1980 | 2016 (16) | 000000002016-06-14-0000 June 14, 2016 |  | Proprietary |
| Fatpaint | Full featured web-based graphic design and photo editing application | Mersica Inc. | 000000002010-01-01-0000 2010 | 1.99.55 |  |  | Freeware |
| Fotografix | Freeware, portable image editor | L. Madhavan | 000000002009-04-14-0000 April 14, 2009 | 1.5 |  |  | Freeware |
| F-Spot | Image viewer and organizer for GNOME | Ettore Perazzoli | 000000002005-01-01-0000 2005 | 0.8.2 |  |  | GPLv2 |
| G'MIC | Free command line software for 2D or 3D image processing and visualization | David Tschumperlé | 000000002008-10-01-0000 October 2008 | 1.6.0.4 |  |  | CeCILL |
| GIMP | Free image editor and graphics creator | Spencer Kimball , Peter Mattis | 000000001996-01-01-0000 January 1996 | 2.8.14 |  |  | GNU (L)GPLv3+ v2.7+ [1] |
| GimPhoto | Modification of the free and open source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop. | Ek Kian | ? | 1.4.3 |  |  | GPLv2 |
| GIMPshop | GIMP with a GUI similar to Adobe Photoshop | Scott Moschella | ? | 2.2.11 |  |  | GPL |
| GNU Paint | Free and open source raster graphics editor | Andy Tai |  | 0.3.3 |  |  | GPL |
| GrafX2 | GrafX2 with a GUI similar to Deluxe Paint | Sunset Design (Guillaume Dorme, Karl Maritaud) | 000000001996-01-01-0000 1996 | 2.1 |  |  | GPL |
| GraphicConverter | Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins | Thorsten Lemke | 000000001992-01-01-0000 1992 | 10 |  |  | Proprietary |
| GraphicsMagick | Commandline image converter and editor | GraphicsMagick Group | 000000002002-01-01-0000 2002 | 1.3.21 |  |  | MIT |
| gThumb | Image viewer and organizer for the GNOME desktop environment | Paolo Bacchilega | ? | 3.4.0 |  |  | GPL3 |
| HDR PhotoStudio | HDR (High Dynamic Range Editor) with human vision imaging model | Unified Color | 000000002009-10-01-0000 October 2009 | 2.15.37 |  |  | Proprietary |
| Helicon Filter | Advanced image editor with a simplified tabbed interface | Helicon Soft Ltd. | 000000002004-08-01-0000 August 2004 | 5.0.28 |  |  | Proprietary |
| ImageJ | Image processing program developed at the National Institutes of Health. | Wayne Rasband (NIH) | 000000001997-01-01-0000 1997 | 1.46m |  |  | Public Domain |
| ImageMagick | Command line software suite for displaying, converting, and editing raster image files | ImageMagick Studio LLC | ? | 6.7.7-7 |  |  | Apache 2.0 |
| iPhoto | Image organizer and basic editor for OS X ; replaced by Photos | Apple Inc. | 000000002002-01-01-0000 2002 | 9.6 |  |  | Proprietary |
| IrfanView | Image and video viewer with basic editing functions | Irfan Skiljan | 000000001996-01-01-0000 1996 | 4.38 |  |  | Freeware |
| Iridient Developer | Powerful raw image conversion application designed and optimized for Mac OS X | Iridient Digital | 000000002004-01-01-0000 2004 | 3.0.3 |  |  | Proprietary |
| Kolourpaint |  | KDE | 000000002004-01-01-0000 2004 | 1.2.2 |  |  | BSD |
| Krita | Digital painting oriented free and open source raster graphic editor with vector support. KDE/Calligra based. | KDE | 000000002005-01-01-0000 2005 | 3.0.1 | 000000002016-09-06-0000 September 6, 2016 |  | GPL |
| LazPaint | Free multiplatform layered image editor | circular | 000000002011-01-01-0000 2011 | 6.2 |  |  | GPL |
| MacPaint | Obsolete basic editor | Bill Atkinson | 000000001984-01-01-0000 1984 | 2.0 |  |  | Proprietary |
| Microsoft Office Picture Manager | Basic image editor | Microsoft | ? | ? |  |  | Proprietary |
| Microsoft Paint | Basic graphic creator and editor packaged with Microsoft Windows operating systems | Microsoft | 000000001985-01-01-0000 1985 | 6.1 |  |  | Proprietary |
| Microsoft Photo Editor | Obsolete basic image editor for Windows | Microsoft | ? | 3.01 |  |  | Proprietary |
| Mootif | Online JavaScript image editor with a few functions | mootif.com | 000000002006-05-01-0000 May 2006 | 1.0 |  |  | Proprietary |
| MyPaint | Digital painting Application | Martin Renold | 000000002005-03-12-0000 March 12, 2005 | 1.1.0 |  |  | GPL2 |
| OpenCanvas |  | Portalgraphics | ? | 4 |  |  | Proprietary |
| paint.net | Freeware image editor and graphics creator based on the .Net framework | Rick Brewster, et al. | 000000002004-05-06-0000 May 6, 2004 | 4.0.11 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP) |  |  | Freeware [2] [3] |
| PC Paintbrush | Obsolete basic editor | ZSoft Corporation | 000000001984-01-01-0000 1984 | 5 |  |  | Proprietary |
| Pencil2D | 2D graphical animation software. | Pascal Naidon | ? | 0.4.4 |  |  | GPL |
| Phatch | Editor for batch processing digital graphics and photographs. | Stani Michiels | ? | 0.2.7 |  |  | GPL |
| Photofinish |  | ZSoft Corporation | 000000001993-01-01-0000 1993 | 2 |  |  | Proprietary |
| Photogenics | Made to create 32-bit HDRs | Idruna Software Inc. | 000000001995-01-01-0000 1995 | HDR 7.0 |  |  | Proprietary |
| PhotoLine | Image editor with some advanced features | Computerinsel (Germany) | 000000001995-01-01-0000 1995 | 17.10 |  |  | Proprietary |
| PhotoPerfect | Image editor with some advanced features | Arcadia Software AG, Joachim Koopmann Software | 000000002002-01-01-0000 2002 | 2.9 |  |  | Proprietary |
| Photos | Image organizer and basic editor for OS X ; replaced iPhoto from OS X 10.10.3 onwards | Apple Inc. | 000000002014-01-01-0000 2014 | 1.0 |  |  | Proprietary |
| Photo Raster | Advanced online photo editor | David Levinsky | 000000002012-01-01-0000 2012 | 0.9 |  |  | Proprietary |
| Picasa | Efficient image organizer with basic editing tools, other image effects | Google | 000000002002-01-01-0000 2002 | 3.9.141.259 | 000000002015-10-09-0000 October 9, 2015 | Discontinued | Freeware |
| PicMaster | Has 300 filter effects, slide show, poster printing, mosaics, true 3D , more | Alexander Sabov | 000000001999-12-01-0000 December 1999 | 4.03 |  |  | Proprietary |
| Pinta | Mid-level Free and Open Source raster graphics editor, based on Paint.Net | Jonathan Pobst | 000000002010-02-07-0000 February 7, 2010 | 1.5 |  |  | MIT |
| PixBuilder Photo Editor |  | WnSoft Graphic Software | 000000002005-06-01-0000 June 2005 | 1.31 |  |  | Proprietary |
| Pixelmator | Image editor and graphics creator for OS X | Pixelmator Team ltd. | 000000002007-09-25-0000 September 25, 2007 | 3.0 |  |  | Proprietary |
| Pixen | Pixel art and sprite editor for OS X | Open Sword Group | ? | 3.8 |  |  | Proprietary |
| Pixia | Originally designed for Anime/Manga art. | Isao Maruoka | 000000001998-01-01-0000 1998 | 4.70d |  |  | Proprietary |
| PMview | Fast image viewer with basic editing functions | Peter Nielsen | 000000001997-01-01-0000 1997 ? | 3.76 (2014) |  |  | Proprietary |
| Project Dogwaffle | Dan Ritchie retired but others continue active development [4] | Dan Ritchie | 000000001997-01-01-0000 1997 (?) | 2011 (7.0) (1.2 available as freeware) |  |  | Proprietary |
| QFX | Mature and complete image editing package | Ron Scott | ~1990 | 8 |  |  | Proprietary |
| Rawstudio | Raw image processor. | Anders Brander & Anders Kvist | ? | 2.0 |  |  | GPL 2 |
| RawTherapee | Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras. | Gabor Horvath | 000000002006-09-21-0000 September 21, 2006 | 4.0.11 |  |  | GPL |
| Seashore | Basic counterpart to GIMP , using its XCF format; full support for a few graphics formats | Mark Pazolli | 000000002007-06-01-0000 June 2007 | 0.1.9 |  |  | GPLv3 |
| Serif PhotoPlus | Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use | Serif |  | X8 | 000000002015-08-10-0000 August 10, 2015 |  | Proprietary |
| Shotwell | Image organizer for GNOME | Yorba Foundation | 000000002009-06-26-0000 June 26, 2009 | 0.12.3 |  |  | LGPL 2.1 |
| Tux Paint | Drawing program for young children. | Bill Kendrick | 000000002002-06-16-0000 June 16, 2002 | 0.9.21 |  |  | GPL |
| TVPaint | 2D animation software | Herve ADAM | 000000001991-06-16-0000 June 16, 1991 | 9.5.11 |  |  | Proprietary |
| UFRaw | Raw image format processor | Udi Fuchs | ? | 0.22 |  |  | GPL |
| Ulead PhotoImpact |  | Ulead Systems | ? | 12 |  |  | Proprietary |
| Ultimate Paint | Basic graphics editor based on Deluxe Paint | Joseph Ladanyi, Daniel Szabo | 000000001998-01-01-0000 1998 | 2.88 |  |  | Proprietary |
| WinImages | Animation-centric | Black Belt Systems | ? | 7.5 |  |  | Proprietary |
| Xara Photo & Graphic Designer | Graphic design program including photo editing and vector illustration tools | Xara | 000000001995-01-01-0000 1995 (Windows) | 9 |  |  | Proprietary |
| XnView | Cross-platform image viewer used for converting, organising and editing graphical & video files. | Pierre-emmanuel Gougelet | 000000001998-01-01-0000 1998 (1.06) | 2.20 (Windows)/0.64 (Linux, Mac OS X) |  |  | Proprietary |
| XPaint | Simple Drawing program for Unix/X11 with Xaw3d widgets | David Koblas, Torsten Martinsen, Jean-Pierre Demailly | 000000001993-01-01-0000 1993 | 2.9.10.3 |  |  | Custom free license |
| Zoner Photo Studio | All-in-one editor package | Zoner Inc. | ? | 11.0 build 8 |  |  | Proprietary |
| PixelStyle Photo Editor | Photo editing and graphic design software with smart RAW processing engine | Effectmatrix | 000000002016-01-01-0000 2016 | 2.95 | 2016.5.27 | $29.99 | Proprietary |
|  | Description | Creator | First public release date | Latest stable version | Latest Stable Release Date | Cost (USD) | Software license |
