# 2008 - Structure Type - National Bridge Inventory - Bridge Inspection - Safety - Bridges & Structures - Federal Highway Administration

| State | ALABAMA | ALASKA | ARIZONA | ARKANSAS | CALIFORNIA | COLORADO | CONNECTICUT | DELAWARE | DIST. OF COL. | FLORIDA | GEORGIA | HAWAII | IDAHO | ILLINOIS | INDIANA | IOWA | KANSAS | KENTUCKY | LOUISIANA | MAINE | MARYLAND | MASSACHUSETTS | MICHIGAN | MINNESOTA | MISSISSIPPI | MISSOURI | MONTANA | NEBRASKA | NEVADA | NEW HAMPSHIRE | NEW JERSEY | NEW MEXICO | NEW YORK | NORTH CAROLINA | NORTH DAKOTA | OHIO | OKLAHOMA | OREGON | PENNSYLVANIA | RHODE ISLAND | SOUTH CAROLINA | SOUTH DAKOTA | TENNESSEE | TEXAS | UTAH | VERMONT | VIRGINIA | WASHINGTON | WEST VIRGINIA | WISCONSIN | WYOMING | PUERTO RICO | TOTALS |
| Truss-Thru | 108 | 52 | 26 | 98 | 232 | 89 | 30 | 6 | 0 | 52 | 32 | 9 | 95 | 324 | 469 | 1,266 | 636 | 138 | 50 | 62 | 86 | 91 | 83 | 142 | 73 | 923 | 162 | 917 | 3 | 61 | 180 | 39 | 572 | 44 | 218 | 1,260 | 796 | 151 | 664 | 11 | 39 | 172 | 65 | 273 | 16 | 136 | 152 | 164 | 243 | 104 | 59 | 11 | 11,684 |
| Arch-Deck | 25 | 5 | 34 | 75 | 300 | 45 | 175 | 22 | 16 | 25 | 51 | 26 | 12 | 68 | 743 | 109 | 315 | 24 | 21 | 38 | 206 | 300 | 102 | 76 | 24 | 98 | 13 | 51 | 18 | 59 | 289 | 7 | 751 | 45 | 1 | 356 | 121 | 48 | 956 | 78 | 49 | 11 | 183 | 102 | 14 | 22 | 164 | 168 | 462 | 87 | 6 | 19 | 7015 |
| Arch-Thru | 6 | 0 | 1 | 7 | 17 | 14 | 1 | 1 | 0 | 2 | 0 | 5 | 2 | 15 | 6 | 12 | 45 | 11 | 0 | 4 | 8 | 9 | 18 | 6 | 0 | 10 | 0 | 3 | 0 | 4 | 0 | 1 | 16 | 0 | 1 | 21 | 7 | 16 | 23 | 1 | 0 | 2 | 7 | 11 | 3 | 11 | 11 | 29 | 6 | 8 | 1 | 1 | 383 |
| Suspension | 0 | 0 | 0 | 2 | 11 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 2 | 3 | 0 | 3 | 0 | 2 | 0 | 3 | 2 | 1 | 1 | 1 | 0 | 7 | 1 | 0 | 0 | 0 | 2 | 0 | 19 | 0 | 0 | 3 | 0 | 3 | 11 | 2 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 5 | 4 | 0 | 0 | 0 | 97 |
| Stayed Girder | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 0 | 10 | 2 | 1 | 0 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 2 | 0 | 0 | 0 | 39 |
| Movable-Lift | 1 | 0 | 0 | 0 | 5 | 0 | 2 | 0 | 0 | 4 | 0 | 1 | 1 | 5 | 0 | 0 | 0 | 0 | 47 | 7 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 2 | 11 | 0 | 24 | 1 | 0 | 5 | 0 | 9 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 3 | 33 | 0 | 8 | 0 | 1 | 178 |
| Movable-Bascule | 1 | 0 | 0 | 0 | 15 | 0 | 8 | 9 | 0 | 134 | 3 | 0 | 0 | 53 | 3 | 0 | 0 | 0 | 12 | 1 | 21 | 22 | 21 | 1 | 5 | 0 | 0 | 0 | 0 | 2 | 34 | 0 | 33 | 6 | 0 | 5 | 0 | 8 | 3 | 0 | 3 | 0 | 1 | 1 | 0 | 1 | 8 | 12 | 0 | 34 | 0 | 0 | 460 |
| Movable-Swing | 0 | 0 | 0 | 0 | 16 | 0 | 4 | 2 | 1 | 10 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 93 | 7 | 3 | 7 | 3 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 11 | 0 | 12 | 11 | 0 | 1 | 0 | 3 | 0 | 1 | 4 | 0 | 0 | 7 | 0 | 0 | 7 | 6 | 0 | 0 | 0 | 0 | 218 |
| Tunnel | 2 | 0 | 0 | 0 | 31 | 0 | 0 | 0 | 11 | 1 | 0 | 0 | 0 | 5 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 5 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 73 |
| Culvert | 6,053 | 65 | 3,952 | 2,967 | 3,342 | 1,733 | 598 | 234 | 0 | 2,227 | 5,472 | 162 | 116 | 4,286 | 1,669 | 3,833 | 7,847 | 2,873 | 2,478 | 322 | 1,167 | 303 | 1,492 | 5,187 | 3,418 | 4,818 | 206 | 3,109 | 725 | 246 | 441 | 1,677 | 1,704 | 4,968 | 888 | 1,801 | 6,802 | 302 | 1,645 | 28 | 1,078 | 1,229 | 8,537 | 18,544 | 555 | 180 | 3,054 | 290 | 519 | 1,983 | 436 | 316 | 127,877 |
| Mixed Types | 0 | 0 | 0 | 0 | 19 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 27 |
| Segmental Box Girder | 1 | 0 | 1 | 0 | 2 | 16 | 2 | 0 | 0 | 66 | 0 | 7 | 1 | 4 | 19 | 1 | 0 | 3 | 0 | 0 | 1 | 32 | 1 | 0 | 7 | 2 | 0 | 1 | 4 | 0 | 1 | 8 | 3 | 4 | 1 | 0 | 4 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 8 | 5 | 7 | 0 | 0 | 1 | 218 |
| Channel Beam | 852 | 0 | 10 | 2,050 | 24 | 0 | 9 | 0 | 0 | 344 | 27 | 0 | 13 | 1,478 | 421 | 220 | 2 | 208 | 268 | 0 | 3 | 0 | 7 | 5 | 4,850 | 201 | 53 | 49 | 0 | 1 | 2 | 69 | 12 | 417 | 309 | 0 | 39 | 171 | 76 | 1 | 12 | 251 | 856 | 0 | 0 | 5 | 1 | 313 | 131 | 227 | 9 | 0 | 13,996 |
| Other | 37 | 17 | 4 | 2 | 36 | 1 | 1 | 0 | 0 | 15 | 1 | 1 | 1 | 334 | 128 | 31 | 81 | 16 | 7 | 5 | 66 | 5 | 36 | 2 | 60 | 18 | 11 | 2 | 2 | 21 | 9 | 0 | 66 | 2 | 3 | 145 | 22 | 8 | 116 | 2 | 14 | 2 | 2 | 1130 | 7 | 1 | 9 | 20 | 21 | 16 | 3 | 0 | 2539 |
