<table>
  <caption>Derived parameters for 142 pulsars discovered in this phase of the Parkes multibeam pulsar survey. Listed are the base-10 logarithms of characteristic age (yr), the surface dipole magnetic field strength (G), the loss in rotational energy (erg s - 1 ), the DM-derived distance using the Taylor & Cordes (1993) model, D TC (kpc), and the Cordes & Lazio (2001) model, D CL (kpc), the corresponding z heights, z T ⁢ C and z C ⁢ L (both in kpc), and the inferred radio luminosity at 1400 MHz for each distance estimate L T ⁢ C and L C ⁢ L (both in mJy kpc 2 ).</caption>
  <tr><th>PSR J</th><th>[τ_(c)]</th><th>[B]</th><th>[]</th><th>D_(TC)</th><th>D_(CL)</th><th>z_(TC)</th><th>z_(CL)</th><th>L_(TC)</th><th>L_(CL)</th></tr>
  <tr><td>1624 - 4613</td><td>>8.06</td><td><11.51</td><td><30.86</td><td>5.18</td><td>3.76</td><td>0.20</td><td>0.15</td><td>10.5</td><td>5.5</td></tr>
  <tr><td>1627 - 4706</td><td>6.11</td><td>11.70</td><td>34.40</td><td>7.34</td><td>6.03</td><td>0.16</td><td>0.13</td><td>5.4</td><td>3.6</td></tr>
  <tr><td>1631 - 4155</td><td>9.00</td><td>10.85</td><td>30.32</td><td>8.60</td><td>4.81</td><td>0.65</td><td>0.36</td><td>14.1</td><td>4.4</td></tr>
  <tr><td>1634 - 5107</td><td>6.71</td><td>11.96</td><td>32.68</td><td>9.20</td><td>6.09</td><td>-0.37</td><td>-0.24</td><td>29.6</td><td>13.0</td></tr>
  <tr><td>1637 - 4450</td><td>6.84</td><td>11.59</td><td>33.15</td><td>8.80</td><td>6.49</td><td>0.23</td><td>0.17</td><td>31.0</td><td>16.8</td></tr>
  <tr><td>1638 - 3815</td><td>8.16</td><td>11.37</td><td>30.95</td><td>17.25</td><td>5.66</td><td>1.73</td><td>0.57</td><td>184.5</td><td>19.9</td></tr>
  <tr><td>1638 - 4725</td><td>6.40</td><td>12.29</td><td>32.62</td><td>6.73</td><td>6.07</td><td>-0.04</td><td>-0.03</td><td>14.5</td><td>11.8</td></tr>
  <tr><td>1643 - 4505</td><td>5.07</td><td>12.44</td><td>34.97</td><td>6.37</td><td>5.64</td><td>0.06</td><td>0.05</td><td>11.4</td><td>8.9</td></tr>
  <tr><td>1646 - 5123</td><td>6.60</td><td>12.03</td><td>32.75</td><td>10.62</td><td>5.63</td><td>-0.73</td><td>-0.39</td><td>19.2</td><td>5.4</td></tr>
  <tr><td>1649 - 3805</td><td>8.05</td><td>11.00</td><td>31.90</td><td>6.89</td><td>4.30</td><td>0.50</td><td>0.31</td><td>47.5</td><td>18.5</td></tr>
  <tr><td>1650 - 4921</td><td>6.13</td><td>11.73</td><td>34.28</td><td>5.77</td><td>4.08</td><td>-0.31</td><td>-0.22</td><td>5.3</td><td>2.7</td></tr>
  <tr><td>1653 - 4030</td><td>7.57</td><td>11.83</td><td>31.20</td><td>10.94</td><td>6.68</td><td>0.40</td><td>0.25</td><td>47.9</td><td>17.8</td></tr>
  <tr><td>1654 - 3710</td><td>7.31</td><td>11.92</td><td>31.54</td><td>14.10</td><td>6.33</td><td>0.99</td><td>0.44</td><td>43.7</td><td>8.8</td></tr>
  <tr><td>1656 - 3621</td><td>6.96</td><td>11.99</td><td>32.11</td><td>7.85</td><td>4.67</td><td>0.58</td><td>0.35</td><td>17.9</td><td>6.3</td></tr>
  <tr><td>1700 - 3611</td><td>6.74</td><td>12.41</td><td>31.71</td><td>6.80</td><td>4.48</td><td>0.44</td><td>0.29</td><td>23.6</td><td>10.2</td></tr>
  <tr><td>1700 - 4012</td><td>7.66</td><td>11.23</td><td>32.23</td><td>5.94</td><td>5.07</td><td>0.13</td><td>0.11</td><td>4.6</td><td>3.3</td></tr>
  <tr><td>1711 - 4322</td><td>7.79</td><td>10.72</td><td>32.99</td><td>4.15</td><td>3.83</td><td>-0.16</td><td>-0.15</td><td>4.5</td><td>3.8</td></tr>
  <tr><td>1715 - 3859</td><td>6.52</td><td>12.31</td><td>32.34</td><td>10.32</td><td>9.34</td><td>-0.06</td><td>-0.06</td><td>57.5</td><td>47.1</td></tr>
  <tr><td>1717 - 3953</td><td>8.72</td><td>11.28</td><td>30.00</td><td>6.68</td><td>5.65</td><td>-0.14</td><td>-0.11</td><td>34.8</td><td>24.9</td></tr>
  <tr><td>1718 - 4539</td><td>6.10</td><td>12.33</td><td>33.15</td><td>10.69</td><td>6.35</td><td>-0.85</td><td>-0.51</td><td>9.1</td><td>3.2</td></tr>
  <tr><td>1722 - 4400</td><td>6.97</td><td>11.46</td><td>33.15</td><td>7.02</td><td>5.14</td><td>-0.53</td><td>-0.39</td><td>10.8</td><td>5.8</td></tr>
  <tr><td>1724 - 4500</td><td>6.77</td><td>12.34</td><td>31.79</td><td>6.15</td><td>4.56</td><td>-0.55</td><td>-0.41</td><td>1.9</td><td>1.0</td></tr>
  <tr><td>1725 - 2852</td><td>7.00</td><td>12.20</td><td>31.60</td><td>4.09</td><td>3.13</td><td>0.27</td><td>0.21</td><td>4.2</td><td>2.4</td></tr>
  <tr><td>1728 - 4028</td><td>7.77</td><td>11.66</td><td>31.15</td><td>5.40</td><td>4.08</td><td>-0.30</td><td>-0.23</td><td>20.1</td><td>11.5</td></tr>
  <tr><td>1730 - 2900</td><td>6.44</td><td>12.57</td><td>31.98</td><td>6.97</td><td>5.04</td><td>0.34</td><td>0.25</td><td>6.3</td><td>3.3</td></tr>
  <tr><td>1732 - 3426</td><td>7.12</td><td>11.57</td><td>32.63</td><td>6.35</td><td>5.74</td><td>-0.06</td><td>-0.05</td><td>9.7</td><td>7.9</td></tr>
  <tr><td>1733 - 2533</td><td>6.70</td><td>12.08</td><td>32.46</td><td>8.01</td><td>5.00</td><td>0.57</td><td>0.36</td><td>6.4</td><td>2.5</td></tr>
</table>
