<table>
  <caption>Best-fit parameters with an absorbed bremsstrahlung model of the burst unscattered spectrum.</caption>
  <tr><th>1 Dust model</th><th>N_(H)</th><th>kT a</th><th>F_(burst) b</th><th>E_(burst) c</th><th>χ^(2)_(red) d</th></tr>
  <tr><td></td><td>4.1 × 10 ^((22))</td><td>100</td><td>0.0020</td><td>2.3 × 10 ^((44))</td><td>1.82</td></tr>
  <tr><td>comp-nc-b</td><td>4.5 × 10 ^((22))</td><td>30</td><td>0.0059</td><td>1.1 × 10 ^((45))</td><td>0.96</td></tr>
  <tr><td></td><td>4.2 × 10 ^((22))</td><td>100</td><td>0.0059</td><td>2.0 × 10 ^((45))</td><td>0.33</td></tr>
  <tr><td>bare-ac-s</td><td>4.3 × 10 ^((22))</td><td>30</td><td>0.0036</td><td>1.6 × 10 ^((44))</td><td>0.39</td></tr>
  <tr><td></td><td>4.1 × 10 ^((22))</td><td>100</td><td>0.0036</td><td>2.9 × 10 ^((44))</td><td>0.64</td></tr>
  <tr><td>bare-ac-b</td><td>4.3 × 10 ^((22))</td><td>30</td><td>0.0045</td><td>1.4 × 10 ^((44))</td><td>0.35</td></tr>
  <tr><td></td><td>4.1 × 10 ^((22))</td><td>100</td><td>0.0045</td><td>2.6 × 10 ^((44))</td><td>0.76</td></tr>
  <tr><td>bare-ac-fg</td><td>4.3 × 10 ^((22))</td><td>30</td><td>0.0035</td><td>1.6 × 10 ^((44))</td><td>0.45</td></tr>
  <tr><td></td><td>4.1 × 10 ^((22))</td><td>100</td><td>0.0035</td><td>2.9 × 10 ^((44))</td><td>0.83</td></tr>
  <tr><td>comp-ac-b</td><td>4.8 × 10 ^((22))</td><td>30</td><td>0.0077</td><td>7.6 × 10 ^((44))</td><td>1.93</td></tr>
  <tr><td></td><td>4.5 × 10 ^((22))</td><td>100</td><td>0.0077</td><td>1.4 × 10 ^((45))</td><td>0.59</td></tr>
  <tr><td>comp-ac-s</td><td>4.5 × 10 ^((22))</td><td>30</td><td>0.0041</td><td>4.8 × 10 ^((44))</td><td>0.33</td></tr>
  <tr><td></td><td>4.3 × 10 ^((22))</td><td>100</td><td>0.0041</td><td>8.7 × 10 ^((44))</td><td>1.15</td></tr>
  <tr><td>comp-ac-fg</td><td>4.4 × 10 ^((22))</td><td>30</td><td>0.0042</td><td>3.8 × 10 ^((44))</td><td>0.43</td></tr>
  <tr><td></td><td>4.1 × 10 ^((22))</td><td>100</td><td>0.0042</td><td>6.8 × 10 ^((44))</td><td>1.39</td></tr>
  <tr><td>comp-nc-s</td><td>4.6 × 10 ^((22))</td><td>30</td><td>0.0050</td><td>7.2 × 10 ^((44))</td><td>0.31</td></tr>
  <tr><td></td><td>4.4 × 10 ^((22))</td><td>100</td><td>0.0050</td><td>1.3 × 10 ^((45))</td><td>0.28</td></tr>
  <tr><td>comp-nc-fg</td><td>4.6 × 10 ^((22))</td><td>30</td><td>0.0050</td><td>7.4 × 10 ^((44))</td><td>0.25</td></tr>
  <tr><td></td><td>4.3 × 10 ^((22))</td><td>100</td><td>0.0050</td><td>1.3 × 10 ^((45))</td><td>0.54</td></tr>
  <tr><td>Note a: Fixed. Note b: Observed fluence in the 2–5 keV energy band, assuming N_(H1)=10^(22) cm ^((-2)) . Note c: Unabsorbed energy emitted in the 1–100 keV energy band, assuming N_(H1)=10^(22) cm ^((-2)) and the source distances reported in Table LABEL:dust . Note d: For 5 dof.</td><td></td><td></td><td></td><td></td><td></td></tr>
</table>
