<table>
  <caption>Log of the observations</caption>
  <tr><th>6 Date (UT)</th><th>(days) a</th><th>Tel./Instr.</th><th>Filter/Grism</th><th>Exp. (s)</th><th>magnitude</th></tr>
  <tr><td>2003 Feb 26, 08:04</td><td>0.1868</td><td>VLT/ISAAC</td><td>K_(s)</td><td>15 × 10</td><td>15.95 ± 0.05</td></tr>
  <tr><td>2003 Feb 26, 23:59</td><td>0.8726</td><td>Asiago</td><td>R</td><td>2 × 600</td><td>20.44 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 00:43</td><td>0.8795</td><td>TNG</td><td>U</td><td>1 × 1200</td><td>20.84 ± 0.02</td></tr>
  <tr><td>2003 Feb 27, 01:21</td><td>0.9153</td><td>Tautenburg</td><td>I</td><td>15 × 120</td><td>19.92 ± 0.08</td></tr>
  <tr><td>2003 Feb 27, 01:40</td><td>0.9201</td><td>Asiago</td><td>I</td><td>2 × 600</td><td>20.21 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 02:02</td><td>0.9274</td><td>JKT</td><td>R</td><td>1 × 1200</td><td>20.57 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 02:35</td><td>0.9521</td><td>NOT/ALFOSC</td><td>V</td><td>1 × 300</td><td>20.88 ± 0.02</td></tr>
  <tr><td>2003 Feb 27, 02:42</td><td>0.9587</td><td>NOT/ALFOSC</td><td>U</td><td>1 × 600</td><td>21.04 ± 0.04</td></tr>
  <tr><td>2003 Feb 27, 02:49</td><td>0.9677</td><td>Wendelstein</td><td>I</td><td>2 × 600</td><td>20.30 ± 0.14</td></tr>
  <tr><td>2003 Feb 27, 03:08</td><td>0.9785</td><td>Tautenburg</td><td>I</td><td>5 × 120</td><td>20.46 ± 0.24</td></tr>
  <tr><td>2003 Feb 27, 03:12</td><td>0.9837</td><td>Wendelstein</td><td>R</td><td>2 × 600</td><td>20.63 ± 0.04</td></tr>
  <tr><td>2003 Feb 27, 03:35</td><td>0.9993</td><td>Wendelstein</td><td>V</td><td>2 × 600</td><td>21.03 ± 0.06</td></tr>
  <tr><td>2003 Feb 27, 03:58</td><td>1.0153</td><td>Wendelstein</td><td>B</td><td>2 × 600</td><td>21.33 ± 0.11</td></tr>
  <tr><td>2003 Feb 27, 05:04</td><td>1.0541</td><td>VLT/FORS1</td><td>R</td><td>1 × 120</td><td>20.64 ± 0.05</td></tr>
  <tr><td>2003 Feb 27, 05:05</td><td>1.0545</td><td>JKT</td><td>R</td><td>1 × 1200</td><td>20.76 ± 0.05</td></tr>
  <tr><td>2003 Feb 27, 05:04</td><td>1.0555</td><td>NOT/ALFOSC</td><td>V</td><td>1 × 300</td><td>21.11 ± 0.02</td></tr>
  <tr><td>2003 Feb 27, 05:08</td><td>1.0580</td><td>NTT/SuSI2</td><td>B</td><td>1 × 300</td><td>21.36 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 05:10</td><td>1.0580</td><td>VLT/FORS1</td><td>R + Wollaston</td><td>8 × 900</td><td></td></tr>
  <tr><td>2003 Feb 27, 05:13</td><td>1.0618</td><td>NTT/SuSI2</td><td>B</td><td>1 × 300</td><td>21.37 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 05:11</td><td>1.0621</td><td>NOT/ALFOSC</td><td>U</td><td>1 × 600</td><td>21.25 ± 0.05</td></tr>
  <tr><td>2003 Feb 27, 05:18</td><td>1.0653</td><td>NTT/SuSI2</td><td>B</td><td>1 × 300</td><td>21.48 ± 0.04</td></tr>
  <tr><td>2003 Feb 27, 05:25</td><td>1.0701</td><td>NTT/SuSI2</td><td>R</td><td>1 × 300</td><td>20.70 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 05:29</td><td>1.0729</td><td>NTT/SuSI2</td><td>R</td><td>1 × 300</td><td>20.68 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 05:32</td><td>1.0750</td><td>NTT/SuSI2</td><td>R</td><td>1 × 300</td><td>20.84 ± 0.04</td></tr>
  <tr><td>2003 Feb 27, 06:14</td><td>1.1026</td><td>VLT/FORS1</td><td>R</td><td>1 × 120</td><td>20.79 ± 0.05</td></tr>
  <tr><td>2003 Feb 27, 06:28</td><td>1.1156</td><td>TNG</td><td>U</td><td>1 × 600</td><td>21.33 ± 0.06</td></tr>
  <tr><td>2003 Feb 27, 08:10</td><td>1.1885</td><td>NTT/SuSI2</td><td>B</td><td>3 × 300</td><td>21.73 ± 0.03</td></tr>
  <tr><td>2003 Feb 27, 07:35</td><td>1.1910</td><td>VLT/FORS1</td><td>600B</td><td>5 × 900</td><td></td></tr>
  <tr><td>2003 Feb 27, 08:27</td><td>1.1989</td><td>NTT/SuSI2</td><td>R</td><td>3 × 300</td><td>20.99 ± 0.02</td></tr>
  <tr><td>2003 Feb 27, 08:34</td><td>1.1997</td><td>Tenagra II</td><td>I</td><td>14 × 300</td><td>20.52 ± 0.10</td></tr>
  <tr><td>2003 Feb 27, 09:50</td><td>1.2597</td><td>UKIRT/UFTI</td><td>K</td><td>18 × 60</td><td>18.40 ± 0.05</td></tr>
  <tr><td>2003 Feb 27, 12:55</td><td>1.3962</td><td>UKIRT/UFTI</td><td>K</td><td>36 × 60</td><td>18.69 ± 0.05</td></tr>
  <tr><td>2003 Feb 27, 23:49</td><td>1.8368</td><td>NOT/ALFOSC</td><td>V</td><td>1 × 300</td><td>22.50 ± 0.07</td></tr>
  <tr><td>2003 Feb 27, 23:56</td><td>1.8434</td><td>NOT/ALFOSC</td><td>U</td><td>1 × 600</td><td>22.43 ± 0.14</td></tr>
  <tr><td>2003 Feb 28, 03:14</td><td>1.9851</td><td>Wendelstein</td><td>R</td><td>2 × 600</td><td>21.89 ± 0.13</td></tr>
  <tr><td>2003 Feb 28, 04:22</td><td>2.0246</td><td>TNG</td><td>U</td><td>3 × 600</td><td>23.02 ± 0.08</td></tr>
  <tr><td>2003 Feb 28, 11:47</td><td>2.3559</td><td>UKIRT/UFTI</td><td>K</td><td>54 × 60</td><td>19.95 ± 0.08</td></tr>
  <tr><td>2003 Mar 02, 04:58</td><td>4.0607</td><td>VLT/FORS1</td><td>B</td><td>3 × 600</td><td>24.88 ± 0.06</td></tr>
  <tr><td>2003 Mar 02, 05:32</td><td>4.0798</td><td>VLT/FORS1</td><td>V</td><td>5 × 180</td><td>24.66 ± 0.09</td></tr>
  <tr><td>2003 Mar 02, 05:52</td><td>4.0937</td><td>VLT/FORS1</td><td>R</td><td>5 × 180</td><td>24.22 ± 0.08</td></tr>
  <tr><td>2003 Mar 02, 06:13</td><td>4.1083</td><td>VLT/FORS1</td><td>I</td><td>5 × 180</td><td>23.95 ± 0.12</td></tr>
  <tr><td>2003 Mar 02, 06:53</td><td>4.1472</td><td>VLT/ISAAC</td><td>K_(s)</td><td>31 × 10</td><td>21.32 ± 0.21</td></tr>
  <tr><td>2003 Mar 03, 04:16</td><td>5.0753</td><td>Gemini South</td><td>V</td><td>115 × 60</td><td>24.64 ± 0.10</td></tr>
  <tr><td>2003 Mar 05, 04:39</td><td>7.0500</td><td>VLT/FORS1</td><td>R</td><td>10 × 180</td><td>25.26 ± 0.15</td></tr>
  <tr><td>2003 Mar 13, 03:30</td><td>15.0156</td><td>VLT/FORS1</td><td>R</td><td>6 × 600</td><td>> 26.20</td></tr>
  <tr><td>Note a: mean observing epoch after the GRB trigger</td><td></td><td></td><td></td><td></td><td></td></tr>
</table>
