<table>
  <caption>Lines used in the abundance analysis. Column description (left to right): Atomic element, wavelength, excitation energy, oscillator strength according to VALD, measured equivalent width from the Kitt Peak Solar Atlas, comments.</caption>
  <tr><th>Elem.</th><th>λ [Å]</th><th>χ [eV]</th><th>gf</th><th>W _(eq\,\,) [mÅ]</th><th></th></tr>
  <tr><td>Li I</td><td>6707.761</td><td>0.00</td><td>0.167</td><td>4.1</td><td>synth</td></tr>
  <tr><td>Cr I</td><td>5238.961</td><td>2.71</td><td>- 1.305</td><td>18.2</td><td>b</td></tr>
  <tr><td>Cr I</td><td>5287.178</td><td>3.44</td><td>- 0.907</td><td>12.4</td><td>b</td></tr>
  <tr><td>Mn I</td><td>5377.637</td><td>3.84</td><td>- 0.109</td><td>50.3</td><td></td></tr>
  <tr><td>Fe I</td><td>5295.312</td><td>4.41</td><td>- 0.967</td><td>91.4</td><td>b</td></tr>
  <tr><td>Fe I</td><td>5522.446</td><td>4.21</td><td>- 1.514</td><td>65.2</td><td></td></tr>
  <tr><td>Fe I</td><td>6151.617</td><td>2.18</td><td>- 1.530</td><td>125.4</td><td></td></tr>
  <tr><td>Fe I</td><td>6229.226</td><td>2.85</td><td>- 2.482</td><td>84.7</td><td></td></tr>
  <tr><td>Fe I</td><td>6498.938</td><td>0.96</td><td>- 2.027</td><td>108.6</td><td>b</td></tr>
  <tr><td>Fe II</td><td>5414.073</td><td>3.22</td><td>- 3.645</td><td>32.0</td><td>b</td></tr>
  <tr><td>Co I</td><td>5342.695</td><td>4.02</td><td>0.690</td><td>35.4</td><td>b</td></tr>
  <tr><td>Co I</td><td>5530.774</td><td>1.71</td><td>- 2.060</td><td>17.2</td><td>b</td></tr>
  <tr><td>Co I</td><td>5647.234</td><td>2.28</td><td>- 1.560</td><td>14.8</td><td></td></tr>
  <tr><td>Ni I</td><td>5589.357</td><td>3.90</td><td>- 1.140</td><td>31.2</td><td>b</td></tr>
  <tr><td>Ni I</td><td>6086.276</td><td>4.27</td><td>- 0.530</td><td>46.2</td><td>b</td></tr>
  <tr><td>Ni I</td><td>6130.130</td><td>4.27</td><td>- 0.960</td><td>23.4</td><td></td></tr>
  <tr><td>Ni I</td><td>6204.600</td><td>4.09</td><td>- 1.100</td><td>23.2</td><td></td></tr>
  <tr><td>Ni I</td><td>6223.981</td><td>4.11</td><td>- 0.910</td><td>29.6</td><td></td></tr>
  <tr><td>Ni I</td><td>6772.313</td><td>3.66</td><td>- 0.980</td><td>52.7</td><td></td></tr>
  <tr><td>Cu I</td><td>5218.197</td><td>3.82</td><td>0.476</td><td>58.0</td><td>b,s</td></tr>
  <tr><td>Cu I</td><td>5220.066</td><td>3.82</td><td>- 0.448</td><td>15.2</td><td>b</td></tr>
  <tr><td>Y II</td><td>4900.120</td><td>1.03</td><td>- 0.090</td><td>59.2</td><td>b,s</td></tr>
  <tr><td>Y II</td><td>5087.416</td><td>1.08</td><td>- 0.170</td><td>50.6</td><td>b,s</td></tr>
</table>
