<table>
  <caption>Quasars without DLAs detected.</caption>
  <tr><th>Quasar</th><th>z_(em)</th><th>z_(min)</th><th>z_(max)</th><th>Ref ^((a))</th></tr>
  <tr><td>Q 0026+129</td><td>0.1420</td><td>0.0080</td><td>0.1306</td><td>3</td></tr>
  <tr><td>Q 0027+0149</td><td>2.33</td><td>1.694</td><td>2.297</td><td>4</td></tr>
  <tr><td>Q 0028+0236</td><td>2.00</td><td>1.634</td><td>1.970</td><td>4</td></tr>
  <tr><td>Q 0028-0148</td><td>2.08</td><td>1.840</td><td>2.049</td><td>4</td></tr>
  <tr><td>Q 0029+0017</td><td>2.23</td><td>1.725</td><td>2.198</td><td>4</td></tr>
  <tr><td>Q 0029-0152</td><td>2.39</td><td>2.013</td><td>2.356</td><td>4</td></tr>
  <tr><td>PSS J0030+1702</td><td>4.282</td><td>2.763</td><td>4.229</td><td>1</td></tr>
  <tr><td>PSS J0034+1639</td><td>4.293</td><td>2.981</td><td>4.240</td><td>26</td></tr>
  <tr><td>SDSS J0035+0040</td><td>4.747</td><td>3.309</td><td>4.690</td><td>26</td></tr>
  <tr><td>Q 0037-018</td><td>2.34</td><td>1.654</td><td>2.303</td><td>16</td></tr>
  <tr><td>Q 0039-2630</td><td>1.81</td><td>1.634</td><td>1.782</td><td>4</td></tr>
  <tr><td>Q 0040-2917</td><td>2.09</td><td>1.634</td><td>2.056</td><td>4</td></tr>
  <tr><td>Q 0041-2638</td><td>3.045</td><td>1.657</td><td>3.029</td><td>21</td></tr>
  <tr><td>Q 0041-2707</td><td>2.79</td><td>1.668</td><td>2.748</td><td>4</td></tr>
  <tr><td>Q 0041-2607</td><td>2.79</td><td>1.634</td><td>2.470</td><td>4</td></tr>
  <tr><td>Q 0041-2658</td><td>2.46</td><td>1.634</td><td>2.422</td><td>4</td></tr>
  <tr><td>Q 0041-2859</td><td>2.13</td><td>1.589</td><td>2.103</td><td>4</td></tr>
  <tr><td>Q 0042-3053</td><td>1.97</td><td>1.634</td><td>1.944</td><td>4</td></tr>
  <tr><td>Q 0042-2627</td><td>3.298</td><td>2.113</td><td>3.253</td><td>21</td></tr>
  <tr><td>Q 0042-2656</td><td>3.33</td><td>2.215</td><td>3.314</td><td>21</td></tr>
  <tr><td>Q 0042-2657</td><td>2.90</td><td>2.226</td><td>2.859</td><td>4</td></tr>
  <tr><td>Q 0043-2937</td><td>2.23</td><td>1.656</td><td>2.198</td><td>4</td></tr>
  <tr><td>Q 0044+030</td><td>0.6240</td><td>0.3386</td><td>0.6078</td><td>3</td></tr>
  <tr><td>Q 0045-3002</td><td>2.02</td><td>1.603</td><td>1.991</td><td>4</td></tr>
  <tr><td>Q 0045-0341</td><td>3.138</td><td>1.961</td><td>3.094</td><td>21</td></tr>
  <tr><td>Q 0045-013</td><td>2.53</td><td>1.784</td><td>2.493</td><td>16</td></tr>
  <tr><td>Q 0046-293</td><td>4.014</td><td>2.882</td><td>3.964</td><td>1</td></tr>
  <tr><td>BRI B0046-2458</td><td>4.15</td><td>2.575</td><td>4.099</td><td>1</td></tr>
  <tr><td>Q 0047-2759</td><td>2.13</td><td>1.649</td><td>2.099</td><td>4</td></tr>
  <tr><td>Q 0047-3050</td><td>2.97</td><td>1.930</td><td>2.933</td><td>4</td></tr>
  <tr><td>Q 0047-2538</td><td>1.97</td><td>1.591</td><td>1.939</td><td>4</td></tr>
  <tr><td>Q 0047-2326</td><td>3.422</td><td>2.291</td><td>3.378</td><td>21</td></tr>
  <tr><td>Q 0048-0119</td><td>1.88</td><td>1.634</td><td>1.849</td><td>4</td></tr>
  <tr><td>Q 0048-2545</td><td>2.08</td><td>1.634</td><td>2.051</td><td>4</td></tr>
  <tr><td>Q 0049-0104</td><td>2.10</td><td>1.715</td><td>2.065</td><td>4</td></tr>
  <tr><td>Q 0049-0012</td><td>1.95</td><td>1.634</td><td>1.916</td><td>4</td></tr>
  <tr><td>Q 0049+007</td><td>2.27</td><td>1.644</td><td>2.238</td><td>16</td></tr>
</table>
